,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$745,000","10337 Palm Row Dr, Lakeside, CA 92040",https://www.zillow.com/homedetails/10337-Palm-Row-Dr-Lakeside-CA-92040/16877466_zpid/,4, House,2,"1,866",Cassie Bedore,,Keller Williams Realty,"This is the one! Conveniently located at the base of sought after Eucalyptus Hills, down a private country lane, this  4 bedroom, 2 bathroom single level home on almost a half an acre of flat usable land has it all! The 4th bedroom has it’s own private entrance and features a kitchenette.  Perfect for family, friends, or extra income. You will love cooking in your updated kitchen complete with soft close drawers, 5 burner gas stove, double oven, Bosch dishwasher, and trash compactor.  The home has PAID FOR SOLAR, a newer 16 seer HVAC system complete with air purifier and new easy maintenance laminate flooring.  The outdoor space features covered front and rear patios, three separate fully fenced areas with two sliding gates at the front for the half circle driveway and two additional sliding gates for RV parking, horse trailers, etc.  Other outdoor features include, a workshop/tack room/feed storage, a greenhouse for your gardeners, fruit trees, an aviary that could be used as a chicken coop, large shed for additional storage, room for a pool and possible ADU. There is even an outdoor dog wash station!  This home is a short drive to schools, parks, the Santee Sports-plex and shopping at the Santee Trolley Town Center. Live the good life here!",soft%20close
1,"$429,950","1456 E Portals Ave, Fresno, CA 93710",https://www.zillow.com/homedetails/1456-E-Portals-Ave-Fresno-CA-93710/18712389_zpid/,3, House,2,"1,737",Dustin M. Lamborn,,London Properties-Clovis,"Beautifully updated University Portals Headliner home comfortably nestled on a large corner lot. Centrally located to everything Fresno/Clovis has to offer. Sophistication & functionality uniquely embody this home; original charm was thoughtfully preserved. The remodeled kitchen features granite countertops, soft-close cabinets w/ pull-out drawers & newer appliances making it just as functional as it is beautiful. The backyard is an entertainers dream with a large covered patio and an open-air deck. Per seller, pool was re-plastered approx. 6 years ago, newer roof & HVAC,  renovated bathrooms, tankless water heater. Too many upgrades to list, please inquire. Bath count may differ from tax records, buyer to verify.",soft%20close
2,"$614,900","843 W 5th St, Ontario, CA 91762",https://www.zillow.com/homedetails/843-W-5th-St-Ontario-CA-91762/17520594_zpid/,3, House,2,"1,205",Megann Centeno,,REALTY MASTERS & ASSOCIATES,"Welcome to 843 W 5th Street, a completely remodeled POOL home in the heart of Ontario. This house is breathtaking and has amazing curb appeal. The face is a charming barn style with a cute front porch, a fresh coat of paint and nice landscaping. As you enter the home, you will walk through a new stained wood front door into the homes living space where you are greeted by gorgeous refinished original wood floors, a cozy brick fireplace, crown molding, recessed lighting and a space perfect for an oversized couch and large dining table. The kitchen is galley style upgraded with soft close wood cabinets, granite countertops, tile flooring, stainless steel appliances and a custom wine rack. The master bedroom is located at the front of the house and has a charming curved ceiling line, a cute built in shelf under the window, a ceiling fan and a closet. The second bedroom is generous is size, also has a ceiling fan and closet with upper storage. The third bedroom is currently used as a music room and has its own exit through upgraded french doors to the pool. The main house bathroom is completely remodeled with a soaking claw foot tub, tile lined walk in shower, spanish tile floors and a new vanity. The garage houses 2 cars and the washer and dryer. The backyard is an oasis and entertainers dream! The pool has been upgraded with pebbletech, new tile and copping. There is a cool gas fire pit with seating, a alumiwood patio to relax under, a storage room and an additional bathroom with a walk in shower, vanity and toilet, perfect for before or after pool use. Additional features include Central AC and Heat, dual pane windows, shutters throughout, crown molding throughout, a charming dutch door at side entrance and new concrete landscaping in the backyard. This home is stunning, come see it for yourself!",soft%20close
3,"$499,900","2096 Quartz Way, Redding, CA 96001",https://www.zillow.com/homedetails/2096-Quartz-Way-Redding-CA-96001/15232484_zpid/,4, House,2,"1,866",Kristin Minugh,530-227-5968,Coldwell Banker C&C Properties,"This is your perfect opportunity! No expense was spared when the sellers remodeled this absolutely stunning home. The kitchen is simply a dream. From the custom soft close cabinets, to the quartz counters & the top of the line Kitchen Aid appliance suite. Oven/range is a hybrid (top cooking surface is gas & convection oven is electric w/warming drawer) And when you look at the pictures check out the ''pot filler'' right behind the range. Quartz counters in bathrooms. Master shower has 3 heads w/main head being Bluetooth capable so you can connect your favorite music or podcast while you shower! Reinforced concrete RV pad. But wait, there's more - have you seen the fully fenced backyard? Custom rock retaining wall, hot tub, and that refreshing pool with a slide!   CB159",soft%20close
4,"$999,888","6490 Potrero Dr, Newark, CA 94560",https://www.zillow.com/homedetails/6490-Potrero-Dr-Newark-CA-94560/25060819_zpid/,3, House,2,"1,388",Vicky Oberoi,650-656-5951,Asset Real Estate,"This is the one you've been waiting for! Introducing a beautiful 3bed 2bath home in Newark's peaceful Nantucket Cove neighborhood. Features include high living room ceilings which let you enjoy plenty of natural light throughout the day, cozy tiled fireplace, luxury vinyl plank flooring, designer kitchen with soft close cabinetry and quartz countertops, designer bathrooms, and walk-in closets, bedroom and dining area opens to balcony. Great floorplan with a full bath and separate bedroom on lower level - could be your office, study or computer room. Has access to community pool. 1 car detached garage, two parking spots in drive way. Situated near highways 880 and 84 for an easy commute. Close to shopping centers, Costco, Newpark mall, fine dining, parks, salons. Close to Facebook and Tesla!",soft%20close
5,"$879,900","1574 W Amerige Ave, Fullerton, CA 92833",https://www.zillow.com/homedetails/1574-W-Amerige-Ave-Fullerton-CA-92833/25120460_zpid/,4, House,2,"1,680",John Babai,,Arc Realty,"Complete Package! Remodeled single story on a corner lot with gated RV Parking! It even has a versatile space that could potentially be used as an in-law or teen suite. This stunning mid-century home has 4 bedrooms, 2 baths PLUS a small bonus room/office. It’s been tastefully updated with quality work and finishes. The dream kitchen features wood shaker cabinetry (lazy Susan & soft-close), calacatta quartz countertops with waterfall edge & full matching backsplash, bar seating, undermount stainless steel sink, double-oven/range (currently electric, but gas hook-ups also present), micro-hood, dishwasher and French door refrigerator. Off the kitchen is the butler’s pantry with a barn door, laundry area with front-load washer/dryer included and an utility sink. Both bathrooms have been updated with shaker cabinets, quartz countertops, undermount sinks, illuminated vanity mirrors with built-in bluetooth speakers and TWO luxurious spa-like showers (one with a rain shower) AND a THIRD soaking tub/shower. Gorgeous low maintenance, waterproof vinyl hardwood style flooring throughout. Fresh interior paint & partial exterior paint. Energy efficient LED recessed lighting & fixtures, dual pane windows and Lennox A/C. Copper & Pex piping. Large functional lot which has every square foot beautifully landscaped & hardscaped with hedged walkways, low maintenance drought tolerant plantings along sidewalks in front, plumerias, palm trees, a mature lime tree, fresh sod in backyard, vinyl & block wall fencing and newer concrete on patio and RV pad. Huge covered patio is ideal for entertaining with a BBQ island that has a stove and a mini-fridge. The RV gate is a solid iron gate that also has a passageway door built into it. Close to all the great things that Fullerton has to offer, including great schools (Sunny Hills High).",soft%20close
6,"$875,000","10411 Orchid Cir, Garden Grove, CA 92840",https://www.zillow.com/homedetails/10411-Orchid-Cir-Garden-Grove-CA-92840/25170567_zpid/,4, House,2,"1,519",Heather Garcia,,Real Estate Ebroker Inc,"LOVINGLY cared for and METICULOUSLY Remodeled SINGLE STORY ranch home! 1/4-ACRE LOT on CUL-DE-SAC.  This home checks all the boxes: new flooring, fresh paint, remodeled kitchen, and ideally situated on the expansive lot. New luxury vinyl flooring and new carpet.  Remodeled kitchen boasts shaker style cabinets with soft close drawers, four lazy Susan cabinet organizers, voluminous ceilings with open beams. Recessed, track, and above cabinet lighting.  Plenty of storage in the hallways. The roof has insulation as well as a wind/water seal underlay. New energy efficient vinyl windows.   Backyard has sprinkler schematic in place and a bonus storage room or workshop with block wall decorative masonry.   High quality oversized HVAC system works fast to cool or heat the home efficiently.   Front bedroom of home has been insulated and a square-edge lap siding has been added to the exterior.  Front yard has been professionally landscaped with sprinkler overhaul.  First showing shall be Sunday January 23rd. at open house from 1-5PM.",soft%20close
7,"$819,950","482 W Omaha Ave, Clovis, CA 93619",https://www.zillow.com/homedetails/482-W-Omaha-Ave-Clovis-CA-93619/18797638_zpid/,4, House,3,"2,988",Christopher Stonacek,559-273-9111,"Fathom Realty Group, Inc.","Wow! Check out this Beautiful fully loaded Home in near perfect condition in clovis on a extra large 19,500 Sq-ft corner lot with RV parking and fully Owned Solar, Features a large open layout this home is the entertainers Dream, Features a Dry-bar laminate Hard would entry floors,Granite counters soft close cabinets,stainless steel appliances and high ceilings....Lets not forget about the Back yard Just look at the all Beautiful Space to run around and enjoy yourself maybe take Dip in the pool or just relax in the Jacuzzi/Hot-tub while your cooking on your Beautiful built in BBQ/Bar. Homes like this a few and far between call your Realtor today to Schedule your Private Showing.",soft%20close
8,"$699,000","577 Highland Rd, Big Bear Lake, CA 92315",https://www.zillow.com/homedetails/577-Highland-Rd-Big-Bear-Lake-CA-92315/17383954_zpid/,3, House,2,"1,412",Mark Holman,,PACIFICREST REAL ESTATE,"Beautifully remodeled home in the Big Bear Lake Central area is ready for you to enjoy. Minutes to the Village where you can shop, eat and take in the sites. Short distance to Holloways Marina. In the summer months rent a boat and enjoy the lake activities. This Remodeled Home is move in ready and has been Upgraded with all New Millwork, Brand New Firebox and Fireplace. Bathrooms Remodeled. All Plumbing and Electrical were redone, including all New Light Fixtures, New Kitchen with Custom Cabinets with soft close feature, Farm House Sink with Carrera Marble Countertops and Glass Tile Backsplash, New G.E. Black Stainless Appliances, New Front Deck with Beautiful Spa, and Separate Outbuilding that you can use for storage, office, sleeping quarters, etc. Many extras. You don't want to miss this one.",soft%20close
9,"$579,900","1785 Woodbrook Ln, Fallbrook, CA 92028",https://www.zillow.com/homedetails/1785-Woodbrook-Ln-Fallbrook-CA-92028/16562208_zpid/,2, House,2,"1,078",Jane Felton,,Coldwell Banker Village Prop,"One of a kind...Turn Key Home! Meticulously maintained inside and out. Every detail is sure to catch your eye as you enter the custom front door. You'll see the high vaulted ceilings, cozy fireplace with custom mantel and updated flooring. The kitchen has Quartz and Butcher Block countertops, New energy efficient Appliances, Farmhouse Sink , new custom Soft Close drawers and Cabinets including pantry pull out drawers tucked behind a sliding barn door.  New flooring and vanities in both bathrooms add a sense of style.  Master bedroom is customized with a wood plank vaulted ceiling , beautiful closet doors and flooring. Two inviting patios with a private park like feel. Room to garden and relax morning , noon and night. Close to all of the amenities that  Fallbrook has to offer and just walking distance to the community pool and spa. Woodbrook has no through traffic, therefore it feels very private.",soft%20close
