,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$282,900","4917 Whisper Ln, Sacramento, CA 95841",https://www.zillow.com/homedetails/4917-Whisper-Ln-Sacramento-CA-95841/26020770_zpid/,3, Condo,3,"1,434",Suneet Agarwal,,Big Block Realty North,"Welcome to this 2 story 3 bedroom, 2.5 bathroom condominium for sale in Sacramento. The main level includes a combined living and dining room that offers dark wood floors, access to the back patio, and a fireplace. The kitchen is updated with marble countertops, tile splash surround, and stainless steel appliances. The main level includes a private half bathroom as well. The bedrooms, full bathrooms, and laundry room are located on the second level. The primary bedroom offers carpet floors, private outdoor balcony, and en suite bathroom. The primary bathroom is attached to the second full bathroom. The primary bathroom offers updated sink, shower stall, but next to a bathtub with overhead shower in second bathroom.",stainless
1,"$599,900","471 Adams Ave, Escondido, CA 92026",https://www.zillow.com/homedetails/471-Adams-Ave-Escondido-CA-92026/16691455_zpid/,3, House,1,"1,234",Justin Tye,,Active Realty,"Lovely 3 bedroom, 1 bathroom, single story home on a large lot with RV parking in the community of North Escondido! Enjoy laminate wood flooring, ceiling fans, and an open kitchen. The kitchen features stainless steel appliances, elegant wood cabinetry, a breakfast nook, and views to the outdoors. The bedrooms offer ample closet space and a shower-in-tub in the bathroom. Additional property highlights include garage laundry hookups, a 1 car garage, and no HOA. Convenient to area schools, nearby parks, shopping plazas, and easy access to major freeways!",stainless
2,"$479,900","7241 Windjammer Way, Citrus Heights, CA 95621",https://www.zillow.com/homedetails/7241-Windjammer-Way-Citrus-Heights-CA-95621/25980597_zpid/,4, House,3,"1,522",Suneet Agarwal,,Big Block Realty North,"Welcome to this 2 story 4 bedroom, 2.5 bathroom for sale in Citrus Heights. The entrance of this home offers a family room with some natural lighting and a brick fireplace. The kitchen and dining room are combined but offer different flooring. The kitchen includes laminate floors, granite countertops, stainless steel appliances, and updated cabinets. The dining room offers carpet floors, access to the backyard, and located next to a private half bathroom. The second level includes the bedrooms and bathrooms. The primary bedroom is the largest bedroom and includes a private outdoor balcony and en suite bathroom. The primary bathroom offers laminate floors, double closets, and a shower stall.",stainless
3,"$506,000","191 Racquet Club Dr, Compton, CA 90220",https://www.zillow.com/homedetails/191-Racquet-Club-Dr-Compton-CA-90220/21005338_zpid/,3, Townhouse,3,"1,848",John Maseredjian,,Johnhart Corp.,"In the city center of Compton, minutes away from large shopping centers with stores and well-known schools such Compton High School, sits a 1,848 sqft, 3-bedroom, 2.5-bathroom home, ready for the next buyer to settle and make their mark. A paved walkway, surrounded by greenery and a lawn, leads to the front door and upon entering you are greeted with a spacious yet cozy home that has combination of tile and carpet flooring. An open floor layout in the living room, coupled with the fireplace and the easy flow to the kitchen, makes the whole space the perfect entertainer’s venue for hosting guests. Kitchen includes beautiful finishes such as taupe toned granite countertops that expand up to the backsplash, walnut toned cabinetry and stainless-steel appliances that are built in. A hallway, with access from the kitchen as well, leading to the second-floor bedrooms, three of which have laminate flooring and built-in closets, and one of which is the primary bedroom that has carpet flooring and an en suite bathroom. Access from the living room to the spacious backyard patio, with room to build a gazebo or a covered patio and to set up outdoor furniture. Finally, home includes direct access to an attached 2 car garage, and an individual closet with a washer/dryer hookup.",stainless
4,"$626,900","1225 Tiverton Ln, Lincoln, CA 95648",https://www.zillow.com/homedetails/1225-Tiverton-Ln-Lincoln-CA-95648/68560397_zpid/,4, House,3,"2,052",Suneet Agarwal,,Big Block Realty North,"Welcome to this 4 bedroom, 3 bathroom home for sale in Lincoln. The formal dining room offers updated laminate floors and a large window for natural lighting. The kitchen includes granite countertops, stainless steel appliances, and built-in desk. The family room is combined with the kitchen and offers a fireplace and access to the backyard. The primary bedroom is the largest bedroom and offers an ensuite bathroom with dual sinks, private toilet, bathtub, and shower stall.",stainless
5,"$365,900","4800 Westlake Pkwy UNIT 2702, Sacramento, CA 95835",https://www.zillow.com/homedetails/4800-Westlake-Pkwy-UNIT-2702-Sacramento-CA-95835/64708515_zpid/,2, Condo,2,"1,304",Suneet Agarwal,,Big Block Realty North,"Welcome to this multi-level 2 bedroom, 2 bathroom condominium for sale in Sacramento. The ground level offers access to the 1 care garage. The main level offers the combined kitchen and family room which includes access to the outdoor balcony. The kitchen offers stainless steel appliances, tile countertops, and a small dining bar. A bedroom, full bathroom, and laundry room is located on this level as well. The primary bedroom and bathroom are located on the upper level. The primary bedroom offers carpet floors and some natural lighting. The primary bathroom offers dual sinks, private toilet, bathtub with overhead shower, and tile floors.",stainless
6,"$1,298,000","13 Somerset, Trabuco Canyon, CA 92679",https://www.zillow.com/homedetails/13-Somerset-Trabuco-Canyon-CA-92679/25619107_zpid/,4, House,3,"2,592",Justin Tye,,Active Realty,"Gorgeous 4 bedroom, 3 bathroom, 2 story home with a sparkling swimming pool and spa in the guard gated community of Dove Ridgepointe in the Dove Canyon area of Rancho Santa Margarita! Enjoy a formal entry with cathedral ceilings, a cascading staircase to the second story, a formal dining room, a fireplace in the living room and family room, and a gourmet kitchen. The kitchen features a quaint center island, granite countertops, stainless steel appliances, and elegant white cabinetry. The primary bedroom offers a walk-in closet, dual vanities in the primary bathroom, a soaking tub, and a walk-in shower. Sliding doors lead to the covered outdoor patio, back yard, swimming pool, spa, and gazebo with plenty of room for entertaining. Additional property highlights include ceiling fans, a full-size laundry room, and a 2 car garage. Community amenities include a swimming pool, spa, playground, tennis courts, golf course, and more. Convenient to area schools, a short drive to shopping plazas, restaurants, markets, and easy access to The Toll Roads!",stainless
7,"$617,100","1291 Castledale St, Riverside, CA 92501",https://www.zillow.com/homedetails/1291-Castledale-St-Riverside-CA-92501/69281599_zpid/,5, House,3,"2,686",Justin Tye,,Active Realty,"Lovely 5 bedroom, 3 bathroom, 2 story home with a main floor bedroom and peek mountain views in the gated community of Canterbury Place in Riverside! Enjoy high ceilings, a see-through fireplace connecting to the living and family rooms, and an open, gourmet kitchen. The kitchen features a center island, granite countertops, stainless steel appliances, and a breakfast nook. The primary bedroom offers a walk-in closet, dual vanities in the primary bathroom, a soaking tub, and a walk-in shower. A panel door leads to the covered outdoor patio and back yard. Additional property highlights include a loft, a laundry room, and a 2 car garage. Convenient to area schools, nearby parks, and easy access to major freeways!",stainless
8,"$727,900","5 Attleboro St, Ladera Ranch, CA 92694",https://www.zillow.com/homedetails/5-Attleboro-St-Ladera-Ranch-CA-92694/63117595_zpid/,3, Condo,3,"1,560",Justin Tye,,Active Realty,"Beautiful 3 bedroom, 2.5 bathroom, 2 story condo in the community of Davenport in Ladera Ranch! Enjoy a charming front porch entry to a spacious floor plan with an inviting fireplace in the family room. The kitchen features a breakfast bar, stainless steel appliances, and white cabinetry. The primary bedroom offers carpet flooring and a panel door that leads to the neighborhood view balcony. The primary bathroom features a soaking tub and a walk-in shower. Additional property highlights include ceiling fans, an inside laundry room, and a 2 car garage. Community amenities include swimming pools, spa, playgrounds, an outdoor barbecue area, a fire pit, picnic areas, and more. The Ladera Ranch community is a Master Planned Development with waterslides, a dog park, a clubhouse, and more. Convenient to nearby schools, area parks, and a short drive to major freeways and The Toll Roads!",stainless
9,"$400,000","3000 Associated Rd UNIT 63, Fullerton, CA 92835",https://www.zillow.com/homedetails/3000-Associated-Rd-UNIT-63-Fullerton-CA-92835/25715464_zpid/,2, Condo,2,851,Alex Horowitz,,Coldwell Banker Diamond,"Well Sought After Park Ridge Condo in Fullerton! This 2 bedroom (Dual primary suites), 2 bathroom condo is approximately 851 square feet, located upstairs so nobody is above you, has an assigned parking space + 1 car garage and is centrally located within the gated community. The condo features wood flooring, recessed lighting and a large front patio. The main primary suite offers a spacious walk-in closet and a spacious bathroom with an over-sized walk-in glass shower. The secondary primary suite features dual closets and full bathroom with a walk-in shower. The kitchen is spacious and complimented with white wood cabinetry, stainless steel appliances, bar top seating as well as a dining area. The Park Ridge Community is gated for added privacy, features a pool and spa and is located across the street from Craig Park featuring a lake, walking trails, a sports complex and more! On the border of Fullerton and Brea, this condo has many dining, shopping and entertainment options to choose from! Want to see more? Schedule your private tour today!",stainless
