,prices,address,beds,links,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$775,000","733 Maroon Peak Cir, Superior, CO 80027",4,https://www.zillow.com/homedetails/733-Maroon-Peak-Cir-Superior-CO-80027/13255713_zpid/, House,4,"2,800",Sue Masterson,720-352-4802,"RE/MAX of Boulder, Inc","Fantastic mountain views from this updated home backing to open space. Remodeled eat-in kitchen w/quartz countertops, tile backsplash, new lighting & fixtures & stainless Kitchen Aid appliances. Sliding glass door to delightful patio to relax & take in the lovely foothills & mountain views. Sunny, vaulted living, separate dining room & cozy family room w/gas fireplace. 4 BR up. Large primary suite has 5-piece BA, walk-in closet & great views. Fully finished basement with rec room plus office that could be converted to 5th BR. Main level laundry. Well-kept and updated over time incl lighting, water heater & furnace. Please see improvements list for more updates. Excellent, quiet open space & view location just a short distance to Eldorado K-8 and community pool. Immaculate & move in ready.",quartz
1,"$530,000","3616 Mountain View Ct, Longmont, CO 80503",3,https://www.zillow.com/homedetails/3616-Mountain-View-Ct-Longmont-CO-80503/13207681_zpid/, Coming soon,2,"1,233",Laura Nixon,720-891-0882,"Five Four Real Estate, LLC","Incredible ALL NEW, renovated ranch-style home in the premiere Longmont Estates Neighborhood!  The updated floorplan includes a Primary bedroom with en suite, a secondary full bath, and vaulted ceilings in the living room. Taken down to the studs, this home is effectively brand new. New electrical, new plumbing, a new driveway, a new garage door and overhead opener, brand new AC unit, new flooring, walls, drywall, bathrooms, and kitchen are just some of the renovations made. Walk in and be amazed at the open and airy feeling of the main living area, which connects directly to the dining area and kitchen. The newly renovated kitchen features an oversized panty, quartz countertops, all new SS appliances and cabinetry. Prepare to fall in love with the west-facing primary bedroom which features a walk-in closet and a chic en-suite with double vanities and extra, added storage! Step out the sliding glass door into the large, private yard with peek-a-boo views of the Twin Peaks Golf Course. This home is nestled on a quiet cul-de-sac and faces west; catch the best of Colorado sunsets from your front yard! Located in one of the best neighborhoods in Longmont, you're minutes away from shopping and amenities, a quick 20 minutes into Boulder, or a scenic 40 minute drive to Estes Park. Showings start Thursday, January 27th!",quartz
2,"$579,900","1417 S Acoma St, Denver, CO 80223",2,https://www.zillow.com/homedetails/1417-S-Acoma-St-Denver-CO-80223/13369055_zpid/, Coming soon,2,988,Tirso Abarca,303-726-6160,RE/MAX Altitude,"Move-in ready Sweat Home! Gorgeous 2-story home just one block west of South Broadway and minutes from Downtown Denver. This home features 2 beds and 2 baths. REMODELED/COMPLETELY UPDATED from top to bottom: new kitchen cabinets with quartz countertops, backsplash, stainless steel appliances, trims, windows, flooring, air conditioning, furnace, bathrooms, roof, gutters, interior and exterior paint, concrete and more. Easy access to major highways, schools, shopping and restaurants. You will not be disappointed!",quartz
3,"$2,250,000","321 Carriage Hills Dr, Boulder, CO 80302",4,https://www.zillow.com/homedetails/321-Carriage-Hills-Dr-Boulder-CO-80302/13196356_zpid/, House,5,"4,537",Bob Grotluschen & Susie Donahue,303-579-4682,"RE/MAX of Boulder, Inc","Beautifully and thoroughly updated in the past 18 months!  Newly extended and refinished hardwood flooring throughout the main level.  High quality kitchen remodel: 5 burner Wolf induction range/oven, Wolf Steam/Convection wall oven and microwave.  Grohe faucet w/chilled, filtered & sparkling water features.  Beautiful quartz countertops!  Incredible master suite with wall-to-wall views!  HIGH SPEED INTERNET for work at home!  Backup generator in case of power outages!  Remodeled laundry w/double sink and built in storage. New: high efficiency furnace, tankless water heater, windows and exterior doors! Main level bathrooms have all been tastefully updated.  Outdoor spaces updated with new water feature at the entry,  gas grill and wood fired PIZZA oven!  Attached two car garage plus a  detached garage: insulated, with 220 electrical service.  Walkout lower level for access to patio and garden area.  Fenced area for pets.  New septic system!  The most ""move in ready"" home you will find!",quartz
4,"$850,000","3622 W 29th Ave, Denver, CO 80211",3,https://www.zillow.com/homedetails/3622-W-29th-Ave-Denver-CO-80211/13314363_zpid/, Coming soon,3,"1,668",Gina Saab,303-332-4293,Compass - Denver,"You will fall in love with this charming remodeled Sloans Lake/ Highlands Victorian. This turn key home was recently remodeled inside and out and features an open floor plan, gleaming hardwood floors, custom plantation shutters, a completely remodeled kitchen, and a large main floor master suite!  The kitchen and dining room are an entertainer's dream. With an eat-in breakfast bar, slab quartz countertops, fresh white cabinets, high end stainless steel appliances, a stylish backsplash, and gorgeous dining area, you will not be disappointed! The space is open and sun-drenched.  The main floor master suite is spacious and bright, and the incredibly useful and roomy mud room makes coming in and out clean, easy, and convenient.  With 2 additional bedrooms, a large loft, and remodeled bathroom upstairs, this home has room to grow and space to spread out.  3622 W 29th is located on lovely lot with a great deck perfect for back yard gatherings. The front yard has been recently professionally landscaped.  Just wait until spring! All of this topped off with a detached 2 car garage and huge unfinished cellar space perfect for storing everything! And oh boy, this location!! Just blocks to Sloans Lake and multiple other parks, and a simple stone's throw from the shops, restaurants and fun of the Highlands, this is one of the most walkable spots in the city!  You have great highway access, amazing proximity to Downtown, LoHi, and all of Denver's best attractions. This darling, well maintained, pristine home is exactly what you are looking for. Showings begin on Thursday, Jan 27.",quartz
5,"$429,239","207 Cedar Ridge Dr, Canon City, CO 81212",3,https://www.zillow.com/homedetails/207-Cedar-Ridge-Dr-Canon-City-CO-81212/218704343_zpid/, House,2,"1,556",Kevin Brown,719-225-3041,Keller Williams Performance Realty,"Imagine owning this 3 bedroom 2 bathroom Amazing home Located in upper Dawson Ranch with Spectacular Views. Split Bedroom Design with Master suite style one side and two bedrooms on the other. Bonus room that can be used as a recreational room, office or another purpose that suits your needs. Well Constructed approx 224 SF Sunroom on the back of the home with new double pane/Argon Gas insulated windows, this room gets much passive solar heat. New Laminate Flooring in main living area and new Viatera Quartz Counter Tops in the kitchen and a new sink. Beautiful landscaping front and back with minimal maintenance and a large Stone Paver patio adjacent to the sunroom with newer hot tub and yes it is included with the sale. The backyard stone paver patio was recently greatly expanded to a much larger size. Enjoy the breathtaking views from your newly improved grand patio. A new and expensive 4 foot Cedar Split Rail fence has recently been built in the backyard, adding to the beauty and serenity of this wonderful property.  Schedule your showing today.",quartz
6,"$1,150,000","3085 9th St, Boulder, CO 80304",3,https://www.zillow.com/homedetails/3085-9th-St-Boulder-CO-80304/13180723_zpid/, Coming soon,2,"1,169",Tom White-O'Connor,720-276-0826,White-O'Connor Real Estate,"SHOWINGS START THURSDAY 1/27. Interior photos coming Wednesday. Sweet Newlands Bungalow on a quiet stretch of 9th St near N Bldr Park. Perfect location in one of Boulder's most popular neighborhoods. Easy walk to Ideal Market, Breadworks & Sweet Cow, Sanitas & the Park. Enjoy the vintage charm of beautiful Hardwood floors and Coved Ceilings combined with a nicely Updated Kitchen with Quartz Counters, New Cabs, Gas Range and SS Appliances. Have a quiet dinner on the back patio while gazing at the Flatirons. Large fenced yard with lots of room for gardening or playing with the dog. Don't miss the cute attic loft area, ideal for play area or meditation spot. Other features: Double Pane Vinyl Windows, Hardie Board fiber cement siding, High Efficiency Furnace and AC. Perfect for a homeowner As Is or ideal opportunity for remodel or Fix n Flip. Home is surrounded by remodeled properties including nearly identical house next door, 3075, that sold for $1,850,000 in Nov after complete remodel.",quartz
7,"$250,000","3201 Denver Blvd, Pueblo, CO 81008",3,https://www.zillow.com/homedetails/3201-Denver-Blvd-Pueblo-CO-81008/14013042_zpid/, House,2,"1,544",John Grove,719-369-7169,RE/MAX Of Pueblo Inc,"Three bedroom - 2 bath Tr-Level located across from Centennial High School on Pueblo's  northside of town. Spacious living room with bricked fireplace features the original high quality Oak hardwood flooring. Kitchen with dining area offers new quartz counter top, updated oak cabinetry. Appliance pkg. includes: gas range/oven, dishwasher, refrigerator, built-in microwave oven, Kitchen exits onto patio. Upper level includes master bedroom, bedroom number two and a full guest bath. Lower level provides bedroom number three, family room. Laundry includes much newer washer/dryer,and 3/4 bath (with walk-in shower). Two car attached garage, attached shed in back yard, detached shed on side of home. Easy & fast access to Hwy 50 and I-25, very close to grade school and high school, restaurants, fast food, all shopping, Wal-Mart, Pueblo Mall.",quartz
8,"$650,000","3040 S Grape Way, Denver, CO 80222",3,https://www.zillow.com/homedetails/3040-S-Grape-Way-Denver-CO-80222/13413851_zpid/, Coming soon,2,"1,364",Liz Hallinan,303-819-9780,"eXp Realty, LLC","Stunning U-Hills renovation - this is it! Everything is new including new sewer line, new plumbing, new electrical, new siding & insulation, new roof + gutters, new windows & doors, new driveway & walkway, new landscaping, new tankless water heater, new HVAC - this looks and lives like a new build; the craftsmanship will exceed the expectations of even the most discerning buyer.     A covered front porch flows right into the spacious entry and chef's kitchen. Ample storage and room for entertainment - thoughtfully designed for how a kitchen is meant to be enjoyed. Waterfall quartz island with lots of seating, a gas range and pot filler makes cooking here look as good as it tastes. A walk-in laundry zone is big enough for a full-size stacking W/D and features additional storage space. Dining flows into the great room for entertainment & relaxation. The primary suite checks all the boxes - spacious enough for a king bed and reading nook. A built-in closet system is as attractive as it is functional! Pass through the bedroom to the spa-like ensuite, which features an enclosed WC - complete with a new built-in bidet. The designer shower is curbless and flanked by a freestanding tub. A double vanity with LED medicine cabinet and a linen closet provide great storage. Two secondary bedrooms share a beautiful full bath. The backyard is ready for all of your gardening dreams, featuring an enormous veggie zone with a watering system. An oversized shed provides extensive storage capabilities. The rest of the yard offers plenty of space for entertainment and play. Walk down the street to enjoy the Highline Canal and Eisenhower Park and the blue ribbon K-8 is just a few blocks away. Easy access to I-25, light rail, all city amenities and the Colorado lifestyle. This house is truly a delight and ready for you to call it home.",quartz
9,"$824,999","363 Buchanan Ct, Louisville, CO 80027",3,https://www.zillow.com/homedetails/363-Buchanan-Ct-Louisville-CO-80027/13228541_zpid/, House,3,"1,640",Bobby Stier,303-949-3139,Compass - Denver,"NEWLY REMODELED!!  This 3 bed, 3 bath house has been tastefully updated along with a basement finish(permit pending, will have shortly) that adds a bedroom, bathroom and small living room! NEW: exterior/interior paint, windows,  flooring throughout, kitchen stainless steel appliances, kitchen cabinets, quartz countertop(kitchen), fireplace tile(floor to ceiling), all lighting and plumbing features have been updated.  Newer siding, new back patio with gas line for grill, newer sod and sprinkler system.  New garage door with opener, updated HVAC system.  CUL DE SAC LOCATION, TRAILS AROUND THE CORNER AND WALKING DISTANCE TO OLD TOWN!  This house is MOVE IN READY!!",quartz
