,prices,address,beds,links,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$275,000","615 &amp; 617 S Cedar St, Cortez, CO 81321",4,https://www.zillow.com/homedetails/615-617-S-Cedar-St-Cortez-CO-81321/2066667123_zpid/, Multifamily home,2,"2,028",Bill Stanley,970-749-7671,United Country Blue Sky Homes and Land,"Excellent location for this well maintained duplex with solid rental history. Renovated in 2020 with new exterior siding and heavy gauge metal wainscot skirting and improvements to the exterior landscaping. North unit interior entirely renovated and updated. South unit is well maintained and in good condition.   Interior of north unit remodeled features include new range, toilet, vinyl flooring, LED lighting, and attractive custom wood trim. Great location across from Mesa Elementary and the nearby Hawkins Preserve hiking and jogging trails. 3 minutes from downtown Cortez. Off-street parking for 2 vehicles, parallel parking on street. Great property. Live in one and rent out the other or rent both! Both units are currently rented. Contact listing office to schedule an appointment. Please do not disturb the tenants.",renovation
1,"$599,900","1311 E Dry Creek Pl, Centennial, CO 80122",4,https://www.zillow.com/homedetails/1311-E-Dry-Creek-Pl-Centennial-CO-80122/13170967_zpid/, Coming soon,4,"2,970",David Singleton,303-929-1552,ROCKY MOUNTAIN LAND,"This updated house in The Highlands neighborhood is super unique.  Then kitchen remodel was done in rich Mahogany, Oak and Cherry woods.  The iron railing detail brings in a nice extra tough.  All appliances are staying with this move in ready home.  The bathrooms have been updated as well as adding one in the basement.   The outdoor living space is so cool.  The built in firepit and grill area making entertaining so fun! The backyard also has a fun playhouse, trampoline and shed for all your yard tools.  There is also parking for your camper or RV!  It is also gets the best sun so when it snows your driveway melts faster.  If you're from out of state this is a big deal!    Showings start Thursday 1-27-22 and if you're interested in writing an offer they are due by 1-31-22 by 9AM.  The seller has a right to accept an offer at anytime.  As is sale.    This website shows some of the renovations as the owners were doing them.    https://1311edrycreekpl.com/vxXoFRZDEk3LZGPZ2dhTy3Eo",renovation
2,"$530,000","3616 Mountain View Ct, Longmont, CO 80503",3,https://www.zillow.com/homedetails/3616-Mountain-View-Ct-Longmont-CO-80503/13207681_zpid/, Coming soon,2,"1,233",Laura Nixon,720-891-0882,"Five Four Real Estate, LLC","Incredible ALL NEW, renovated ranch-style home in the premiere Longmont Estates Neighborhood!  The updated floorplan includes a Primary bedroom with en suite, a secondary full bath, and vaulted ceilings in the living room. Taken down to the studs, this home is effectively brand new. New electrical, new plumbing, a new driveway, a new garage door and overhead opener, brand new AC unit, new flooring, walls, drywall, bathrooms, and kitchen are just some of the renovations made. Walk in and be amazed at the open and airy feeling of the main living area, which connects directly to the dining area and kitchen. The newly renovated kitchen features an oversized panty, quartz countertops, all new SS appliances and cabinetry. Prepare to fall in love with the west-facing primary bedroom which features a walk-in closet and a chic en-suite with double vanities and extra, added storage! Step out the sliding glass door into the large, private yard with peek-a-boo views of the Twin Peaks Golf Course. This home is nestled on a quiet cul-de-sac and faces west; catch the best of Colorado sunsets from your front yard! Located in one of the best neighborhoods in Longmont, you're minutes away from shopping and amenities, a quick 20 minutes into Boulder, or a scenic 40 minute drive to Estes Park. Showings start Thursday, January 27th!",renovation
3,"$278,000","12594 E Pacific Cir, Aurora, CO 80014",1,https://www.zillow.com/homedetails/12594-E-Pacific-Cir-Aurora-CO-80014/2066667884_zpid/, Coming soon,1,877,Anna Bliska,720-484-9360,Coldwell Banker Realty 02,"Fully remodeled ground level condo in the highly sought-after Heather Ridge community and Cherry Creek school district! The kitchen boasts custom soft close cabinets, high-end granite countertops, pendant lights, an extra deep sink with high tech faucet, stainless steel appliances, and canned lighting. The flooring is laminate and thick carpet with tempurpedic padding. Two ceiling fans add year around comfort, and they are reversible for winter. The cozy wood burning fireplace is perfect for the cold months. New double pained windows and sliding glass door leading out to covered patio. Spacious bedroom with a large redesigned closet. New bathroom with custom soft close cabinets, spacious shower with massage shower-head, custom tile and added nook for soaps and shampoo. Added bonus: All popcorn removed from ceilings! Garage includes 8’ by 4’ overhead storage rack and Rocksolid Metallic Orange Floor Coating. The community offers a newly renovated club house that includes pool and tennis courts. Located close to almost everything including shopping, restaurants, schools, parks. Prime location with easy access to I-225, DTC, Denver Airport and downtown Denver. Just minutes to Denver RTD rail system that operates 365 days a year! Showings start Friday.",renovation
4,"$620,000","3707 N County Road 27, Loveland, CO 80538",4,https://www.zillow.com/homedetails/3707-N-County-Road-27-Loveland-CO-80538/13846839_zpid/, Coming soon,2,"1,769",Rob Kittle,970-460-4444,Kittle Real Estate,"Like New Construction without the wait!  This beautifully updated home sits on the edge of the Rocky Mountain foothills.  Tranquil country living just minutes from shopping and dining options, 15 mins to the vibrant downtown Loveland district, and a scenic 40 min drive to Estes Park.  Enjoy golden sunrises on the hogs back to the west from the sunroom. Completely renovated and updated throughout with a fantastic open floor plan.  With .45 acres of land, several outbuildings and a 2.5-car garage, there's plenty of room for RVs, ATVs, and all your toys!",renovation
5,"$600,000","660 S Monaco Pkwy, Denver, CO 80224",7,https://www.zillow.com/homedetails/660-S-Monaco-Pkwy-Denver-CO-80224/2075684732_zpid/, House,3,"3,522",Perry Friedentag,303-523-3568,PERRY REALTY & ASSOCIATES,"This fabulous home has space for every one! Boasting a grand entrance, family room and den with fireplace. It has lots of charm and potential with some renovations to the bathrooms and additions. 7 bedrooms, 3 bathrooms and a spacious walkout balcony from the 2nd floor master bedroom with beautiful mountain views. Large 2 car garage, circle driveway. Partially finished basement with an additional fireplace and bathroom. Walking distance to schools. In the heart of the city close to major highways, parks, shopping, and mountains. Rare 1/2 Acre lot, Prime location just minutes to Hilltop, Cherry Creek, DTC, Lowry, bring your tool box and highest and best offers. Property needs T.L.C. tremendous upside. Investors welcome, Remarkable opportunity for Fix & Flip or Buy hold! Sold ""As-Is"" This creative beauty is a must see!",renovation
6,"$475,000","1836 Lincoln Dr, Longmont, CO 80501",3,https://www.zillow.com/homedetails/1836-Lincoln-Dr-Longmont-CO-80501/13222760_zpid/, Coming soon,2,"1,116",Taylor Dye,970-691-5690,Berkshire Hathaway-FTC,"With less than 3 homes available in Longmont between 400k-500k, DO NOT miss this recently renovated 3 bed 2 bath ranch centrally located to Carr Park, Northridge Elementary, and plenty of shopping just minutes away. Featuring a new roof, new furnace, new windows, lights and fixtures, new kitchen, new flooring, new bathrooms, appliances, landscaping, and paint inside/out this gem is ready for its new owner to live without worry. Enjoy your morning coffee with the walkout master bedroom while watching your summer harvest of fruits and veggies growing in the raised garden beds under those gorgeous mature trees and Colorado sunshine! Don't blink, set up your showing today!",renovation
7,"$429,900","46 S Hayman Ave, Colorado Springs, CO 80910",5,https://www.zillow.com/homedetails/46-S-Hayman-Ave-Colorado-Springs-CO-80910/13616101_zpid/, House,2,"2,146",Caleb Leonard,719-960-7449,Exp Realty LLC,"Welcome to this wonderful, fully brick home in the Smartts neighborhood. Centrally located in Colorado Springs, this home is just minutes to Downtown, Palmer Park, shopping on Academy Blvd, and Peterson AFB, while being only a short 10 minute drive to Fort Carson. The large corner lot features a spacious backyard with a large deck, perfect for enjoying our beautiful Colorado weather. This completely remodeled home boasts an open floor plan on the main level, 5 bedrooms, 2 bathrooms and 2146 sq ft. The brand new kitchen features gorgeous granite countertops, solid wood cabinets, and all new Frigidaire appliances. Both bathrooms are fully renovated with new tile, vanities, mirrors, tubs, and toilets. Every surface inside has been freshly painted with new 5-Panel doors in every room. Beautiful wood laminate floors throughout the main level with new lush carpet in the basement. The custom built bannister leads downstairs into the large family room with an additional 3 bedrooms, full bathroom, and large laundry space. Protect your cars from those Colorado storms in the oversized 3-car garage with workshop that boasts over 850 sq ft and a large gas heater allowing for an all year round workshop with plenty of space for your vehicles and any projects you're working on or hope to accomplish. Check out the video virtural tour in the link above! Come see this amazing home before it's gone!",renovation
8,"$1,350,000","369 Doe Cir, Franktown, CO 80116",5,https://www.zillow.com/homedetails/369-Doe-Cir-Franktown-CO-80116/13495846_zpid/, Coming soon,4,"4,992",Jacob Strobel,720-790-6440,Keller Williams Integrity Real Estate LLC,"Recently Renovated Palatial Estate in highly sought after Deerfield Neighborhood. This 5 Acre property is just minutes from Downtown Castle Rock which is home to popular eateries like Siena at the Courtyard, Damascus Grill, and Z'Abbracci Italian Pizza and Wine bar as well as some of the states best golf courses and parks. Every inch of this home has just been renovated. New flooring, new lighting, new plumbing fixtures, new paint and so much more! The design of this home offers the perfect space for a hybrid Indoor/Outdoor style living experience.",renovation
9,"$759,950","25 Allison St, Lakewood, CO 80226",4,https://www.zillow.com/homedetails/25-Allison-St-Lakewood-CO-80226/13768385_zpid/, House,2,"2,214",Kristine Nguyen,720-227-3978,Brokers Guild Homes,"Truly outstanding, fully remodeled ranch in the beautiful Meadowlark Hills. Have you seen the u-shaped driveway?!  Just wow!  Elegance and custom selection at it’s best! Open concept with tons of natural lighting. Gourmet kitchen is equipped with new countertops, gas range, custom cabinets, and brand new appliances.  The main level includes a master suite, fully renovated bathroom, 2 large additional bedrooms, great room, dining room, breakfast bar.  The fully finished basement has 1 bedroom, 1 bathroom, large family room, and laundry room.  Enjoy your own personal oasis in this oversized lot nestled on a private yard, situated on a quiet street.   Location? Enjoy easy access to 6th Ave, I-25, downtown, the mountains, public transportation, shops, & restaurants. A must see! Very rare to find a home so close to everything with convenient access to all the amenities.",renovation
