,prices,address,beds,links,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$420,000","20691 Fairview Rd, Austin, CO 81410",4,https://www.zillow.com/homedetails/20691-Fairview-Rd-Austin-CO-81410/103874515_zpid/, House,2,"1,851",Candyce Blair,970-210-4749,Colorado Homes and Land,"This freshly remodeled home sits on 2.4 acres with views to the south.  Enjoy the fully covered porch during all seasons.  New landscaping with a covered gazebo offers room for entertainment and guests.  There is a large pole/hay barn next to the home that could be converted into a shop or garage.  This house has been completely transformed with an updated kitchen and bathrooms.  Attention to detail while remodeling this house is seen throughout.  From shiplap to hardwood floors this beautiful home will not disappoint.  Located in Austin, this property is close to amenities.  There are golf courses nearby and it is only minutes from the Grand Mesa. There is plenty of space for RVs, ATVs, and boats.  This home is a must-see and is turnkey-ready!",updated
1,"$775,000","733 Maroon Peak Cir, Superior, CO 80027",4,https://www.zillow.com/homedetails/733-Maroon-Peak-Cir-Superior-CO-80027/13255713_zpid/, House,4,"2,800",Sue Masterson,720-352-4802,"RE/MAX of Boulder, Inc","Fantastic mountain views from this updated home backing to open space. Remodeled eat-in kitchen w/quartz countertops, tile backsplash, new lighting & fixtures & stainless Kitchen Aid appliances. Sliding glass door to delightful patio to relax & take in the lovely foothills & mountain views. Sunny, vaulted living, separate dining room & cozy family room w/gas fireplace. 4 BR up. Large primary suite has 5-piece BA, walk-in closet & great views. Fully finished basement with rec room plus office that could be converted to 5th BR. Main level laundry. Well-kept and updated over time incl lighting, water heater & furnace. Please see improvements list for more updates. Excellent, quiet open space & view location just a short distance to Eldorado K-8 and community pool. Immaculate & move in ready.",updated
2,"$359,900","4311 Fireweed Dr, Pueblo, CO 81001",5,https://www.zillow.com/homedetails/4311-Fireweed-Dr-Pueblo-CO-81001/14002121_zpid/, House,3,"2,338",Team Gena Ryder,719-240-2434,RE/MAX Of Pueblo Inc,"NEW NEW NEW in this REMODELED University Park Bi-Level!  New roof, new stucco, new flooring throughout, new paint, new texture, and new light fixtures plus more. Large open concept living room, kitchen, and dining on upper level with lots of cabinet and counterspace including a center island, perfect for entertaining or holiday dinners! 3 large bedrooms on the upper level including a master suite, with 3/4 bath attached, and a sliding glass door out to the back deck. Full bath on the upper level, with plenty of updates. Lower level boasts a large family room with woodburning fireplace, new carpet, and paint and 2 oversized bedrooms. Full bath has been remodeled on the lower level. Including a new tub/shower, new floor, and new paint! Large utility and laundry room - perfect for storage. Large backyard with mature trees, and landscaping, an oversized covered patio, and a large deck. Call us today to schedule your showing!",updated
3,"$449,000","5410 Quay St, Arvada, CO 80002",3,https://www.zillow.com/homedetails/5410-Quay-St-Arvada-CO-80002/13729289_zpid/, Coming soon,1,957,Edwin Hissa,720-688-0672,The Hissa Group,"Welcome home! This wonderfully maintained ranch home in Columbine Acres is waiting for you! You will love this quiet neighborhood that is just minutes from Olde Town Arvada, Berkeley Neighborhood, The Highlands, and more! Hardwood floors throughout, updated bathroom with three cozy bedrooms. Newer furnace, newer roof, RV pad in the backyard with storage shed. Sprinklers in front & back. Windows were updated from originals. Plenty of storage space in the garage and a very comfortable backyard!",updated
4,"$259,000","812 Blossom Rd, Woodland Park, CO 80863",3,https://www.zillow.com/homedetails/812-Blossom-Rd-Woodland-Park-CO-80863/62717714_zpid/, House,1,"1,153",Michael McDermott,719-417-4661,Venterra Real Estate LLC,"Don't miss out on this AMAZING Mountain Retreat. House has been remodeled from Front to Back. It has New Water Heater, New furnace with New Venting, New Carpet in one bedroom along with Tile and Wood Laminate throughout the rest of the house. Lighting has also been updated.  It includes a 40ft Conex Container (40x8x9.5) and shed. While enjoying the GREAT VIEWS you will be certain to catch a variety of wildlife passing through the property. The 15X16 permitted addition on the back has been started and ready to be finished to your liking.",updated
5,"$1,800,000","3892 County Road 45, Hudson, CO 80642",5,https://www.zillow.com/homedetails/3892-County-Road-45-Hudson-CO-80642/147534469_zpid/, House,4,"5,710",Michael Rex,720-317-7683,Rex Homes LLC,"Escape the city to this private, custom built home resting on 12 acres of fenced and irrigated farm land. Breathtaking views of the front range with easy access to the interstate and a quick drive back to the Denver Metro area.  Upstairs are two bedrooms with a bathroom and two oversized storage areas. On the main level are three additional bedrooms, including a master retreat with attached office space, wet bar, a dual shower master bath, and a walk in closet. Another of the main floor bedrooms is fully wheelchair compliant and designed as a mother-in-law suite for your loved one. The kitchen was recently updated with oversized granite slab countertops that rest on custom cabinets featuring high-end appliances. The home has 4 garage bays including a pass-through bay used to park the included tractor! A reverse osmosis water softener, three A/C units all replaced in 2019 and new outdoor security system offer peace of mind and pride of ownership that you simply cannot pass up.",updated
6,"$594,900","21745 Whirlaway Ave, Parker, CO 80138",4,https://www.zillow.com/homedetails/21745-Whirlaway-Ave-Parker-CO-80138/13473880_zpid/, Coming soon,3,"3,365",Spencer Wilson,720-347-9595,RE/MAX Professionals,"Canterberry Crossing 2 Story BACKING TO OPEN SPACE! Kitchen Features Stainless Steel Appliances, Granite Slab Countertops and Updated Hardware. Hardwood Floors Throughout the Entire Main Floor, Vaulted Ceilings, New TANKLESS Water Heater (2019). Main Floor Bedroom/Office. New Garage Door Opener (2017). Spacious Bedrooms Upstairs (2 w/ Walk-In Closets). 5 Piece Master Bathroom Suite. Deck in the Backyard Great for Entertaining. Very Quiet Location! Full Basement is a Blank Canvass. Less Than 1 Mile From Black Bear Golf Club. Minutes Away From Downtown Parker on Mainstreet.",updated
7,"$275,000","615 &amp; 617 S Cedar St, Cortez, CO 81321",4,https://www.zillow.com/homedetails/615-617-S-Cedar-St-Cortez-CO-81321/2066667123_zpid/, Multifamily home,2,"2,028",Bill Stanley,970-749-7671,United Country Blue Sky Homes and Land,"Excellent location for this well maintained duplex with solid rental history. Renovated in 2020 with new exterior siding and heavy gauge metal wainscot skirting and improvements to the exterior landscaping. North unit interior entirely renovated and updated. South unit is well maintained and in good condition.   Interior of north unit remodeled features include new range, toilet, vinyl flooring, LED lighting, and attractive custom wood trim. Great location across from Mesa Elementary and the nearby Hawkins Preserve hiking and jogging trails. 3 minutes from downtown Cortez. Off-street parking for 2 vehicles, parallel parking on street. Great property. Live in one and rent out the other or rent both! Both units are currently rented. Contact listing office to schedule an appointment. Please do not disturb the tenants.",updated
8,"$599,900","1311 E Dry Creek Pl, Centennial, CO 80122",4,https://www.zillow.com/homedetails/1311-E-Dry-Creek-Pl-Centennial-CO-80122/13170967_zpid/, Coming soon,4,"2,970",David Singleton,303-929-1552,ROCKY MOUNTAIN LAND,"This updated house in The Highlands neighborhood is super unique.  Then kitchen remodel was done in rich Mahogany, Oak and Cherry woods.  The iron railing detail brings in a nice extra tough.  All appliances are staying with this move in ready home.  The bathrooms have been updated as well as adding one in the basement.   The outdoor living space is so cool.  The built in firepit and grill area making entertaining so fun! The backyard also has a fun playhouse, trampoline and shed for all your yard tools.  There is also parking for your camper or RV!  It is also gets the best sun so when it snows your driveway melts faster.  If you're from out of state this is a big deal!    Showings start Thursday 1-27-22 and if you're interested in writing an offer they are due by 1-31-22 by 9AM.  The seller has a right to accept an offer at anytime.  As is sale.    This website shows some of the renovations as the owners were doing them.    https://1311edrycreekpl.com/vxXoFRZDEk3LZGPZ2dhTy3Eo",updated
9,"$189,900","232 Colorado Pl, Sterling, CO 80751",3,https://www.zillow.com/homedetails/232-Colorado-Pl-Sterling-CO-80751/89856281_zpid/, House,2,"1,083",Michele Owen,970-580-2949,RE/MAX Homestead Northeast,"This updated 3-bedroom, 2 bath home has been remodeled throughout with modern kitchen with oak cabinets, finished wood flooring in living room and bedrooms and beautifully tiled bath.  Large master bedroom with 1/2 bath.  Home is move-in ready.  Vinyl siding, privacy fenced backyard with deck and covered patio.  Dishwasher is being installed in the kitchen with new countertops.  There are both electric and gas line behind the stove  (current stove electric).  Sink is wired for disposal.",updated
