,prices,address,beds,links,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$444,900","712 Fair Oaks Ln, Saint Johns, FL 32259",3,https://www.zillow.com/homedetails/712-Fair-Oaks-Ln-Saint-Johns-FL-32259/47781326_zpid/, House,2,"2,290",Angela James,,"Zillow Homes, Inc.","Photos coming soon. Check out this 3 bedroom, 2 bathroom home in the popular Jululington Creek neighborhood. Come inside and immediately notice the new carpet and fresh paint throughout the home. The kitchen boasts plenty of cabinets and sleek countertops, making this an ideal kitchen to cook in. Enjoy entraining your guest in the expansive living room and continue the party by opening the sliding glass door to reveal the screened-in porch. Retreat to the primary bedroom that features a stunning walk-in closet with built-in shelving and an en suite bathroom providing complete privacy. You’ll love being minutes away from top-rated neighborhood schools. As well as visiting The Pavilion at Durbin Park that is home to several shops and restaurants, making it a perfect spot for date night.",fresh%20paint
1,"$318,300","4856 Snook Dr SE APT F, Saint Petersburg, FL 33705",2,https://www.zillow.com/homedetails/4856-Snook-Dr-SE-APT-F-Saint-Petersburg-FL-33705/68603812_zpid/, Condo,1,825,Monica Donahue,,ZILLOW HOMES INC.,"Located in the gated community of Waterside at Coquina Key South is this 2 bedroom, 1 bathroom, 2nd-floor condo awaiting new owners. Upon entering the home, you are welcomed into a functional floor plan boasting an abundance of natural light. Prepare delicious meals in the kitchen, outfitted with sleek appliances, a tile backsplash, and ample counter space for easy serving. After a long day, retire to the privacy of the primary bedroom, featuring a spacious closet. Entertain guests on the covered back patio while overlooking the pond behind the home. This home is conveniently located near schools, restaurants, and Tanpa Bay.",fresh%20paint
2,"$395,000","4421 Arch Creek Dr, Jacksonville, FL 32257",3,https://www.zillow.com/homedetails/4421-Arch-Creek-Dr-Jacksonville-FL-32257/44552194_zpid/, House,2,"1,920",Kristi White,772-321-4537,Keller Williams Rlty Vero Bch,"A long list of recent updates has transformed this property into a move-in-ready abode anyone would be proud to call their own. You will live along a dead-end street within a quiet and friendly neighborhood with a convenient location and no HOA.The functional and comfortable layout boasts three bedrooms and two newly remodeled bathrooms with updated vanities and sinks. There's fresh paint throughout the home adding to the contemporary appeal including in the generous and open-concept living space with a cozy fireplace.Cooking for loved ones will be a pleasure in the stylish kitchen with sweeping countertops, a dishwasher, microwave and a stainless steel phone-connectable Samsung range, with an air-fry, that was added in 2021.",fresh%20paint
3,"$439,000","208 W Hilda St, Tampa, FL 33603",3,https://www.zillow.com/homedetails/208-W-Hilda-St-Tampa-FL-33603/45093475_zpid/, House,2,"1,441",Keeley Toro,352-650-6413,Pineywoods Realty LLC,"**Highest and Best due by Tuesday January 25th at Noon** - FULLY RENOVATED and completely charming home in the trendy Seminole Heights neighborhood! This 3 bedroom, 2 bathroom home has been completely modernized with fresh paint and brand new laminate floors throughout, Pinterest-worthy bathrooms, and an open-concept living space. The spacious kitchen features white shaker cabinets, QUARTZ countertops, new stainless steel appliances, and matte black hardware. The primary bedroom is a true owner's retreat with a large sliding glass door that floods the room with natural light and a lovely brick fireplace. In addition to all the cosmetics this home has a brand new roof, new tankless water heater, new HVAC system, and updated electrical. Walk to the Blind Tiger Cafe for your morning coffee, Chop Chop Shop for a delicious lunch, or Cappy's for a slice of the best Pizza in Tampa! You're going to love living in the urban core!",fresh%20paint
4,"$369,900","5516 Veracruz Ter, Pt Charlotte, FL 33981",2,https://www.zillow.com/homedetails/5516-Veracruz-Ter-Pt-Charlotte-FL-33981/43555369_zpid/, House,2,"1,424",Jayson Burtch,941-626-5432,Century 21 Sunbelt Realty,"MULTIPLE OFFERS RECEIVED. HIGHEST AND BEST BY 6PM 1/24/2022*  This well maintained 2 Bedroom 2 Bathroom 2 Car Garage Pool home on 2 lots in the quiet fishing community of Gulf Cove is Move-In Ready. No flood insurance required as this property is Not in a flood zone. The roof was replaced in 2020! With a split floor plan design, your family or guests will have plenty of privacy. The living room features a tiled front entry way, fresh paint, and new fans. The kitchen has been updated with beautiful quartz countertops and stainless steel appliances. In the spacious master suite you'll find wood plank style LVT flooring, Sliding Glass doors that lead to the lanai and pool, and an updated master bathroom. The updates include the mirror and vanity, and the floor to ceiling tile in the shower. In the family room, you'll find vaulted ceilings, tile floors, and sliding doors that lead to the lanai and pool. The guest bathroom has an updated vanity and rain glass shower doors. There is a large space under the covered lanai that is perfect for relaxing in the afternoon or enjoying your morning coffee. There is a 6ft privacy fence that borders the back of the lot the house is on! There are plenty of shopping and dining options within a 10-15 minute drive. The Gulf Beaches are just 20 minutes away by car. Call for your private tour.",fresh%20paint
5,"$480,000","6953 Tettenhall Ln, Windermere, FL 34786",4,https://www.zillow.com/homedetails/6953-Tettenhall-Ln-Windermere-FL-34786/84652159_zpid/, House,3,"2,452",Ashley Pun,407-403-4165,Arellano Realty & Investments,"This beautiful 4 bedroom, 2.5 bath home in the Lakes of Windermere community is the definition of ‘pride of ownership’. The home is situated on a corner lot with peaceful views of the pond from the front porch. Sit on your front porch and listen to the water fountain or watch the sunset and Disney fireworks. Fresh exterior paint and landscaping make this home welcoming from first sight. As you enter the home you will immediately notice the light and airy feeling the interior paint and light color ceramic tile creates. The large living room/dining room combo is perfect for entertaining. This area is currently set up as a library and could be the perfect fit for you and your family. The ceramic tile continues through the home into the large kitchen, dinette and family room. The kitchen features solid surface countertops, ample cabinet space, breakfast bar and a walk-in pantry. The home features a split floor plan with the owners suite at the back of the house off of the kitchen and the three spare bedrooms in the front of the house. The two car garage is located at the back of the home as well as a screened rear porch. Other upgraded features include crown molding, garage storage shelving, and many smart home features. The smart home features include the following: whole-house alarm system with a central panel, smoke detectors with speakers, thermostat, smart locks on exterior doors and smart light switches in most rooms. The sought after community of Lakes of Windermere features a community pool, playground, tennis court, beach volleyball, open grass area and fishing pier on Lake Sawyer. Close proximity to Hunters Creek, Winter Garden Village and a multitude of other shops & restaurants. Only 2 miles away from Windermere Preparatory School, 9.7 miles from Disney and 26 miles from Orlando International Airport. Do not miss your opportunity to own this amazing home and schedule your showing today!",fresh%20paint
6,"$249,900","45 S Solandra Dr, Orlando, FL 32807",3,https://www.zillow.com/homedetails/45-S-Solandra-Dr-Orlando-FL-32807/46211541_zpid/, House,1,"1,277","Katherine Guzman Rivas, PA",407-476-0476,Fusilier Management Group,"Move in Ready with NO HOA, in the conveniently located community of Azalea Park! Perfect home for first time buyers and/or investors. The home has fresh interior paint throughout and brand new kitchen cabinets and countertops with a new microwave and dishwasher. The flat roof was just re-roofed in December 2021 and the bathroom was completely remodeled in March 2021. Once you walk in, you are greeted with the family/dining room combo that leads to the kitchen and a great room which features a fireplace. The great room leads you to the screened in rear patio and large fenced in backyard ideal for your pets and/or a great summer BBQ cookout.      This property is in the heart of Central Florida minutes from all major highways, Downtown Orlando and the Orlando International Airport.  Schedule your showing today!",fresh%20paint
7,"$355,000","5040/5042 Jones Dr, Lehigh Acres, FL 33973",6,https://www.zillow.com/homedetails/5040-5042-Jones-Dr-Lehigh-Acres-FL-33973/295083818_zpid/, Multifamily home,4,0,Damon Vetere,239-851-5600,Coldwell Banker Realty,"Investment opportunity in Lehigh Acres! This duplex has 3 bedrooms, 2 baths and a 1-car garage on each side. With a great location right off of Leonard Blvd and close to town and 82, this investment property is occupied with long-term tenants and ready for immediate cash flow. This property has been updated to maximize it's potential and provide peace of mind for the new owner. Major improvements include a complete roof replacement (7/21), A/C system replacement (9/21) and a full water system rebuild/upgrade (5/21), while other improvements include fresh paint, landscaping, interior work and a new septic pump and float switch. Don't wait on this one!",fresh%20paint
8,"$159,950","2417 India Palm Dr, Edgewater, FL 32141",2,https://www.zillow.com/homedetails/2417-India-Palm-Dr-Edgewater-FL-32141/171056086_zpid/, Multifamily home,1,840,Barbara Zapotocky,321-960-6365,RE/MAX Aerospace Realty,"2417 India Palm Dr. is in a great location close to the water, surrounded by parks and close to major expressways. The property boasted a fenced in backyard, in a quiet, safe, and secure neighborhood. The home was recently renovated with fresh paint throughout. The kitchen has new stainless-steel appliances. If you wanted to house hack this property, living on one side and renting the other would more than cover your mortgage.  With rents in the area going for $1,700. If you are interested in both properties or want just one, please feel free to contact me and schedule a showing! This opportunity will not last long!",fresh%20paint
9,"$459,000","1796 Bald Eagle Dr #500B, Naples, FL 34105",3,https://www.zillow.com/homedetails/1796-Bald-Eagle-Dr-500B-Naples-FL-34105/2089171948_zpid/, Condo,3,"1,773",Bianca Cirakovic,239-200-7462,Sun Realty,"This delightful rarely available condo offers  3 bedroom & 3 bath and has been recently upgraded .It  features new tile & laminate wood floor throughout, open floor plan, brand  new kitchen & white counters with top of the line appliances. Dog friendly community. Located on the top floor light and bright with large windows and sparkling serene lake with fountain  views! Great room opens to large dining area and three generously appointed bedrooms-2 w/a pocket door. Outdoor storage closet. Close to shopping, restaurants, movies and more!  Featuring fresh paint, this home lives clean and spacious.    Community is gated at night and it  is only minutes from the sugar-white beaches of the Gulf of Mexico  are  and is walking distance to shopping and dining.",fresh%20paint
