,prices,address,beds,links,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$250,000","18958 Duquesne Dr, Tampa, FL 33647",2,https://www.zillow.com/homedetails/18958-Duquesne-Dr-Tampa-FL-33647/51585644_zpid/, Townhouse,3,"1,272","Jeffrey Borham, PA",866-308-7109,Exp Realty LLC,"This is a beautiful 2 bedroom, 2.5 bathrooms, and 1 car garage townhome located in the Promenade Community at West Meadows. The main floor welcomes you with an open concept layout, laminate flooring throughout, high ceilings, an abundance of natural light, and sliders to your own screened lanai. The open concept kitchen features solid wood cabinets, quartz countertops, newer stainless-steel appliances, a walking pantry, a breakfast bar, and a separate eat-in area. Going up to the second floor, the master suite features a large walk-in closet, an en-suite bathroom with quartz countertops, and a shower with a bathtub combination. The other room has a large closet and another bathroom with a bath/tub shower combination. This home is located in a wonderful, gated community that offers a pool, a cabana with a lovely view of the lake, and access to West Meadows heated pool, tennis courts, fitness room, basketball, playground, dog park, volleyball court, etc.  Perfect location, Top-rated schools, and near Wire-grass mall, dining, entertainment, and so much more! Don't miss out and call today for an appointment.",quartz
1,"$349,990","22585 Vistawood Way, Boca Raton, FL 33428",3,https://www.zillow.com/homedetails/22585-Vistawood-Way-Boca-Raton-FL-33428/46510516_zpid/, Townhouse,2,"1,200",Abi Ochoa,305-918-1654,Meridian Trust Investments Inc,"A tastefully remodeled 3 bed 2 bath Villa located in the desirable Timberwalk neighborhood of West Boca! This property features hurricane impact windows and doors, a modern quartz kitchen with wood shaker cabinets, recess lighting, new stainless steel appliances and new tile floors throughout! Additionally, updated bathrooms, light fixtures, vaulted ceilings and freshly painted in and out.  It doesn't end there, the roof, central AC and water heater were all updated in 2018 as well. HOA includes lawn care, fence & house painting, community pool, basketball, softball, tennis, bike & jogging paths, fishing pier, public area for BBQ's which include picnic tables. All "" A"" rated schools as well. No FHA at this time. Conventional and cash only. Please submit offers with DU approval or proof of funds. Seller will entertain AS IS offers only with Right to inspect, showing can be scheduled within an inspection period as well. Seller is a corporation and has never occupied the unit, no seller disclosure will be provided. Occupant will be vacating by February 28th. No showing appointment available until a scheduled open house is made. Aiming for early first week of February between 2/4 and 2/6 contingent on occupants availability.",quartz
2,"$675,000","16187 SW 72nd Ter, Miami, FL 33193",4,https://www.zillow.com/homedetails/16187-SW-72nd-Ter-Miami-FL-33193/44262506_zpid/, House,3,"2,212",Veronica Chevrestt,917-577-5335,Real Estate Boutique of So Fla,"MODERN POOL HOME W/ a TROPICAL FLARE- where nothing was spared. This 4/2.5/2 detached home has a fully remodeled kitchen, quartz countertops, modern faucets w/ touch capabilities(2018), remodeled bathrooms with motion sensor faucets(2018), Italian Porcelain & Marble flooring, Impact windows and doors throughout.Gas dryer/washer, gas water heater (2018) electrical panel (2017) AC unit/control panel (2017). A fully-fenced backyard, beach entry saltwater pool and spa w/LED multicolor lighting that can be heated via remote controlled temp sensors, outdoor stainless steel kitchen, children's playground, fruit trees (lemon, sea-grape, mango). Samsung smart home features/system controls: AC temp, lights, door locks,Ring Cameras.EXCELLENT SCHOOLS, SHOPPING. FULL LIST OF UPGRADES AVAILABLE. SEE ATTACHED HOA APPLICATION/RULES & REGS/BY LAWS.  SEE ATTACHED PROPERTY DISCLOSURE  SEE ATTACHED LIST OF IMPROVEMENTS/SPECIFICATIONS",quartz
3,"$348,000","7960 Preserve Cir APT 611, Naples, FL 34119",3,https://www.zillow.com/homedetails/7960-Preserve-Cir-APT-611-Naples-FL-34119/66137545_zpid/, Condo,2,"1,500",John J Krol,239-289-2336,Realty World Top Producers Rlt,"READY TO MOVE IN TO.......RENOVATED 3 BEDROOM 2 BATH CONDO........SPACIOUS LIVING AREA........SCREENED LANAI.........KITCHEN FEATURES NEW STAINLESS STEEL APPLIANCES, CUSTOM CABINETS, AND QUARTZ COUNTER TOPS.........PLANK TILE FLOORS THROUGHOUT...........COVERED CARPORT.........COMMUNITY OFFERS CLUBHOUSE, POOL, FITNESS ROOM, BOCCE BALL, SPA, RACQUET BALL,   AND FEATURES GATED SECURITY.........EXCELLENT LOCATION, CLOSE TO SHOPPING, RESTAURANTS, BEACHES, I-75, PARKS, AND MORE.....EXCELLENT OPPORTUNITY TO BUY A CONDO WITH ALL THE RENOVATION WORK DONE......THIS IS AN EXCELLENT VALUE ....DO NOT MISS THIS ONE.",quartz
4,"$240,000","7163 Mark St, Jacksonville, FL 32210",5,https://www.zillow.com/homedetails/7163-Mark-St-Jacksonville-FL-32210/44416154_zpid/, House,4,"2,217",Sarah Rocco,904-490-9979,Keller Williams Realty Atlantic Partners Southside,"If you are looking for a fully renovated property to add to your rental portfolio or your first home to own, then look no further! This move-in-ready 5 bedroom, 4 bathroom home offers plenty of living space and updates galore. 2 newer ac units, new locks, new laminate floors, updated paint, and more. Open kitchen offers new stainless steel appliances, quartz countertops, tons of counter space, and a multitude of cabinets. Natural light pours through the abundance of windows throughout the home. Enter the spacious owner's suite to find a huge ensuite bathroom with a walk-in shower and separate tub. Huge 2 car garage has a private full bathroom and additional storage space. NO HOA OR CDD. You won't want to miss this one!",quartz
5,"$299,900","1708 Brown St, Kissimmee, FL 34741",3,https://www.zillow.com/homedetails/1708-Brown-St-Kissimmee-FL-34741/46322448_zpid/, House,2,"1,092","Carrie Courtney, PA",407-922-9767,"Changing Latitudes Real Estate Services, LLC","RARE FIND!!! This absolutely ADORABLE home has soooo much to offer!!! Completely remodeled and updated with 3 bedrooms and 2 full bathrooms. Located on a private, cul-de-sac lot with an extra-large driveway.  Relax and enjoy the sunsets while relaxing on the beautiful front porch that overlooks your meticulously landscaped yard.   The private, fenced-in, oversized backyard is perfect for entertaining and enjoying family, friends, and pets. Inside you will find an absolute dollhouse that looks like a model home.  Completely remodeled with brand new flooring throughout, all new lighting & fixtures, remodeled 2 full bathrooms, the upgrades, and special touches go on and on, too long to list, you will need to see for yourself.  The kitchen is perfect for the gourmet chef with stainless steel high-end appliances including gorgeous quartz countertops, backsplash, and designer cabinets.  NO HOA!! This amazing home is close to schools and the great shopping/restaurants of Downtown Kissimmee, this home is truly located right in the HEART of Kissimmee. Hurry today to get your offer in, this will go fast!",quartz
6,"$290,000","1452 Galveston Ave, Spring Hill, FL 34609",2,https://www.zillow.com/homedetails/1452-Galveston-Ave-Spring-Hill-FL-34609/44827011_zpid/, House,2,"1,600",Louis Carfino,352-238-8383,REMAX Marketing Specialists,"MULTIPLE OFFERS: Please have all offers in by Tuesday 1/25/22 at 5 p.m. I will be discussing all offers with seller on Wednesday.Move in ready, spacious 2 oversized bedroom 2 bath, 2 car garage pool home. Over 1600 s/f. Open floor plan, featuring a beautiful updated kitchen with quartz counters, stainless steel appliances, and a large, bright breakfast nook. House has ceramic tile throughout, which contributes to the light airy feel. Spacious family room features built in custom stone / electric fireplace. New lighting throughout. Fully renovated bathrooms. Custom shades throughout the house. Main bedroom features 1 walk in closet and 1 other closet,  and en suite bathroom features dual sinks, with walk in shower.. Custom blinds in the kitchen. New windows in the kitchen and dining room. Indoor laundry room, washer and dryer included. Roof and A/C  done in 2016,  House has been recently painted, inside and out. Sprinkler system, and fully PVC fenced yard. Screened garage features epoxy floors. Extra large sunroom features solar powered shades. Private backyard with screen enclosed pool eating area and palm trees is very inviting. Perfect for outdoor entertaining. This home has too many features to list, you must see it yourself before it's gone. Won't last long.",quartz
7,"$210,000","9371 Fontainebleau Blvd APT I104, Miami, FL 33172",2,https://www.zillow.com/homedetails/9371-Fontainebleau-Blvd-APT-I104-Miami-FL-33172/70786678_zpid/, Condo,2,"1,149",Fernando Schneider,305-810-9505,Jason Mitchell Real Estate Flo,Cash only! Great opportunity for investors. Fully renovated and converted in a 2/2 in Beach club at Fontainebleau Blvd. Beautiful and modern kitchen with quartz countertop and stainless steel appliances. 2 Full bath with spacious walk-in shower. Large stacked washer/dryer. Digital thermostat. 1 Assigned parking in front of the unit and 1 additional space in guest area. Enjoy the large porch of a ground unit. Excellent tenant occupying the unit paying $1650/month until 04/30/2022. Excellent ROI and tenant is willing to stay. Condo Special Assessment for building renovation ($204.24 until Dec/2023). Virtual tour available (click on the proper link). Ask For Walk Thru Video,quartz
8,"$385,000","2310 Carrington Ct #9-203, Naples, FL 34109",2,https://www.zillow.com/homedetails/2310-Carrington-Ct-9-203-Naples-FL-34109/2093391023_zpid/, Condo,2,"1,213",Elizabeth Mendias Strausbaugh,239-293-2112,Premiere Plus Realty Co.,"Absolutely Pristine Move In Ready Turnkey 2 Bedrooms, 2 Baths, 2nd Floor Condo with Exceptional Views of the Golf Course, Lake & Landscaping. Beautiful Laminated Flooring in Bedrooms and Main Living/Dining Room.  Vaulted Ceiling and First Class Furnishings Throughout.  Updated Kitchen Cabinetry, Quartz Countertops, Tiled Backsplash and Stainless Steel Refrigerator, Range & Microwave.  Master has His and Her Walk In Closets plus   a Large Walk In Closet in Guest Bedroom for Additional Storage.  Glassed in Shower/Tub with New Tile in Guest Bathroom.  All of this Pus More for You to Enjoy!  Stonebridge Country Club is a Bundled Golf Community located in North Naples offering Exceptional Amenities, Updated Club House and an Outstanding Social Calendar.  Close to Naples Finest Beaches, Great Restaurants and Shopping.",quartz
9,"$219,000","7610 Las Palmas Way, Jacksonville, FL 32256",3,https://www.zillow.com/homedetails/7610-Las-Palmas-Way-Jacksonville-FL-32256/2067005789_zpid/, Condo,2,"1,640",Kevin Pepperall,904-699-1900,Re/max Connects,"Nicely-Updated 3 Bed-2 Bath ground-level Condo with a Carport in ''Los Prados'' at Baymeadows, close to Hwy 95, 9 miles to the Beach & 5 min to St Johns Town Ctr. This Outstanding Condo features all-new Updated Kitchen with Quartz Countertops, new Stainless Appliances, new Cabinets & Farm-House Sink. New Updated Bathrooms Tile, Sinks, Fixtures & Vanities.  All Tile floors, LED Light Fixtures & Crown Moulding throughout the Condo, also comes with Washer/Dryer/Water Softener & New 3.5 Ton Air Con & Water Heater. Fully enclosed back Patio converted to 140 sq. ft. Florida room overlooks a pleasant green meadow & water-view.  Lastly, Condo was re-piped in 2008.  Come & enjoy this great ground-level Condo conveniently located to everything!",quartz
