,prices,address,beds,links,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$228,800","5074 Juliet Ct, Spring Hill, FL 34606",3,https://www.zillow.com/homedetails/5074-Juliet-Ct-Spring-Hill-FL-34606/44838780_zpid/, House,2,"1,144",Jon McCall,352-616-9700,Keller Williams-Elite Partners,"Active Under Contract Accepting Back up Offers...Quaint 3 Bedroom, 2 Bathroom, 2 Car Garage Pool Home; Offering a Split, Open Plan w/ 1,144 SqFt Heated & 1,758 Under Roof. Kitchen with Newer Stainless Steel Appliances, Master Suite with Dbl Closets, and French Doors to Pool, Large Guest Bedrooms. Lanai with Shiplap Ceiling. Screened Patio, Pool with Self Cleaning Pop Ups. Septic Pumped 2022 Call For a Showing Today.",shiplap
1,"$373,900","4030 SW 132nd Ln, Ocala, FL 34473",4,https://www.zillow.com/homedetails/4030-SW-132nd-Ln-Ocala-FL-34473/70405080_zpid/, House,3,"2,220",Elisha Lopez,352-427-0749,Ocala Realty World LLC,"Welcome to your new home!  This gorgeous 4 bedroom, 2.5 bath pool home is located on a spacious corner lot and features everything you could want in your next home, and more! This 2 story home offers plenty of space to entertain with its full first floor dedicated to living spaces featuring an open concept kitchen/living/ family room combo overlooking the southern exposure ENCLOSED POOL AREA and fenced in back yard, modern shiplap wall in the family room.The kitchen boasts stone counter tops, earth-toned backsplash and stainless steel appliances.  The main floor also offers many opportunities with it's bonus rooms, if you are looking for office space or play rooms, this home will fit the bill! On the second story you will find all bedrooms including the master suite",shiplap
2,"$215,000","983 Desirade E, Venice, FL 34285",2,https://www.zillow.com/homedetails/983-Desirade-E-Venice-FL-34285/172024708_zpid/, Home,2,"1,800",Dan Clark,207-807-7537,My Florida Dreams,"This stunning designed home is beautifully detailed to give you an active leisure lifestyle! You will love the tropical setting with great curb appeal accented with a lovely bougainvillea in the front to greet you. It is a 2 bedroom plus den, two bath top of the line 2004 Palm Harbor. This well appointed home boasts over 1800 square feet of living under air, it  has a brick paved front entrance along with pavers in the carport. There is an extra wide covered drive that fits 2 side by side cars, with an added extra long garage. In the back of the garage is room for a workbench or crafts with a utility sink, storage closet and extra shelving above. This home has a WOW FACTOR! Sheetrock walls, crown molding, tray ceilings that are a mark of fine craftsmanship. It is immaculate, light and bright. As you enter the front door there is a room running across the front that is presently a TV, sitting area but can be utilized as home office, craft or whatever desired. The amazing spacious floor plan features an open living space. It is well appointed with a gourmet kitchen, top of the line LG appliances, Corian countertops, a breakfast bar and beautiful bamboo flooring throughout. It is accented with a warm, multi-colored tiled backsplash, slide out cabinet drawers, a butler's pantry that flows through Kitchen and Dining room where there is also an extra desk area. This makes for great entertainment. Off the kitchen is a second pantry with another utility closet with a wash tub, shelving and the side-by-side washer/dryer. This also leads to the garage. Coming to the bonus room, it is presently utilized as a home office. The possibilities are endless as an extra bedroom, gym or hobby room with a set of french doors. There is another coat/broom closet located in the hall and this home is unique with an attic. The guest bath off the hallway has a tub/shower combination, single vanity and solar ceiling light. The guest bedroom has a double closet, queen size bedroom set, and this set is negotiable. The large master is located at the back of the home and has a king bed with Tommy Bahama style furniture and a triple mirrored closet. The amazing master bath has dual vanities, shiplap walls, a private commode closet, walk-in closet and a tiled rain shower with a beautiful, walk-in, frameless shower wall. Additional features that will provide peace of mind, whether full time or seasonal, is knowing this home is built to withstand all types of weather. The true Florida lifestyle of relaxation and year-round outdoor activities awaits with this home. Bay Indies 55+ is well known for its warm, friendly active community. The amenities include 3 fabulous, heated pools with hot tubs, fitness center, tennis, 3 club houses with room for parties, concerts, and numerous games, 3 lakes and rated a 4-star resort community. Venturing outside the park it is easy to enjoy all that Venice  offers being in an ideal location to world class beaches, cultural events, bike trails, golf,  restaurants, shopping and new medical center. There is the Atlanta Braves stadium a few miles away. Bay Indies is minutes to I-75 leading to 3 area airports. This is also a pet friendly community. This home is mostly turnkey minus some personal items. This is Florida living at its best and an absolute must see!  All listing information given to us is considered appropriate and reliable but should be independently verified through personal inspection by certified professionals. We cannot guarantee or warrant the accuracy of this information. The lot rent is determined by the Community office. It covers all amenities offered and more plus other  expenses including property taxes and lawn maintenance.",shiplap
3,"$285,000","121 N Lee Ave, Arcadia, FL 34266",3,https://www.zillow.com/homedetails/121-N-Lee-Ave-Arcadia-FL-34266/44396349_zpid/, House,2,"2,557",Ann Bursa,863-990-1878,Re/Max Palm Pcs,"Beautiful 3 bedroom 2 bath home on over half acre in the city, within the Historic District.  Two car detached garage and additional storage/craft building has new insulation, shiplap and new 1500 BTU AC unit to keep you comfortable.  Lovely wood floors and ceramic tile in kitchen and bathrooms. This home has a walk-in pantry in the kitchen and a Butlers pantry between the kitchen and formal dining room.  Sunroom in front is perfect for alone time with your favorite book. Homeowners have added a privacy fence. This home has so much charm, you’ll LOVE adding your own touch!",shiplap
4,"$555,000","35028 Haines Creek Rd, Leesburg, FL 34788",4,https://www.zillow.com/homedetails/35028-Haines-Creek-Rd-Leesburg-FL-34788/45293433_zpid/, House,3,"2,330","Adolfo Pereira, IV",407-968-8371,Margaux Realty Inc,"One or more photo(s) has been virtually staged. Welcome to this beautiful 4 bedroom 2.5 bathroom pool home located in the waterfront community of Riverside. This home has been meticulously updated with no expenses spared. Right away you will notice the fresh landscaping, newly painted exterior, resurfaced driveway, newer roof, new light fixtures and a new oversized custom garage door. Walking inside through the newly installed custom double entry doors you will be greeted with new luxury vinyl flooring throughout the home, fresh interior paint, the abundance of natural light and so many features every buyer will appreciate. The newly renovated gorgeous custom kitchen boasts 34” white shaker cabinets, quartz counter tops, designer subway tile back splash, stainless steel appliances including a gas range and a four door flex refrigerator/freezer, coffee bar with open shelving, bar/island seating area, a white farm apron sink and a large walk in pantry with a work desk, shiplap accents and built-ins,. Off the kitchen you have a breakfast nook overlooking the peaceful views of the screened in porch, newly resurfaced and tiled pool, and painted deck surface. The kitchen also overlooks the spacious living room with a custom shiplap wall and cozy, wood burning fireplace. The luxurious master bedroom/bathroom is located on the first floor and boasts a brand new dual vanity, new stand alone tub, new shower with near frameless glass and new tile. Additionally there’s a spacious master closet with new custom built-ins. On the first floor you also have a laundry room and a renovated powder room for convenience. The other bedrooms are located upstairs along with an additional bathroom. One of the bedrooms can be used as a flex room/bonus room due to its enormous size. Brand new HVAC system, gas water heater, interior light fixtures, and so much more! This highly desirable waterfront community has its own private boat ramp launching you into Haines Creek which leads to the Harris Chain of Lakes. This chain of lakes encompasses 7 large lakes which are perfect for a variety of water sports and fishing. For an additional fee to the HOA, there is also boat/RV/trailer storage and wet slips for your watercraft. Be sure to check out the virtual tour link for a 3d walk through of the home. Call today for a private showing!",shiplap
5,"$380,000","3415 Wilderness Cir, Middleburg, FL 32068",3,https://www.zillow.com/homedetails/3415-Wilderness-Cir-Middleburg-FL-32068/43700540_zpid/, House,2,"2,234",Barbara Lynn Brittingham,904-652-4953,Herron Real Estate Llc,"MULTIPLE OFFER NOTICE. ALL OFFERS DUE BY 5:00PM  TUES. JAN 25, 2022. Beautiful corner lot farm house style home on .68 acres with stunning shiplap, updated kitchen with gorgeous tiled wall, new white cabinets, butcher block counters, farm house sink, refrigerator, decorative range hood, breakfast bar, brand new carpet in bedrooms and Family Room and new laminate floors in the main living area and hall, new staircase, fully remodeled hall bath and new A/C unit inside and out, RV Hookup and sprinkler system.",shiplap
6,"$365,000","205 NE 9th Ave, Lake Butler, FL 32054",3,https://www.zillow.com/homedetails/205-NE-9th-Ave-Lake-Butler-FL-32054/47927306_zpid/, House,2,"3,062",Angie Hendricks,386-623-1873,Re/Max Professionals,"If you've been waiting for that pool home to hit the market, here it is. Walk in to this beautiful pool home and enjoy all the character and extras it has to offer. The main home is a 3 bedroom /2 bath with a living room (wood burning fireplace), a den / dining room, a HUGE bonus room, a nursery (or office) in the master suite and large indoor laundry room. The master suite makes a statement of its own with a vaulted ceiling, his and hers walk in closets, walk in shower, soaking tub, dual sinks and an attached nursery/office. The kitchen is open and spacious with white cabinetry, stainless steel appliances and a custom hardwood countertop with an eat-in bar. The 2 guest rooms both have wood laminate flooring like much of the home, no carpet at all. Enjoy the large extra bonus room with plenty of room to play. Leading to the pool you'll walk through a light and bright dining room / den area. The (chlorine) pool is situated nicely in the back yard and ready for those long days of summer, a brand new wooden deck was built to accommodate the grill and guest seating. Cool decking, fencing and child safety fencing surrounding the pool area. An amazing feature of this property is the detached building/apartment/in law suite in the back of the property. With great bones, you can make it exactly what you want. The building consists of a main room with the potential of a kitchenette, a bedroom and a full bath, has plumbing, electricity, a wall a/c unit & an attached 2 car carport.  Please note the public records do not have the correct square footage. Square footage of the home is as follows: Main Home is 3062 heated and cooled, Main home under roof total is 3453, Detached in law suite is 600 living space and 900 total under roof. Updates to the main home: New Roof in 2019, New HVAC in 2017, Freshly Painted, New Light Fixtures, New Faucets along with freshly added and painted shiplap walls in hallway.  Located on a spacious lot in the city limits of Lake Butler. This property is located on a quiet, cul-de-sac street and just a quick walk to Lake Butler Lake, Lake Butler Park, playgrounds, stores and the schools.  Enjoy the easy going pace and the lower taxes of Union County!",shiplap
7,"$479,000","5329 Rushmore Dr, Panama City, FL 32404",3,https://www.zillow.com/homedetails/5329-Rushmore-Dr-Panama-City-FL-32404/195534192_zpid/, House,3,"2,308",Lisa Sample,850-527-5492,Re/Max By The Sea,"This beautifully updated 3 bedroom/3 bath home offers 3,600 sf under the roof with 2,300 sf of living space located on a huge lot measuring 100 x 369! The home has been updated with New Roof, New Windows, Lime Washed Brick, Hardie Siding, Kitchen Cabinets, Granite Countertops, Appliances, Light Fixtures and Stone Flooring!  The new electric fireplace features a custom Cypress mantle, and the home is wired for a generator. Laundry updates include large farmhouse sink, shiplap, and barn door.  The master bathroom has a separate shower (with Bluetooth speaker), jetted tub, double granite vanity, The exterior has a 2-car garage; privacy fence, enclosed custom RV storage building; separate storage building for lawn equipment, firewood and trailer storage; and plenty of room to add a pool or gar",shiplap
8,"$300,000","5700 NW 2nd Ave APT 102, Boca Raton, FL 33487",3,https://www.zillow.com/homedetails/5700-NW-2nd-Ave-APT-102-Boca-Raton-FL-33487/46711922_zpid/, Condo,2,"1,200",Joseph DeFalco,561-352-6759,EXP Realty LLC,"Completely remodeled 3/2 ground floor unit in east Boca. This home features tons of natural lighting, an open floor plan with high end finishes. The stunning kitchen includes tile backsplash, solid wood shaker cabinets, and gorgeous quartzite real stone countertops. Both remodeled bathrooms feature solid wood cabinets, quartz countertops, porcelain tile and LED fogless light in the master bath. This home has been outfitted with all new flooring, new interior doors, new breaker box, new LED lighting throughout and new Hunter ceiling fans in all 3 bedrooms. The living room features real shiplap and is filled with natural lighting by the sliding glass doors leading out to your private screened in patio overlooking the greenery. Great schools and within walking distance to shopping.",shiplap
9,"$6,500,000","20 Seaside Ave #C &amp; D, Santa Rosa Beach, FL 32459",4,https://www.zillow.com/homedetails/20-Seaside-Ave-C-D-Santa-Rosa-Beach-FL-32459/2067866845_zpid/, Condo,5,"3,320",Randy Carroll,850-624-0037,Scenic Sotheby's International Realty,"Perched atop one of the highest points in all of Seaside, Florida offering panoramic views of the entire town, this elevated ownership opportunity truly takes coastal living to the next level. Spanning across two full size condominium units and combined to craft a truly remarkable luxury retreat, condo C&D offers more than 3,300 square feet of perfectly curated whimsical spaces, accented with plentiful views, charming details, and one of the single best vistas of the community.Designed with privacy and easy living at the forefront, the top level of the home offers an open concept living-dining-culinary space accented with a full length row of floor to ceiling windows, pecky cypress cabinets and french doors leading to an oversized covered balcony overlooking town square. The top level of the home also gifts a guest en suite with attached bunk room/nursery space for additional accommodations.

Traversing down a custom pecky cypress staircase, elegantly clad in a designer chandelier and wrapped in mitered edge shiplap siding, the bottom level of this property provides three additional bedrooms, each with ensuites, including the inspiring master suite with modern industrial finishes, and mesmerizing views of the Gulf of Mexico.

The true masterpiece of this iconic property is found through the private staircase on the rooftop. Gifting true 360 views of the entire community, as well as views of both the sand and the waves of the beach, more than 1,000 square feet of open living space is accented by a summer kitchen, plenty seating, and privacy rarely found along the Emerald Coast.

Additional features include a private elevator for transport to both levels of the third & fourth floor condo, reserved parking and European lighting showcased throughout the home.",shiplap
