,prices,address,beds,links,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$647,900","7504 S West Shore Blvd, Tampa, FL 33616",4,https://www.zillow.com/homedetails/7504-S-West-Shore-Blvd-Tampa-FL-33616/82987289_zpid/, House,4,"2,286",Jared Mytych,,ZILLOW HOMES INC.,"Fall in love with this beautiful 4 bedroom, 3.5 bathroom home in the community of Port Tampa City. As you enter, you are greeted by a grand foyer and wood-look flooring that guides you across a thoughtful layout. An abundance of natural light fills the spacious living room, ideal for enjoying the sunrise. Find entertaining guests a simple task in the stylish eat-in kitchen, equipped with stainless steel appliances, stone-look countertops, and a kitchen island table combo. Unwind and relax in the comforts of the primary bedroom, featuring a walk-in closet and spa-like en suite bathroom with a dual sink vanity, soaking tub, and separate gorgeously tiled shower. Soon to be your favorite place, the fenced-in backyard and pool is the perfect place to host summer barbeques and soak in the Tampa weather. Extra Highlights include sizable secondary bedrooms, an attached garage, and a separate dining room. This home is minutes from US-92, Shopping centers, restaurants, and Picnic Island Park.",stainless
1,"$397,900","2626 Blue Sage Ave, Coconut Creek, FL 33063",2,https://www.zillow.com/homedetails/2626-Blue-Sage-Ave-Coconut-Creek-FL-33063/42899423_zpid/, House,2,"1,716",Lisa Gabler,,"Zillow Homes, Inc.","Get ready to fall in love with this 2 bedroom, 2 bathroom home with curb appeal in the highly sought-after Tamarind Village 55+ community! As you enter the home, you are welcomed by a sunlit living room with ample space, as well as an open dining area. Continue through to the eat-in kitchen featuring plenty of cabinet space, countertops, and stainless steel appliances. Retreat to the primary bedroom with a generous closet and en-suite bathroom. Bonus room makes a great office or media room. The home comes with an oversized Florida room with a view of the backyard that backs up to the canal. You will be centrally located near several shops, eateries, schools, parks, and easy access to Florida’s Turnpike. The community boasts a pool, fitness center, playgrounds, and more!",stainless
2,"$459,900","5341 Sarapointe Dr, Sarasota, FL 34232",4,https://www.zillow.com/homedetails/5341-Sarapointe-Dr-Sarasota-FL-34232/47482071_zpid/, House,3,"1,931",Shantanice Vaxter,,ZILLOW HOMES INC.,"If you are looking for square footage, look no further than this 4 bedroom, 3 bathroom home in the charming community of Eastpointe. This unique floor plan is perfect for easy living. The open concept on the second level is inviting and perfect for entertaining. The stone fireplace stretches up to the vaulted ceiling that extends across the main living space. Cooking will be a delight in the well-appointed kitchen, boasting a tile floor, stainless steel appliances, and ample counter space to prepare meals. The primary bedroom features a spacious closet and an en suite bathroom equipped with a luxury tile shower. Enjoy weekend cookouts with friends and family in the expansive fenced backyard with plenty of room for everyone. With excellent shopping and dining at The Mall at University Town Center, I-75 minutes away, and numerous beaches within a short drive, this is the ideal place to call your next home.",stainless
3,"$479,900","1208 Lake Deeson Woods Ln, Lakeland, FL 33805",3,https://www.zillow.com/homedetails/1208-Lake-Deeson-Woods-Ln-Lakeland-FL-33805/47406331_zpid/, House,2,"2,615",Monica Donahue,,ZILLOW HOMES INC.,"Located in the Lake Deeson Woods community, this 3 bedroom, 2 bathroom home is awaiting its new owner. Stunning landscaping greets you as you approach the front door. Inside, you will be greeted with an abundance of natural light that flows effortlessly throughout the home. This home has thoughtful details, including built-in shelving, a double tray ceiling, and a brick fireplace. The floor plan is ideal for entertaining, with the living room opening into the kitchen, boasting a breakfast bar, a stylish countertop, and stainless steel appliances. Relax in luxury in the primary bedroom featuring impressive closet space and an en suite bathroom equipped with a frameless tile shower and an oval soaking tub. Your oasis awaits through the sliding glass doors to the covered patio space and a resort-style enclosed pool that overlooks the lush green space of the fenced backyard. With its warm sense of community and only minutes to shopping, dining, and I-4, this is the perfect place to call your next dream home.",stainless
4,"$388,900","11353 Andy Dr, Riverview, FL 33569",3,https://www.zillow.com/homedetails/11353-Andy-Dr-Riverview-FL-33569/44999776_zpid/, House,2,"1,538",Erin Shea,,ZILLOW HOMES INC.,"Come and see this picturesque 3 bedroom, 2 bathroom pool home in on a large lot. The bright and airy living room transitions seamlessly into the eat-in kitchen, boasting stainless steel appliances, wood cabinets, and ample counter space for easy serving. Enjoy the serenity of the primary bedroom, complete with an en suite bathroom outfitted with an expansive sink vanity, shower, and a walk-in closet. The fenced-in backyard is your private oasis offering plenty of lawn space, a screened-in covered patio, and a resort-style pool. Just beyond the fence are pond views! This move-in-ready home is situated close to restaurants, shopping and is only minutes to I-75 for easy commuting.",stainless
5,"$455,900","7345 Marsh Ter, Port Saint Lucie, FL 34986",3,https://www.zillow.com/homedetails/7345-Marsh-Ter-Port-Saint-Lucie-FL-34986/47810223_zpid/, House,2,"2,201",Lisa Gabler,,"Zillow Homes, Inc.","This beautiful 3 bedroom, 2 bathroom is the home you've been searching for! As you enter the home, you will be impressed with the open floor concept. The living room is perfect for entertaining guests and holiday gatherings. Cooking in the kitchen will be a delight offering sleek durable countertops, stainless steel appliances, and a breakfast bar. As you head to the primary bedroom, you can find time to relax in the en suite bathroom featuring dual sinks, a large soaking tub, and a walk-in shower. Enjoy the screened patio in the backyard with a cup of coffee to take in those few quiet moments in the morning! Conveniently located minutes from local shopping centers, dining areas, and nearby parks.",stainless
6,"$328,600","960 NW 49th Ct, Deerfield Beach, FL 33064",2,https://www.zillow.com/homedetails/960-NW-49th-Ct-Deerfield-Beach-FL-33064/42896725_zpid/, House,2,"1,356",Renee Arango,,"Zillow Homes, Inc.","Are you ready to fall in love with this charming 2 bedroom, 2 bathroom home in the heart of Deerfield Beach? As you enter the home, you are greeted by the well-designed floorplan that boasts a spacious living room, a dining room, a family room, and a well-acquainted kitchen with a breakfast bar, stainless steel appliances, and gorgeous cabinets. The spacious primary bedroom features a large closet and ensuite bathroom. Get ready to adore your enclosed Florida Room, perfect for enjoying your morning coffee or entertaining. This home is near the Military Trail Nature Area, I-95, with several parks, schools, eateries, and shopping nearby. Do not miss the opportunity to see this incredible home!",stainless
7,"$459,900","2337 Orangepointe Ave, Palm Harbor, FL 34683",3,https://www.zillow.com/homedetails/2337-Orangepointe-Ave-Palm-Harbor-FL-34683/47231053_zpid/, House,2,"1,778",Monica Donahue,,ZILLOW HOMES INC.,"Pride of ownership beams from this 3 bedroom, 2 bathroom home in the sought-after community of Beacon Groves. The covered porchway welcomes you into an open concept living room with wood-like flooring and large windows. Delight your inner chef in the well-appointed kitchen boasting stainless steel appliances, wood cabinets, a tile backsplash, and ample counter space for easy serving. The primary bedroom serves as a relaxing retreat with a spa-like en suite bathroom, outfitted with an expansive sink vanity, tile floors, and a shower with a modern tile surround. The fenced-in backyard is your private oasis with a screened-in patio, resort-style pool, and lawn space for activities. This home is conveniently located near dining, shopping and is only minutes from the Crystal Beach Pier.",stainless
8,"$369,900","909 Regal Manor Way, Sun City Center, FL 33573",2,https://www.zillow.com/homedetails/909-Regal-Manor-Way-Sun-City-Center-FL-33573/82041261_zpid/, House,2,"2,025",Romina Doringo,,ZILLOW HOMES INC.,"Come and take a look at the gorgeous 2 bedroom, 2 bathroom home waiting just for you. Upon entry, you will immediately fall in love with the high ceilings and wood-look flooring that guides you into the home. An abundance of natural light fills the spacious living room, creating an atmosphere ideal for entertaining guests. Enjoy a home-cooked meal in the stylish eat-in kitchen, equipped with stainless steel appliances, an island, granite countertops, and a breakfast bar. Unwind in the privacy of the primary bedroom, showcasing a tray ceiling, a walk-in closet, and a spa-like en suite bathroom with a dual sink vanity, a jetted tub, and a separate shower. Soon to be your favorite place, the enclosed patio is the perfect place to enjoy the Sun City Center weather! This home is minutes from US-301, shopping centers, restaurants, and community amenities, including sports courts!",stainless
9,"$210,000","9371 Fontainebleau Blvd APT I104, Miami, FL 33172",2,https://www.zillow.com/homedetails/9371-Fontainebleau-Blvd-APT-I104-Miami-FL-33172/70786678_zpid/, Condo,2,"1,149",Fernando Schneider,305-810-9505,Jason Mitchell Real Estate Flo,Cash only! Great opportunity for investors. Fully renovated and converted in a 2/2 in Beach club at Fontainebleau Blvd. Beautiful and modern kitchen with quartz countertop and stainless steel appliances. 2 Full bath with spacious walk-in shower. Large stacked washer/dryer. Digital thermostat. 1 Assigned parking in front of the unit and 1 additional space in guest area. Enjoy the large porch of a ground unit. Excellent tenant occupying the unit paying $1650/month until 04/30/2022. Excellent ROI and tenant is willing to stay. Condo Special Assessment for building renovation ($204.24 until Dec/2023). Virtual tour available (click on the proper link). Ask For Walk Thru Video,stainless
