,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$530,000","6565 Octave Ave, Las Vegas, NV 89139",https://www.zillow.com/homedetails/6565-Octave-Ave-Las-Vegas-NV-89139/66850103_zpid/,4, House,3,"2,368",Ehren Alessi,702-800-5054,Resolution Realty,"Gorgeous 2-story home in the Southwest! Tile/laminate floors (no carpet) and shutters abound through the entire house. Front area can be used as an exercise room or formal living/dining space. Beautiful step-down large family room area. Fantastic kitchen featuring new gas stove & dishwasher, granite counters, dining area, and island with ceiling pot hangers. Direct access to the backyard where you'll find a refreshing inground heated pool and spa. All bedrooms are located upstairs. Primary bedroom with double door entry where you'll find two walk-in closets (one of them is a high-end custom closet). Oversized master bathroom boasts a lrg sunken tub & separate shower w/ bench. Fabulous secondary bedrooms are spacious, have ceiling fans and custom blinds. Located near a number of great restaurants/shops and centrally located to all major areas of Las Vegas. Welcome and enjoy!*No Shoes in the house. Please remove shoes or use shoe covers by the front door*",new
1,"$359,900","11038 Bornite Ct, Reno, NV 89506",https://www.zillow.com/homedetails/11038-Bornite-Ct-Reno-NV-89506/7317292_zpid/,3,"<abbr class=""list",2,"1,280",Alex R Ficco,775-901-3301,eXp Realty,"Your home search is officially over! This is THE ONE! Step outside of the city get some room to roam with this turnkey and spacious 3 bed, 2 bath + a bonus family room with all new laminate flooring, carpet, interior and exterior paint, butcher block counter tops, and a beautiful tiled master shower. Vacant and easy to show. Do not hesitate to come see it. This one's going to go quick!",new
2,"$89,900","6223 E Sahara Ave SPACE 88, Las Vegas, NV 89142",https://www.zillow.com/homedetails/6223-E-Sahara-Ave-SPACE-88-Las-Vegas-NV-89142/243065341_zpid/,3, Home,2,"1,296",Carlos Quiles,863-210-2815,Lakeshore Management Co,"Your new home is waiting for you in Sunrise Estates, a well-maintained, professionally managed manufactured home community. If you re just starting out or have a small family, you owe it to yourself to look at this 3 bed/2 bath, 1344 sq. ft. home. It s only $89,900.00 plus lot fees, and it s yours to own! No more outrageous Las Vegas rent! Talk to one of our representatives today by calling and schedule a viewing!",new
3,"$449,995","7201 Wedgewood Way, Las Vegas, NV 89147",https://www.zillow.com/homedetails/7201-Wedgewood-Way-Las-Vegas-NV-89147/7125057_zpid/,3, House,2,"1,509",Kevin Goujon,702-576-4877,Infinity Brokerage,"Better than NEW!! Stunning single-story home! The kitchen features stainless steel appliances, Quartz countertop, New White Shaker Cabinets & black fixtures with a modern design.  The whole house has 5-inch Baseboards, has been freshly painted, and has vinyl flooring. Our upgraded bathrooms have new custom tile showers! This home provides a lot of natural lighting and plenty of charm. The front yard has white rock & a welcoming entry. The backyard has desert landscaping next to a great swimming pool (great for entertaining).  Come and take a look at this beauty.. Don't miss out! All this can be yours.",new
4,"$299,000","1580 Keenan Way, Pahrump, NV 89048",https://www.zillow.com/homedetails/1580-Keenan-Way-Pahrump-NV-89048/67887939_zpid/,3, Home,2,"1,707",Leanna Murphy-DeGoede,702-328-0575,Nevada Realty,"Pride of ownership right here! Very well kept 3 bedroom, 2 bathroom manufactured home. Fully fenced with double RV gates and circular driveway. Split floor plan, separate living room and family room. Spacious kitchen with oak wood cabinets, updated counter tops, new sink & faucet. Kitchen has a lazy susan & pantry. Boasting many upgrades including new roof, new AC, new light fixtures, new reverse osmosis, new water softener. Updated flooring & baseboards. Dining room with built in buffet & sliding door to the back patio. 2nd bathroom is completely remodeled (new tub/shower combo, glass door, vanity, counter top, sink, faucet & toilet. Master bedroom has walk in closet, double sinks in the master bathroom and makeup vanity (all updated). Laundry room with extra cabinets, counter top & sink! You have your own private oasis on the back patio. It's separately fenced with privacy fencing, has a hot tub, landscaping.. its relaxing! 2 car detached garage (workbench & storage cabinet included)",new
5,"$325,000","412 E Barrett St, Henderson, NV 89011",https://www.zillow.com/homedetails/412-E-Barrett-St-Henderson-NV-89011/7180071_zpid/,3, House,2,"1,020",Heather Escuin,702-324-0737,Jason Mitchell Real Estate,"Stop the car!! What? A single family house, at this price. This house will not last. Solar Panels are less than 2 years new and paid off, your bill is $13/month. 2 years and new renovated. New kitchen, carpet, bathroom, toilets, Upgraded 220V electrical box, dump station in the front of house, drive through garage. Washer dryer, and Fridge stay. Comes with a 10x12 shed, less than 1 year old. Refrigerator and stove less than 3 years old. This house WILL NOT LAST.  solar is paid off. Average summer bill is $13.  New cabinets in kitchen, new kitchen sink with new garbage disposal, under sink water filtration system , new carpet through out house new master bathroom shower valve sink toilet  in both bathrooms solar panels new breaker box upgraded from 110 to 220, dump station in front yard by sidewalk  drive through garage,  fridge washer dryer and stove stays can lights in kitchen and hallway led lights ceiling fans 1 or old",new
6,"$229,900","1809 Dagger Dr #135, Henderson, NV 89014",https://www.zillow.com/homedetails/1809-Dagger-Dr-135-Henderson-NV-89014/2067043023_zpid/,2, Condo,2,"1,078",Noah Bates,702-551-4381,Rustic Properties,"IMMACULATE 2nd floor condominium with two balconies!  Interior boasts all new paint, luxurious vinyl plank flooring, and a DAZZLING lighting package!! All new GORGEOUS QUARTZ countertops, LUXURIOUS cabinet hardware, and BRAND NEW SS appliances!! Priced to sell and ready for you!!!",new
7,"$214,900","1530 E Firebird Cir N, Pahrump, NV 89048",https://www.zillow.com/homedetails/1530-E-Firebird-Cir-N-Pahrump-NV-89048/79886458_zpid/,3, Home,2,"1,364",Jonathan J Abarabar,702-875-1369,Rockwell Commercial Group,"Fully renovated 3 bedroom home with brand new air conditioner! This home received a head-to-toe designer makeover featuring full interior/exterior paint scheme, upgraded LVP flooring, quartz counter tops throughout and an upgraded electrical/plumbing fixture package. The massive open kitchen with island features a brand new stainless steel appliance package and has a clear line of sight to the living and dining areas. Centrally located and turn-key, this home won't last, schedule a tour today!",new
8,"$479,900","7220 Elite Ct, Las Vegas, NV 89129",https://www.zillow.com/homedetails/7220-Elite-Ct-Las-Vegas-NV-89129/6919561_zpid/,4, House,3,"2,501",Robert E Jones,702-747-8624,Offerpad,"SPECTACULAR 2 story home features soaring ceilings upon entry into the formal living room. Elegant stairway. Step-up formal dining room. Separate sunken family room w/fireplace, entertainment nook and access to the backyard. Breakfast nook next to kitchen. Gourmet kitchen w/white cabinets, SS appliances, NEW quartz counters, undermount sink, faucet, garbage disposal and SS dishwasher. Convenient downstairs bedroom & full bath. Amazing master suite w/sitting area and custom walk-in closet. Luxurious ensuite bath boasts dual sinks, make-up counter, soaker tub & walk-in shower. Park-like backyard w/covered patio and shade trees. 3 car garage w/space for bikes/toys. NEW exterior and interior paint, carpet & vinyl plank flooring thru out. UPDATED baths! Lease solar panels transferrable to new buyer. MOVE IN TODAY!",new
9,"$599,950","9865 Masterpiece Dr, Las Vegas, NV 89148",https://www.zillow.com/homedetails/9865-Masterpiece-Dr-Las-Vegas-NV-89148/58257234_zpid/,3, House,3,"2,448",Beth A Scofield,702-813-5307,Scofield Realty Inc.,"Come See This *Rare* and Hard to FIND Cul-De-Sac 3 Bedroom Single Story Home in the Highly Desired Gated Southern Terrace located within walking distance of Bishop Gorman!!! This property consists of 2,448 SQFT living area, 3 Bedrooms 3 baths, Den with Glass French Doors, Bonus Room that can be used as workshop. Custom walk-in closet, & private primary en suite. Center kitchen island, granite counters, breakfast bar, pantry, & plenty of cabinet space. OPEN FLOOR PLAN! New CARPET!! Courtyard and Low maintenance Yard. Comes w/2 car garage to one side & 1 car garage on the other side w/built in cabinets, great workshop area!  Access to clubhouse, pools, exercise facility and so much more! Very close to shopping and 215. An absolute must see, welcome to your new home!",new
10,"$254,995","2123 Clancy St, Las Vegas, NV 89156",https://www.zillow.com/homedetails/2123-Clancy-St-Las-Vegas-NV-89156/61648330_zpid/,4, House,3,"1,343",Wilmer Morejon,702-301-0451,Nationwide Realty LLC,"***CASH ONLY***HANDYMAN SPECIAL!!! ALL ELECTRICAL, PLUMBING AND HVAC SYSTEM IN NORMAL WORKING CONDITION. THIS PROPERTY HAS ALL NEW DRYWALL TEXTURE, PAINT, LIGHT FIXTURES, PLUMBING ANGLE STOPS, INTERIOR DOORS & SECURITY GATES ON ALL DOWNSTAIRS WINDOWS & DOORS. CUSTOMIZE AND FINISH IT TO YOUR SPECS, NEEDS CABINETS, COUNTER TOPS, FLOORING BASEBOARDS, CLOSET DOORS, SOME OF THE PLUMBING FIXTURES, ETC. THIS COULD BE A GREAT INVESTMENT PROPERTY. LOTS OF POTENTIAL HERE. GATED COMMUNITY, CLOSE TO SHOPPING, SCHOOLS & FREEWAY.",new
