,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$459,900","7812 Four Seasons Dr, Las Vegas, NV 89129",https://www.zillow.com/homedetails/7812-Four-Seasons-Dr-Las-Vegas-NV-89129/6921332_zpid/,3, House,2,"1,870",George Kypreos,,GK Properties,"Delightful single-story home with three bedrooms, two bathrooms, a two-car garage, and easy-to-maintain desert landscaping in the front yard! This home features a comfortable layout with a separate formal living room, a formal dining area, and a spacious family room. The family room is enhanced with a cozy fireplace and is open to the pleasing kitchen offering lovely quartz countertops, a breakfast bar, and a large stainless steel farmhouse sink. The primary suite provides a large picture window for natural light, plush carpet, walk-in closet, and ensuite equipped with dual sinks, sit-down vanity, a soaking tub, and a walk-in shower. Beautiful and serene backyard with a covered patio, grass lawn, and mature landscape.",quartz
1,"$449,995","7201 Wedgewood Way, Las Vegas, NV 89147",https://www.zillow.com/homedetails/7201-Wedgewood-Way-Las-Vegas-NV-89147/7125057_zpid/,3, House,2,"1,509",Kevin Goujon,702-576-4877,Infinity Brokerage,"Better than NEW!! Stunning single-story home! The kitchen features stainless steel appliances, Quartz countertop, New White Shaker Cabinets & black fixtures with a modern design.  The whole house has 5-inch Baseboards, has been freshly painted, and has vinyl flooring. Our upgraded bathrooms have new custom tile showers! This home provides a lot of natural lighting and plenty of charm. The front yard has white rock & a welcoming entry. The backyard has desert landscaping next to a great swimming pool (great for entertaining).  Come and take a look at this beauty.. Don't miss out! All this can be yours.",quartz
2,"$229,900","1809 Dagger Dr #135, Henderson, NV 89014",https://www.zillow.com/homedetails/1809-Dagger-Dr-135-Henderson-NV-89014/2067043023_zpid/,2, Condo,2,"1,078",Noah Bates,702-551-4381,Rustic Properties,"IMMACULATE 2nd floor condominium with two balconies!  Interior boasts all new paint, luxurious vinyl plank flooring, and a DAZZLING lighting package!! All new GORGEOUS QUARTZ countertops, LUXURIOUS cabinet hardware, and BRAND NEW SS appliances!! Priced to sell and ready for you!!!",quartz
3,"$214,900","1530 E Firebird Cir N, Pahrump, NV 89048",https://www.zillow.com/homedetails/1530-E-Firebird-Cir-N-Pahrump-NV-89048/79886458_zpid/,3, Home,2,"1,364",Jonathan J Abarabar,702-875-1369,Rockwell Commercial Group,"Fully renovated 3 bedroom home with brand new air conditioner! This home received a head-to-toe designer makeover featuring full interior/exterior paint scheme, upgraded LVP flooring, quartz counter tops throughout and an upgraded electrical/plumbing fixture package. The massive open kitchen with island features a brand new stainless steel appliance package and has a clear line of sight to the living and dining areas. Centrally located and turn-key, this home won't last, schedule a tour today!",quartz
4,"$479,900","7220 Elite Ct, Las Vegas, NV 89129",https://www.zillow.com/homedetails/7220-Elite-Ct-Las-Vegas-NV-89129/6919561_zpid/,4, House,3,"2,501",Robert E Jones,702-747-8624,Offerpad,"SPECTACULAR 2 story home features soaring ceilings upon entry into the formal living room. Elegant stairway. Step-up formal dining room. Separate sunken family room w/fireplace, entertainment nook and access to the backyard. Breakfast nook next to kitchen. Gourmet kitchen w/white cabinets, SS appliances, NEW quartz counters, undermount sink, faucet, garbage disposal and SS dishwasher. Convenient downstairs bedroom & full bath. Amazing master suite w/sitting area and custom walk-in closet. Luxurious ensuite bath boasts dual sinks, make-up counter, soaker tub & walk-in shower. Park-like backyard w/covered patio and shade trees. 3 car garage w/space for bikes/toys. NEW exterior and interior paint, carpet & vinyl plank flooring thru out. UPDATED baths! Lease solar panels transferrable to new buyer. MOVE IN TODAY!",quartz
5,"$189,999","5516 W Lake Mead Blvd, Las Vegas, NV 89108",https://www.zillow.com/homedetails/5516-W-Lake-Mead-Blvd-Las-Vegas-NV-89108/6955789_zpid/,2, Townhouse,2,986,Paul M Bowler,702-845-3403,Simply Vegas,"Fantastic Remodeled 2 story Townhome !! This 2 beds/ 1 1/2 Baths offers an open floor plan and a private fully fenced yard. The upgraded kitchen has quartz countertops, new cabinets , recess lighting. beautiful Tile flooring throughout the first floor. Upstairs, you' ll find the 2 bedrooms and bathroom with double sink, granite countertops, new cabinetry , Tile flooring and new light fixtures.  The primary bedroom opens to a balcony overlooking the courtyard. A/C unit was replaced just over 2 years ago. Conveniently located near "" Best of The West"" shopping center, dining, Downtown Summerlin, 95 Freeway, Movie Theater, Boca Park... Buyers and buyer's agent to verify all info, measurements, HOA, schools, zoning ect...",quartz
6,"$550,000","2571 Wild Grass Ct, Henderson, NV 89052",https://www.zillow.com/homedetails/2571-Wild-Grass-Ct-Henderson-NV-89052/7208893_zpid/,3, House,2,"1,980",David T Matthews,702-496-7016,RE/MAX Advantage,"Fantastic location in Sunridge Macdonald Ranch! Beautiful 1 story home w/ 3 bedrooms, 2 baths, 3 car garage & of course a sparkling heated Pool & Spa! New HVAC System, remodeled Kitchen with farmers sink, quartz counter tops, custom cabinets, soft close doors, new back splash, pull out drawers and upgraded SS appliances. New refrigerator, washer & dryer all staying. 2nd older refrigerator in spacious 3 car garage also stays.  Both bathrooms have been remodeled, showers redone and new commodes. Separate Family Room w/ cozy fireplace and this great floor plan draws you into the large Living Room/Dining Room combo with vaulted ceilings. Backyard oasis w/ refreshing & invigorating Pool & Spa, covered patio, B.I. barbeque and dog run. Ring doorbell, Ecobee thermostats and garage flood light camera stay. Lazy cul de sac location. Some furnishings may be negotiable. Wow!",quartz
7,"$379,900","4476 El Como Way, Las Vegas, NV 89121",https://www.zillow.com/homedetails/4476-El-Como-Way-Las-Vegas-NV-89121/7062488_zpid/,4, House,2,"1,895",Robert E Jones,702-747-8624,Offerpad,"WELL MAINTAINED 2 story home with 4 bedrooms & 2 baths. No HOA fee. Enter into the front living room. Separate family room with woodburning fireplace. NEW interior paint, carpet & vinyl plank flooring thru out. UPDATED kitchen boasts a breakfast bar, NEW quartz counters, undermount sink, faucet, garbage disposal, white cabinets, track lighting and SS appliances. Downstairs master bedroom with ensuite bath. Secondary bedrooms upstairs. Spacious backyard with covered patio. Mature shade trees. MOVE IN TODAY!",quartz
8,"$264,995","2815 Hickey Ave, North Las Vegas, NV 89030",https://www.zillow.com/homedetails/2815-Hickey-Ave-North-Las-Vegas-NV-89030/7003532_zpid/,2, House,1,875,Kevin Goujon,702-576-4877,Infinity Brokerage,"The house is a beautiful single story that has been newly renovated. The kitchen features stainless steel appliances, Quartz countertop, New White Shaker Cabinets & black fixtures with a modern design. The whole house has 5-inch Baseboards, has been Freshly Painted, and has vinyl flooring. Our remodeled bathrooms have new custom tile showers! The backyard is spacious and has a new wood fence. Schedule a showing today, this one won’t last long!",quartz
9,"$519,000","1209 Avenue I, Boulder City, NV 89005",https://www.zillow.com/homedetails/1209-Avenue-I-Boulder-City-NV-89005/2067217911_zpid/,4, House,2,"1,806",Maritoni Anz,818-424-8425,Anz Realty,"Newly remodeled! Step into the living room which boasts a unique wood-burning Airtight stove & beautifully tiled accent wall. In this very open floorplan you'll admire the large dining area & huge modern kitchen complete w/jumbo island, quartz stone counters, s/s appliances, custom soft-close cabinets, all new hardware, light fixtures & bonus breakfast bar which opens to the spacious family room. The new hall bath features all new double sink vanity, subway-tiled shower & fixtures. There are FOUR bedrooms, the Primary being ensuite & a separate laundry w/skylight. The family room has an indoor-outdoor feel w/new glass double doors leading to the finished covered patio w/new ceiling fans, wood-like tile floors & screens for more living space to be enjoyed, not to mention the pool-size yard. The 41FT carport w/pitched roof can't wait to house your toys. New interior/exterior paint, new flooring & recessed LED lighting throughout & newer roof. This is SPECIAL!",quartz
10,"$420,000","2704 Malibu St, Las Vegas, NV 89169",https://www.zillow.com/homedetails/2704-Malibu-St-Las-Vegas-NV-89169/7086115_zpid/,6, House,4,"2,225",Javier E Barajas,702-480-3018,Simply Vegas,"FULLY RENOVATED SINGLE STORY HOUSE WITH 6 BEDROOMS AND 4 FULL BATHROOMS ALL WITH NEW CABINETS AND VANITY, FRESH PAINT EXTERIOR AND INTERIOR, KITCHEN WITH QUARTZ COUNTERTOP, WOOD LAMINATED FLOORING THROUGH OUT THE HOUSE, LARGE FRONT AND BACK YARD, NEAR SHOPPING CENTERS, RESTAURANTS AND HOSPITAL.",quartz
11,"$211,000","854 Ripple Way, Las Vegas, NV 89110",https://www.zillow.com/homedetails/854-Ripple-Way-Las-Vegas-NV-89110/7032611_zpid/,2, Townhouse,2,"1,116",Jerrid M Richards,512-230-2627,"The Pala Group, LLC","Just renovated and fully updated/upgraded 2 bedroom 1.5 bath townhouse. Brand new stainless steel Whirlpool dishwasher, microwave and gas range. Beautiful Calcutta quartz countertops, waterproof laminate wood-look flooring on main level, new carpet on second level. 4"" baseboards, grey paint throughout. All new lighting and fixtures. Two covered parking spots just off of the private patio. Community features pool, spa and tennis court.",quartz
12,"$324,900","618 W McWilliams Ave, Las Vegas, NV 89106",https://www.zillow.com/homedetails/618-W-McWilliams-Ave-Las-Vegas-NV-89106/63761484_zpid/,4, House,3,"1,898",Mickey G Karacsonyi,702-375-8978,Monopoly Realty & Mgmt Inc,"WOW! TREMENDOUS OPPORTUNITY awaits to own this SUPER RARE home with fully permitted detached guest house with it's own separate power meter (ZONED R-3)!!! Both main and guest home have been beautifully remodeled with NEW luxury vinyl flooring, UPGRADED kitchens in each with NEW shaker cabinets, NEW Quartz counter tops (throughout), & NEW SS appliances! Main home is a 3 bedroom, 2bath, and guest home is a 1 bedroom, 1 bath. Huge family room in main home with fireplace and ceiling fan. Good size bedrooms and bathrooms with NEW Custom tile work and NEW vanities! NEW designer fixtures/fans throughout and NEW baseboards! Freshly painted inside & out! MOVE-IN READY!",quartz
