,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$425,000","1013 Francis Ave, Las Vegas, NV 89104",https://www.zillow.com/homedetails/1013-Francis-Ave-Las-Vegas-NV-89104/7078847_zpid/,3, House,2,"1,904",Ryan Grauberger,702-655-7926,RE/MAX CENTRAL,"Welcome to this beautiful home in the Huntridge neighborhood of Downtown Las Vegas! A recent interior remodel combines the best of modern features while retaining the classic downtown vibe. Tile floors flow throughout the main areas, with wood laminate flooring in the family room and bedrooms. The modern kitchen features granite counters atop white cabinetry and stainless steel appliances. The large living room is perfect for entertaining! The cozy family room is anchored by a fireplace, wonderful for these cold winter nights! Large bedrooms provide options and afford plenty of space, rare for a downtown property. The backyard is perfect for entertaining, with a large patio, firepit area, and grass for your furry family members! Minutes from the best coffee shops, restaurants, and downtown bars and breweries!",remodeled
1,"$350,000","1860 Fossil Butte Way, North Las Vegas, NV 89032",https://www.zillow.com/homedetails/1860-Fossil-Butte-Way-North-Las-Vegas-NV-89032/6989233_zpid/,3, House,2,"1,254",Sergio G Rubalcaba,702-721-2988,Keller Williams Realty Southwe,"You've got to come and see this GORGEOUS - TURN-KEY  home! This single story homes offers 3 beds & 2 baths. Vaulted ceilings gives living area an open feel. Completely remodeled EVERYTHING! Soft white tile flooring in main areas compliment the dark laminate wood flooring in the bedrooms. Kitchen has upgraded cabients, backsplash and beautiful granite countertops. All appliances are included. E-Z desert landscaping throughout. Backyard has a covered patio for your enjoyment.   Gated community with a low HOA",remodeled
2,"$299,000","1580 Keenan Way, Pahrump, NV 89048",https://www.zillow.com/homedetails/1580-Keenan-Way-Pahrump-NV-89048/67887939_zpid/,3, Home,2,"1,707",Leanna Murphy-DeGoede,702-328-0575,Nevada Realty,"Pride of ownership right here! Very well kept 3 bedroom, 2 bathroom manufactured home. Fully fenced with double RV gates and circular driveway. Split floor plan, separate living room and family room. Spacious kitchen with oak wood cabinets, updated counter tops, new sink & faucet. Kitchen has a lazy susan & pantry. Boasting many upgrades including new roof, new AC, new light fixtures, new reverse osmosis, new water softener. Updated flooring & baseboards. Dining room with built in buffet & sliding door to the back patio. 2nd bathroom is completely remodeled (new tub/shower combo, glass door, vanity, counter top, sink, faucet & toilet. Master bedroom has walk in closet, double sinks in the master bathroom and makeup vanity (all updated). Laundry room with extra cabinets, counter top & sink! You have your own private oasis on the back patio. It's separately fenced with privacy fencing, has a hot tub, landscaping.. its relaxing! 2 car detached garage (workbench & storage cabinet included)",remodeled
3,"$189,999","5516 W Lake Mead Blvd, Las Vegas, NV 89108",https://www.zillow.com/homedetails/5516-W-Lake-Mead-Blvd-Las-Vegas-NV-89108/6955789_zpid/,2, Townhouse,2,986,Paul M Bowler,702-845-3403,Simply Vegas,"Fantastic Remodeled 2 story Townhome !! This 2 beds/ 1 1/2 Baths offers an open floor plan and a private fully fenced yard. The upgraded kitchen has quartz countertops, new cabinets , recess lighting. beautiful Tile flooring throughout the first floor. Upstairs, you' ll find the 2 bedrooms and bathroom with double sink, granite countertops, new cabinetry , Tile flooring and new light fixtures.  The primary bedroom opens to a balcony overlooking the courtyard. A/C unit was replaced just over 2 years ago. Conveniently located near "" Best of The West"" shopping center, dining, Downtown Summerlin, 95 Freeway, Movie Theater, Boca Park... Buyers and buyer's agent to verify all info, measurements, HOA, schools, zoning ect...",remodeled
4,"$550,000","2571 Wild Grass Ct, Henderson, NV 89052",https://www.zillow.com/homedetails/2571-Wild-Grass-Ct-Henderson-NV-89052/7208893_zpid/,3, House,2,"1,980",David T Matthews,702-496-7016,RE/MAX Advantage,"Fantastic location in Sunridge Macdonald Ranch! Beautiful 1 story home w/ 3 bedrooms, 2 baths, 3 car garage & of course a sparkling heated Pool & Spa! New HVAC System, remodeled Kitchen with farmers sink, quartz counter tops, custom cabinets, soft close doors, new back splash, pull out drawers and upgraded SS appliances. New refrigerator, washer & dryer all staying. 2nd older refrigerator in spacious 3 car garage also stays.  Both bathrooms have been remodeled, showers redone and new commodes. Separate Family Room w/ cozy fireplace and this great floor plan draws you into the large Living Room/Dining Room combo with vaulted ceilings. Backyard oasis w/ refreshing & invigorating Pool & Spa, covered patio, B.I. barbeque and dog run. Ring doorbell, Ecobee thermostats and garage flood light camera stay. Lazy cul de sac location. Some furnishings may be negotiable. Wow!",remodeled
5,"$440,000","2120 Culmination Ln, Las Vegas, NV 89119",https://www.zillow.com/homedetails/2120-Culmination-Ln-Las-Vegas-NV-89119/7154980_zpid/,4, House,3,"2,091",John M Cherian,702-238-5868,J & J Realty & Property Manage,"Great location and NO Association! Just behind the airport and very close to the strip area.  Completely remodeled home. New paint inside & Out, Brand New Washer and Dryer, New flooring, New bathroom vanity and light fixtures, Plantation shutters throughout downstairs. Synthetic grass in the front & back of the house.  Huge backyard and covered patio for entertainment.",remodeled
6,"$615,000","817 Hillgrove Ct, Las Vegas, NV 89145",https://www.zillow.com/homedetails/817-Hillgrove-Ct-Las-Vegas-NV-89145/6970776_zpid/,5, House,3,"2,808",Mary Kay Beckman,702-686-2695,Keller Williams Realty Las Vegas,"Sought after West Mesa Estates, Bailey McGaw builder. Close to Boca Park & Tivoli. New interior paint. New floors, baseboards downstairs. New light fixtures, fans. Kitchen remodeled 3 years ago. AC units and furnace are 3 years old. 5th bedroom has built in desks and wet bar in closet area. Two hallway linen closets. Sink in garage. Huge balcony off of primary. Ceiling fans all over.  Beautiful deck on side of house, sanded and resurfaced. Downstairs bedroom and full bath.  Laundry is down. Beautiful pool with spa and waterfall. no HOA.  RV parking.",remodeled
7,"$319,999","2933 Gemini Cir, Las Vegas, NV 89115",https://www.zillow.com/homedetails/2933-Gemini-Cir-Las-Vegas-NV-89115/7023098_zpid/,4, House,2,"1,088",Cristina Cazares,702-573-9938,Real Broker LLC,"Cozy single story home located in a cul-de-sac! Spacious living room with wood like tile in most of the home. The home originally had 3 bedrooms but garage was converted to add a 4th bedroom. Both bathrooms have been remodeled, A/C was replaced 3 years ago! Concrete in front and back of home was installed 3 years ago. Backyard has a large shed. Very low maintenance & no HOA!",remodeled
8,"$449,000","1609 E Nelson Ave, North Las Vegas, NV 89030",https://www.zillow.com/homedetails/1609-E-Nelson-Ave-North-Las-Vegas-NV-89030/6994906_zpid/,0, Multifamily home,0,"2,852",Jacob Hammons,702-613-6368,Zzyzx Realty,"Don't miss out on this FULLY REMODELED duplex! This duplex features 3 bedrooms and 1.5 bathrooms in each unit with private balcony and washer/dryer hookup inside each unit. New luxury vinyl flooring throughout with new carpet in each bedroom. New roof, AC units, water heaters, interior and exterior paint, all new bathroom vanities and fixtures, new kitchen cabinets and countertops, new stainless appliances. This unique property offers a 2 car-port for each unit with small storage unit area. NO HOA, large lot with room to build additional housing.",remodeled
9,"$414,999","4305 Vegas Valley Dr, Las Vegas, NV 89121",https://www.zillow.com/homedetails/4305-Vegas-Valley-Dr-Las-Vegas-NV-89121/7054117_zpid/,5, House,2,"1,966",Enzo Varela,702-280-8300,Precision Realty,"Newly remodeled, single-story home with custom floor to ceiling tiled fireplace, covered patio and in-ground pool with diving board. Home has a separate 5th room with private entrance. Gorgeous customary kitchen with Calcutta countertops, stainless steel appliances, shaker cabinets, breakfast bar/counter, garden view and custom tiled backsplash. Enjoy the fully upgraded bathrooms with high end shower system, circular framed mirrors, hexagon tile flooring, shower niche, and custom vanities. Home has custom lighting, ceiling fans, laminate wood flooring and plush carpet throughout.",remodeled
