,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$213,000","10520 Paisley Rd, Yukon, OK 73099",https://www.zillow.com/homedetails/10520-Paisley-Rd-Yukon-OK-73099/21703003_zpid/,3, House,2,"1,753",Christina Sagehorn,405-513-0111,Sagehorn Realty,"COZY BRIGHT REMODEL!GREAT LOCATION!!! MINUTES FROM EVERYTHING!! 3 BED/2 BATH/2 GARAGE W/STUDY AND OPEN BAR. NEWER INTERIOR PAINT, FIXTURES, FANS. FLOORING AND HARDWARE. OVERSIZED SUNKEN FAMILY RM, VAULTED CEILING W/BEAM, FULL BAR W/SEATING AREA, ALL TILE, FAN, MASON FIREPLACE & BUILT-INS. DINING RM IS TILED W/NICKLE PLATED CHANDELIER. KITCHEN HAS PAINTED CABINETS, TILED, GLASS TOP STOVE & OVEN. STUDY ROOM/CRAFT NOOK OFF OF KITCHEN, OPENS TO FULL BAR AND LAUNDRY RM. SECONDARY BEDROOMS ARE LARGE W/ DOUBLE SLIDE CLOSET, FANS AND WOOD FLOORS. HALL BATH HAS TUB SHOWER COMBO, DOUBLE SINKS AND STORAGE CLOSET. MASTER BEDROOM HAS: FAN, WALK OUT TO SEPARATE PATIO, FULL BATH: DOUBLE SINKS AND SEPARATE SHOWER/STOOL AREA. BACKYARD HAS 2 PATIOS, NICELY LANDSCAPED. MUSTANG SCHOOLS, CLOSE TO I-40 , KILPATRICK, SHOPPING AND RESTAURANTS. AMAZING BRIGHT HOME READY FOR YOU TO MAKE IT YOUR OWN. SET UP A SHOWING TODAY!",fresh%20paint
1,"$199,000","1213 S 17th St, Chickasha, OK 73018",https://www.zillow.com/homedetails/1213-S-17th-St-Chickasha-OK-73018/78475915_zpid/,4, House,2,"2,134",Deb Sutterfield,405-990-4247,C21/Mosley Real Estate,"Completely remodeled 4 bedroom 2 bath home with lots of amenities such as barn door entries, new fixtures, new cabinets, new carpet & fresh paint, new light fixtures & state of the art fan & light combos! Check out the master bathroom mirror with push button technology...  All bedrooms are have brand new plush carpeting, Kitchen includes a new deep sink, electric stove & new refrigerator on the way! Super curb appeal with beautiful pergola out front & fresh new circle driveway. Out back is 1/2 covered patio & 1/2 open patio.  This home will definitely not last long, so make your appt today! Also included is a new one year buyer's warranty to be paid for by the seller for your peace of mind! Note . the storm cellar in the back yard does not have steps, entry is slopped concrete.  Disclosures coming soon! .",fresh%20paint
2,"$370,000","7717 S 92nd East Pl, Tulsa, OK 74133",https://www.zillow.com/homedetails/7717-S-92nd-East-Pl-Tulsa-OK-74133/22241240_zpid/,4, House,4,"2,959",Deb Wilmoth,918-688-0570,Chinowth & Cohen,"Rare Family friendly home has a fabulous sparkling diving pool & spa w/iron fencing, spacious yard and darling play house! Master and office/bonus room down. 3 bedrooms, 2 full baths,large game and storage up! Home has open concept w/hardwoods, granite kitchen and master bath, interior safe room, newer roof, pool pump, garage doors & openers, HVAC, window screens, new cooktop and fresh paint. Walk to Jarmin Elementary!  Pleasant neighborhood with easy access to HWY 169.",fresh%20paint
3,"$350,000","1320 County Street 2963, Blanchard, OK 73010",https://www.zillow.com/homedetails/1320-County-Street-2963-Blanchard-OK-73010/78478583_zpid/,4, House,3,"2,285",Katie L. Davis,832-477-8350,Gable & Grace,A great home sitting on over an acre! Great open floor plan with 4 bedrooms and an office! The 4th bedroom is large enough to be a bonus/game room! Cozy up on these cold nights in front of the wood burning fire place! If you are looking for a place to store your RV look no further! This home includes a pad for an RV as well as hookups! Come see for yourself!,fresh%20paint
4,"$50,000","709 S Broadway, Geary, OK 73040",https://www.zillow.com/homedetails/709-S-Broadway-Geary-OK-73040/308919403_zpid/,3, House,2,"1,120",Ashley Fuller,785-342-9833,Exit Realty Premier,Great investment opportunity.  Solid built stucco home with newer metal roof and windows.  Bathroom on the main level has been completely remodeled along with other areas of the home started.  Great opportunity to come in and make this home your own.  Upstairs portion of the home is already a blank slate with fresh paint and bare wooden floors.  No owner finance or rent to own options.,fresh%20paint
5,"$309,000","1313 S 221st Ave W, Sand Springs, OK 74063",https://www.zillow.com/homedetails/1313-S-221st-Ave-W-Sand-Springs-OK-74063/22194499_zpid/,3, House,2,"2,164",Mary McGee,918-671-7001,Chinowth & Cohen,"Adorable home w/ covered porch & patio on nearly 1/2 acre in popular Candlestick Beach. New wood plank floors, fresh paint inside. Granite kitchen. Massive recreation room w/ high beamed ceiling and stairs to large, decked attic storage. Oversized 2 car garage. Neighborhood community has exclusive access to large sand beach and activities like parades and July 4th fireworks display. Minutes away from Sand Springs and Keystone Lake.",fresh%20paint
6,"$185,000","354927 E 1040th Rd, Prague, OK 74864",https://www.zillow.com/homedetails/354927-E-1040th-Rd-Prague-OK-74864/104000038_zpid/,2, House,2,"1,360",Rich Brand,405-570-3365,Keller Williams-Green Meadow,"Lots of Updates in this one,  updated carpet, fresh paint inside and out. nice sized bedrooms with bathroom access from each bedroom, fireplace with book case. Very nice walk in tiled shower with a seat built-in,  in the master bedroom. nice size closets, Deep well and septic, Breakfast bar. Two bay workshop, with office in one side,  two work benches.  Awesome front porch to enjoy those amazing sunrises in the morning with a cup of coffee and a friend.  This is an amazing 2.5 acres all cleaned up, trees trimmed and ready for a new owner to make it their own. Ready to move into, Washer/dryer, refrigerator all stay with the property Achosa Home warranty sellers coverage on the property will transfer to the buyer at closing 12 months. Utilities very reasonable.  The well house is at the end of the covered parking .",fresh%20paint
7,"$199,999","104 Clark Ave, Poteau, OK 74953",https://www.zillow.com/homedetails/104-Clark-Ave-Poteau-OK-74953/84295103_zpid/,3, House,2,"1,802",Lindsey Cooper,918-315-0391,"Kay Sullivan Real Estate, LLC","This spacious 3 bed 2 bath home is located in the heart of Poteau and has a fresh coat of paint in the living room, kitchen, master bathroom and garage. This home features a large living area with a wood burning fireplace and beautiful vaulted ceiling. The eat in kitchen has plenty of cabinets for storage, new backsplash and epoxy counter tops. screened in back porch, large master with tray ceilings and a walk in closet. 3 car garage, Fenced backyard, HUGE laundry room.  A MUST SEE!",fresh%20paint
8,"$259,900","522 W Main St, Purcell, OK 73080",https://www.zillow.com/homedetails/522-W-Main-St-Purcell-OK-73080/53264182_zpid/,4, House,3,"2,840",Kyle E Davis,405-503-6627,Keller Williams Realty Mulinix,"Home sweet home is calling your name with this gorgeous home nestled onto a .5 acres in the heart of Purcell. Boasting 4 bedrooms , 2 full bathrooms, & 1 half bath; it's bursting at the seams with traditional charm. Refinished original hardwood floors greet you in the entry and fill the home along with fresh new paint! Kitchen is a chef's dream with built in ovens, new butcher block counters and endless cabinet space. Apron front sink overlooks the backyard making you want to do dishes! Floorplans is extremely functional and there are tons of built ins all over the home. Bathrooms are clean, crisp and still have their vintage charm. Lot is full of mature trees that provide plenty of shade for the detached garage. Master suite is incredibly spacious with tons of natural light from large windows & its own cozy fireplace. Even the laundry room is giant w/ endless possibilities for storage. Pre-approved Buyers only, prequal letter or proof of funds required to show.",fresh%20paint
9,"$129,901","3637 N Youngs Blvd, Oklahoma City, OK 73112",https://www.zillow.com/homedetails/3637-N-Youngs-Blvd-Oklahoma-City-OK-73112/21853687_zpid/,3, Multifamily home,2,"1,452",Victory Reneau,405-816-1021,Whittington Realty,"Investment bungalow style duplex for sale in NW OKC! Just down the street from Ingrid's Kitchen. There are two units. Front unit offers 2 bedrooms, 1 bathroom, kitchen, living room, dining area, and laundry hookups. Front unit updates include new AC unit, new vinyl windows, newer blinds, new laminate flooring, new light fixtures, new doors, updated air ducts, updated tile work in the shower, & fresh paint inside of the home. Large open kitchen with tons of cabinets for storage, gas stove, & refrigerator. Inside furnace, gas hot water tank. Back unit offers 1 bedroom, 1 bathroom, kitchen/living area, & window units. Back unit is currently rented for $525 a month until 2/28/22. Front unit was previously rented for $750 a month or higher. Each unit has a separate fenced-in backyard. Utilities are together and not separated. Cleveland elementary school. Close to Oklahoma City University, new OnCue gas station, Starbucks, Paseo District & more! Property sold AS-IS.",fresh%20paint
