,prices,address,beds,links,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$479,000","31 W County Road 7 N, Monte Vista, CO 81144",4,https://www.zillow.com/homedetails/31-W-County-Road-7-N-Monte-Vista-CO-81144/2066660540_zpid/, House,2,"2,845",Marcie Schulz,719-589-6977,Schulz Realty,"Don't miss this charming country home of your dreams! This two story home features original hardwood floors, large windows, original wooden build-ins, and lots of natural light. Oversized upstairs balconies on both the east and west side of the home make it easy enjoy the beautiful mountain views.  The upstairs master bedroom attaches to a cozy reading room which opens into the alcove and the upstairs bathroom has been remodeled with tile and a walk in shower. A full size attic gives ample indoor storage and a first floor pantry, laundry room and two story laundry shoot and hidden laundry sorting provides organization for the home. Located on approximately 4 acres with large white picket fenced grass yard, oversized shop, outbuildings and greenhouse. This property offers endless opportunities for hobbies or a business.",remodeled
1,"$279,900","315 E Strong Ave, Trinidad, CO 81082",4,https://www.zillow.com/homedetails/315-E-Strong-Ave-Trinidad-CO-81082/115553955_zpid/, House,2,"2,626",Scott Coddington,719-399-0000,Pulse Real Estate Group LLC,"Cozy, warm and inviting 4Br, 2 Bath home in the desirable northwest part of town near shopping, schools and trails! New Furnace 2021, New Tankless On-Demand hot water heater 2019, Newer metal roof on house and detached garage and newer garage door, Electrical system updated in 2011, radon system installed in 2011, remodeled bathrooms and central air! The enclosed front porch is a place to enjoy quiet time and look at the beautiful mountains and use as a mud-room too! There are hardwood floors in the living room, dining room and bedrooms. The living room has wood beamed ceilings and two big windows for plenty of natural light. The large kitchen has plenty of counter space, a gas range, ceiling fan, a 2-door pantry and a walk-in pantry. The nice sized laundry room is conveniently right off the kitchen. 3 bedrooms and a full bathroom are on the main level.  Upstairs is a big bedroom with a double closet and an oversized fully remodeled 3/4 bathroom with vinyl plank flooring, a closet and an area big enough for many options. The back of the house contains a bonus family room that currently has a bedroom, pantry and lounge area and has heat supplied by a leased propane tank. The exterior of the house has 3 storage sheds one of which has power, a detached 2-car garage, a carport, and a bonus screened room that also has power. You don't want to miss this one! Schedule your showing today!",remodeled
2,"$650,000","212 County Road 500, Bayfield, CO 81122",8,https://www.zillow.com/homedetails/212-County-Road-500-Bayfield-CO-81122/13928597_zpid/, House,5,"2,273",Ashley Blackmore,970-903-7477,Blackmore Group,"A great investment property to use as a rental, ARBNB, or live and rent opportunity with this tri-level multi living home duplex with 5 Br 3 Baths on the upper level and 3 Br 2 Baths on the lower level.  Currently the lower level has a long-term renter that rents for $1150 Plus $150 per month for Utilities in the Summer and $250 for the winter months and has rented for over 3.5 years.   The upper level has two levels of living with plenty of room for a person who wants to live and rent the bottom. Although an original cabin is from 1955 this home has been extensively remodeled, updated, and added on to throughout the years with a massive full remodel approx. 28 years ago. All appliances are around 3 years old and are included.  Once used for a large ranch employee housing, the home has now been converted into a rental. The upper living space has brand new carpeting and turnkey and the current lowest level renter helps you get a return on your investment the moment you sign the papers and transfer the lease. The Tenants pay the rent timely, this overall combination makes this property easy to manage. The owner states that the property also comes with a large bonus and that bonus consists of the 2.6 acres of land that has Central Sewer running through the far eastern portion of the Property and that plus access to Central Water Service allows this property to possibly have a future subdivision approved for a total of Five 1/2 acre lots, a 5 Lot Subdivision would be much easier to accomplish. An actual subdivision plan was previously drawn up and recorded, the property was also surveyed in connection with the proposed subdivision many years ago. In fact, the subdivision plan still shows up on the Title for anyone to see. That plan was never submitted or followed up by anyone. As a result, the Subdivision has not been approved by the County as a subdivision, but if a person wants to take the time effort and money to go through the approval process creating the 1/2 lots they can. There is a small Creek that runs water in the late Spring and Summer that is an irrigation ditch that runs through the property and there is some lower-level area can be used to create a small pond This area is one of America’s Best Kept Secrets and only 20 Miles to Durango, Colorado, A myriad of outdoor activities are available, Downhill Skiing, Snowmobiling, Cross Country Skiing, Mesa Verde Indian Ruins, Historical Durango/Silverton Steam Train, White Water Rafting, Fishing, Water Skiing, Mountain Wilderness Hiking, Horse Back Riding, Mountain & Road Biking, Hunting, Overnight Pack Trips into the High Country plus the area has Deer, Elk, Big Horn Sheep, Ducks, Geese, Bald Eagles, Osprey. Grouse and more. The area’s Bayfield School District is also highly rated but there is open enrollment for La Plata County.",remodeled
3,"$640,000","19005 E Chenango Cir, Aurora, CO 80015",3,https://www.zillow.com/homedetails/19005-E-Chenango-Cir-Aurora-CO-80015/13110004_zpid/, Coming soon,3,"3,052",Timothy Hancock,303-796-7000,MB HANCOCK REALTY INC,"Total redo... The entire home has been remodeled within the last year.  The entire house has been painted outside and inside with a high quality Sherwin Williams paint, decorative pergola over my garage, brand new driveway.  A sunroom was added shortly after the home was built in 1994 which adds at least 160 square feet to the livable space.  new deck with pergola and outdoor ceiling fan, sprinklers and new sod in front and back, and mature trees.  Inside,  new kitchen tile floors, counters, backsplash, refrigerator and dishwasher. replaced all interior faucets, all new lighting throughout, with all new real redwood flooring through main family room, living room, sunroom, stairs, and all 3 upstairs bedrooms and hallway.  There are 3 interior ceiling fans. also installed all new tile flooring in entryway and laundry room. Additionally all 3 bathrooms have new tile floors, toilets, sinks, live wood counter tops, mirrors and lighting.",remodeled
4,"$300,000","350 Country Club Dr UNIT 303A, Crested Butte, CO 81224",Studio</li><li,https://www.zillow.com/homedetails/350-Country-Club-Dr-UNIT-303A-Crested-Butte-CO-81224/96852180_zpid/, Condo,"class="""">1",500,Dalynn Trujillo,970-596-3397,"Bluebird Real Estate, LLC","Are you looking for an affordable condo in Crested Butte you can live in year round for a reasonable price?  This studio unit also has a loft and the bathroom has been completely remodeled.  The complex is right across the street from the golf course, close to biking, hiking, dirt biking, etc.  There is a trail to downtown Crested Butte from the Skyland area and access to fishing on Lake Grant.",remodeled
5,"$800,000","309 Reed St, Lakewood, CO 80226",4,https://www.zillow.com/homedetails/309-Reed-St-Lakewood-CO-80226/13768009_zpid/, Coming soon,3,"2,090",Leigh Weilert,316-648-2814,Coldwell Banker Realty 44,"A COMPLETE REMODEL! The star of the show! This gorgeous ranch style remodel resides in heart of Lakewood sitting on nearly 15,000 sf of a sloping lot. You will walk onto solid oak modern stain flooring everywhere. LED lighting aluminates the flow of the home. Beautiful remodeled bathrooms and  kitchen including quartz countertops and high end cabinetry. Brand new kitchen appliances, a fully remodeled basement including a bonus room! The exterior has a new modern paint job and an added door in the garage to the home. The backyard is capable of a fire pit with a ready gas line. The roof and AC are both under five years old! Welcome home to your exquisite ranch style remodel!",remodeled
6,"$460,000","12082 E Ford Cir, Aurora, CO 80012",2,https://www.zillow.com/homedetails/12082-E-Ford-Cir-Aurora-CO-80012/13044421_zpid/, Coming soon,2,"1,568",Leigh Weilert,316-648-2814,Coldwell Banker Realty 44,"A COMPLETE REMODEL! This gorgeous remodel resides in the desirable Cherry Creek School District. This townhome has brand new solid oak flooring everywhere, including the stairs. The remodel includes Brand new windows and window treatments, a new furnace under warranty, a beautiful remodeled kitchen including quartz countertops, new European cabinetry and brand new hardware everywhere. The popcorn ceilings have been removed and fresh paint for the entire interior. The nicest upgrade is the removal of the outdated fireplace opening up the flow of the floorpan and offering additional usable square footage for you. New LED lighting and remodeled bathrooms is sure to satisfy. The home features two large bedrooms on the upper level with a full bath. Near public transportation, major highways, Aurora Medical Center, Aurora Mall, Restaurants, and much more. Great Location. This one won't last long! Welcome to your Two story Peachwood remodel!",remodeled
7,"$479,900","529 E Aspen Dr, Granby, CO 80446",3,https://www.zillow.com/homedetails/529-E-Aspen-Dr-Granby-CO-80446/84410854_zpid/, House,2,"1,352",Stacy Strayer,970-531-2074,"Keller Williams Advantage Realty, LLC","Showings start 1/25 & Interior photos soon! Remodeled 3-bedroom home with tons of natural light due to its southern exposure, with mountain views galore!  Open floor plan with a spacious kitchen, dining and living area with new flooring throughout. This bright kitchen has new appliances, sink, cabinets, etc and the largest pantry in the neighborhood! Beautifully updated bathrooms with custom tile and glass doors. New carpet in the bedrooms. Fantastic, quiet location that's close to the community garden, the schools, and downtown. Detached, oversized garage with refrigerator and pool table, plus a wood burning stove to keep the entire garage warm. Asphalt driveway leading to the garage, and a large deck looking out to an open meadow.  Paved roads, NO HOA, and public water/sewer. This home is sold partially furnished. 
Utility info is posted under the Document section. 
Owners pay $115 for sewer quarterly and around $145 for water quarterly.",remodeled
8,"$435,000","6855 Corn Tassle Dr, Colorado Springs, CO 80911",5,https://www.zillow.com/homedetails/6855-Corn-Tassle-Dr-Colorado-Springs-CO-80911/13548386_zpid/, House,3,"2,484",Nathan Roth,719-357-0651,Keller Williams Premier Realty,"Sunrise Ridge is calling you home! This 5 bedroom, 3 bathroom house is immaculate! It is very well-kept, clean, and maintained. The main level has a large living room open to the dining area and kitchen. Upper level offers a large master bedroom with a newly remodeled master bath and closet. There are two additional bedrooms with large closets and a full bath. Lower level has a family/game room with a walkout patio. Basement has two bedrooms with a full bath along with the laundry room and den area. Home has central air plus, brand new water heater and oversized 2 car garage. Minutes from I-25, the area offers everything you'll need. Peterson AFB, Schriever AFB and Fort Carson are only minutes from home! The local schools are fantastic and the LOCATION is prime!",remodeled
9,"$349,900","1130 College Ave, Canon City, CO 81212",3,https://www.zillow.com/homedetails/1130-College-Ave-Canon-City-CO-81212/218696079_zpid/, House,2,"1,156",Lori Regester,719-429-4075,Reeves Real Estate LLC,"Great 3 bdrm, 1 1/2 bath home close to schools, hospital, swimming pool and tennis! Close to downtown, hiking trails, shopping and grocery stores. The home was remodeled in 2019, vinyl windows, siding, hardwood floors, fence, central a/c and furnace. 2021 updates include new yard sprinkler system, new water line to the house and meter box, new PEX water supply lines throughout the home and an interior water shutoff installed. The interior of the home was entirely painted. Detached 2 car garage with shop area,  RV/boat parking available, fully fenced front yard and privacy fenced rear yard, shed, garden area. Relax in the hot tub, or get together on the back patio to sit around the fire pit. Large corner lot!",remodeled
