,prices,address,beds,links,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$610,000","8822 Jackdaw St, Littleton, CO 80126",4,https://www.zillow.com/homedetails/8822-Jackdaw-St-Littleton-CO-80126/13453334_zpid/, Coming soon,4,"2,371",Sue Smith,720-981-4109,Colorado Home Realty,"Beautifully updated 4 bedroom, 4 bathroom, 2,370 Total Sq Ft home, with walkout basement, spacious 2 car garage and open views nestled in centrally located Province Center neighborhood. Wonderful curb appeal greets you with neat, professional landscaping and a raised covered patio, perfect for relaxing on those warm Summer evenings and meeting new neighbors. As you enter you are met with gorgeous, new, luxury Coretec laminate wood floors, and the bright open living room. Shiplap accent walls and an exquisite tile fireplace surround create a sense of style and relaxation in this home. Create culinary delights for friends and family in the gorgeous, open eat-in kitchen which boasts all new stainless steel appliances, and a walk-in pantry with plenty of shelving for easy organization. Take a few steps outside and enjoy entertaining in the Colorado sunshine on the remodeled, freshly painted, spacious deck. Retreat to the master suite with lovely light, take in the open views and enjoy the walk-in closet and private master bathroom. All bedrooms offer views. The finished walkout basement offers a great place to enjoy a movie or play games, and with a full bathroom, could potentially hold a 5th bedroom. In the Summertime the backyard is a Gardener’s haven with raised planter beds, bursts of color, and a large lawn area to keep Fido happy. The many updates include new high end carpet, a new Frigidaire furnace, new water heater with expansion tank, new sprinkler control system, new sprinklers in the backyard and a Vivant home security system.     Home is in the South Suburban Recreation District and gets Resident rates at Golf Courses and Rec Centers.  Trails, parks and & South Suburban Links Golf Course are all close by. Easy access to C-470, Denver Tech Center and the mountains this location is hard to beat.",shiplap
1,"$420,000","20691 Fairview Rd, Austin, CO 81410",4,https://www.zillow.com/homedetails/20691-Fairview-Rd-Austin-CO-81410/103874515_zpid/, House,2,"1,851",Candyce Blair,970-210-4749,Colorado Homes and Land,"This freshly remodeled home sits on 2.4 acres with views to the south.  Enjoy the fully covered porch during all seasons.  New landscaping with a covered gazebo offers room for entertainment and guests.  There is a large pole/hay barn next to the home that could be converted into a shop or garage.  This house has been completely transformed with an updated kitchen and bathrooms.  Attention to detail while remodeling this house is seen throughout.  From shiplap to hardwood floors this beautiful home will not disappoint.  Located in Austin, this property is close to amenities.  There are golf courses nearby and it is only minutes from the Grand Mesa. There is plenty of space for RVs, ATVs, and boats.  This home is a must-see and is turnkey-ready!",shiplap
2,"$320,000","3316 Valley Hi Ave APT A, Colorado Springs, CO 80910",2,https://www.zillow.com/homedetails/3316-Valley-Hi-Ave-APT-A-Colorado-Springs-CO-80910/13620457_zpid/, Townhouse,2,"1,435",Mercede Ragghianti ABR GRI SRES,571-262-1694,Redfin Corporation,"Welcome to your fully updated, immaculate one-level living home! Located in the desirable La Serena 55 plus community, this cozy two-bedroom, two-bath townhome, with a detached spacious two-car garage, has just what you're looking for! The entry boasts newer hardwood floors and a convenient coat closet. The open living room showcases a beautiful floor-to-ceiling stone fireplace and matching accent wall, with a built-in media console and newer carpet. The kitchen carries on with the stunning hardwood floors, has plenty of cabinet space, and a space-saving bar top to maximize your entertaining needs. There's a beautiful deep farmhouse-style sink, a neutral stone backsplash, and a clever pot/pan holder. The space has been redesigned to allow for a huge floor-to-ceiling pantry wall next to the fridge. Down the hall, the primary suite has a stylish shiplapped adjoining bathroom with recessed lighting. The large walk-in closet with a trendy barn door is accentuated by a built-in bookcase. The other bedroom has a spacious closet that doubles as the laundry room with extra cabinets and a utility sink. The second full bath has updated tile floors, shower surround, vanity, and matching mirror. Enjoy your outdoor living space with an expansive, east-facing, partially covered, wood deck complete with sunshades, water feature, and extra privacy additions. All windows replaced 2015. Roof shingles and *decking* replaced in summer 2019 with upgraded hail/wind material. Private park and common areas nearby. Close to shopping and freeways.",shiplap
3,"$895,000","4104 Grove St, Denver, CO 80211",4,https://www.zillow.com/homedetails/4104-Grove-St-Denver-CO-80211/13297716_zpid/, Coming soon,2,"2,396",Stacy Neir,720-280-3004,Kentwood Real Estate City Properties,"PHOTOS CAN BE SEEN ON WEBSITE! Showings start Friday 1/28*Come see this enchanting Berkeley brick bungalow situated on a large 6,250 sq. ft. corner lot with mature trees*Just minutes from all the action at Tennyson Arts District, Berkeley Park and Cobblers corner, this location cannot be beat*Your journey begins on the oversized front porch where you can sit on your swing with a cup of coffee*Walk inside and you will be swept off your feet when you see the open floor plan and modern updates that have been done, while also maintaining much of the homes original charm*The oak hardwood floors and woodwork throughout the home were refinished with a gorgeous espresso-colored stain*The living room overflows beautifully into the dining room and also features a gas fireplace with an updated Ledgerstone façade and lots of windows to let in the natural light*The perfect white farmhouse kitchen awaits you with its newly installed grey quartz countertops and white subway tile backsplash*You’ll love the upgraded appliances which include a brand new GE Café 6 burner gas range with double ovens*On the main floor you will also find 2 bedrooms and a full bath with its charming claw foot tub and updated black and white hexagonal tiled floor*Head to the finished basement where the floor was dug out to provide taller ceilings*The primary suite is over the top with its sitting room, gas fireplace and shiplap accented walls*If that weren’t enough, you’ll find a palatial sized closet with built-ins and an equally impressive bathroom with an oversized glass and tiled shower and double vanities*You’ll also find another bedroom down here along with a sizeable laundry room*Your impressive backyard is where you’ll spend most of your summer nights*choose from two different patios to spend your time: One BBQing under the twinkle lights or the other, roasting marshmallows on your gas firepit under the stars*There's even a large grassy area for Fido to play!",shiplap
4,"$399,000","1099 W 133rd Way APT F, Westminster, CO 80234",3,https://www.zillow.com/homedetails/1099-W-133rd-Way-APT-F-Westminster-CO-80234/12955461_zpid/, Townhouse,2,"1,195",Daniela Hurtado,720-369-5033,Megastar Realty,"Welcome Home! This beautiful duplex townhome in Quail Crossing is in an ideal location just minutes away from the Orchards Shopping Center, Denver Premium Outlet Mall, and North RTD light rail. This 3bed/2bath townhome features a lot of upgrades, improvements, and high-quality finishes. Enjoy the open-concept space in the living/dining area with new paint and refreshed laminate flooring. The kitchen features newly painted cabinets, new modern wood shiplap, granite countertops, and stainless steel appliances. Upstairs you will find the master bedroom with double closets and vaulted wood ceilings. The second and third bedrooms are pleasantly roomy with plenty of natural lighting. The upper full bath features a new sink and new accessories. Big gorgeous back yard with a NEW 20x12 Trex deck, landscaping, lights, and custom benches (plenty of room to add a storage shed).  Open space adjacent to the property. Big crawl space and attic for extra storage. What else is new: Pella High-efficiency windows, new paint on walls doors and trims, concrete walkway to the side gate, new entry closet and pantry doors, new laundry cabinets, and newer dishwasher. Where can you find a move-in-ready property with low HOA fees and low maintenance requirements sitting on a large lot in a fabulous location for this price? Set up a showing before it’s too late!In the event of multiple offers please submit highest and best by Monday 10am 1/31/22.",shiplap
5,"$340,000","502 10th St, Greeley, CO 80631",3,https://www.zillow.com/homedetails/502-10th-St-Greeley-CO-80631/14071165_zpid/, House,2,"2,280",Jordan Beck,970-779-4737,Oneway.realty,"Modern remodel with classic charm.  Beautiful home in Greeley with room to expand into the basement.  New updated kitchen and bathroom.  Tasteful build in's through out the main level.  Fireplace, new paint, new carpet, new tile, new trim work and shiplap. There are 2 non-conforming bedrooms in the basement.  Buyer to verify all measurements and school info.  Seller is a licensed real estate agent in CO.",shiplap
6,"$1,295,000","26756 Light Ln, Conifer, CO 80433",3,https://www.zillow.com/homedetails/26756-Light-Ln-Conifer-CO-80433/13840296_zpid/, House,2,"1,957",Kathleen Haas,970-531-7448,THE RESOURCE GROUP LLC,"Don't miss this one-in-a-million opportunity to own this beautiful and historic 3Bdr/2Ba mountain valley horse property. The home was originally a dairy barn built in the 1800's on the original homestead. It was converted to a home in 1922 and today is updated with original charm in place and is a light & bright, cozy yet spacious home and part-time AirBNB. The House: Many wonderful features with views out every window.. Living room features stone floors, the shiplap wall and a giant fireplace. Kitchen is bright and sunny with maple cabinets recently finished. The dining room is the most unique feature of the home, it is the original silo so it's round and made of red stones. It has multiple windows and a door to the yard. A large family room currently used as an extra bedroom with a king size bed and oversized sofa. The master bedroom fits a king size bed and has a bathroom attached. The second bedroom fits a queen size bed and has a giant fireplace. The third bedroom fits a queen size bed. The other bedroom, (non-conforming) is an interior room that fits a queen and has a closet that is currently used as the owners lock off room but could easily be converted into a second master suite closet and bath. New flooring throughout. The Barn & Land: The ranch is 10 acres on the south facing side of the mountain valley with grassland with amazing mountain views and a natural water spring. It has a charming 8 stall barn (currently converted to four 12x24 stalls) with runs, water and electric + 30 amp RV outlet, a tack room, two tack areas or garage spots, hay loft, workbench, 60x145 outdoor riding arena with lights. Bridal trails through the pasture with jumps. Smooth wire fencing and cross fenced. Could easily double that if it were full-time.VIEWS! VIEWS! VIEWS!Feels like you are far from it all but only  moments to shopping and just a 35 minute commute to downtown Denver.",shiplap
7,"$79,900","424 32nd Rd TRAILER 253, Clifton, CO 81520",3,https://www.zillow.com/homedetails/424-32nd-Rd-TRAILER-253-Clifton-CO-81520/89241305_zpid/, Home,2,924,CYNTHIA CASTANEDA,970-234-7744,HEIDEN HOMES REALTY,"A must see to appreciate! Not your normal Manufactured home.  In December 2019 full remodel, new tub in small bathroom- Mable, porcelain and terra-cotta tile, shiplap walls- real wood. Everything new toilets, vanity, doors, restored windows, restored kitchen cabinets, new epoxy countertops. 100 year old solid decorative beams and posts, accent wall 80 - 100 years old. New water heater, new roof, roll of carpet for the bed rooms, and supplies to re roof the shed.",shiplap
8,"$461,900","4850 Findon Pl, Colorado Springs, CO 80922",4,https://www.zillow.com/homedetails/4850-Findon-Pl-Colorado-Springs-CO-80922/13538485_zpid/, House,3,"1,832",Austin Edwards,,"Zillow Homes, LLC","Be among the first to see this well-maintained 4 bedroom, 3 bathroom single-family home nestled in a cul-de-sac on a large lot. Entering you will be met with vaulted ceilings and a spacious floorplan that lets natural light settle in all the right places. Prepare a delicious meal in this gourmet kitchen with durable countertops, crisp white cabinetry, sleek appliances, and ample cabinet space, perfect for entertaining. Retreat to the relaxing primary bedroom with an en suite bathroom and a spacious closet. The fully fenced-in backyard sports a large wooden deck, and a huge lawn, great for all sorts of recreational activities. Conveniently located nearby Powers Corridor, several parks, and shopping.",shiplap
9,"$578,300","10186 Ventura St, Commerce City, CO 80022",4,https://www.zillow.com/homedetails/10186-Ventura-St-Commerce-City-CO-80022/72297713_zpid/, House,3,"3,166",Austin Edwards,,"Zillow Homes, LLC","This impressive 4 bedroom, 3 bathroom home can be found in the Reunion community of Commerce City! Upon entering, you will immediately notice gorgeous hardwood floors, brilliant natural light, and an open concept layout with high ceilings. The kitchen is perfect for entertaining, featuring durable countertops, sleek appliances, ample cabinet space, and a breakfast bar with room for seating. The adjoining living room features a warm, inviting fireplace to cozy up to and escape those cold Colorado nights. After a long day, retreat to the relaxing primary bedroom, complete with a walk-in closet, a 5-piece en suite bathroom with dual vanity sinks and a large soaking tub. This home also includes an attached 2-car garage, a fully enclosed backyard oasis, and pergola covered patio, perfect for entertaining. You will love being conveniently located close to Southlawn Park, dining, parks, and major roads for an easy commute.",shiplap
