,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$497,900","503 Cedar Brook Dr, White House, TN 37188",https://www.zillow.com/homedetails/503-Cedar-Brook-Dr-White-House-TN-37188/42388977_zpid/,4, House,3,"2,808",Gary Ashton,,The Ashton Real Estate Group of RE/MAX Advantage,"Great 4 bedroom, 3 bath home in White House. The home has all of the living on one level. There is a large gathering area, great for entertaining. It also has a fireplace in the living area. The kitchen has custom backsplash. Bonus room is perfect for kids and guests. Great neighborhood feel but with larger lots, plenty of privacy as well. Relax on your covered porch or enjoy a get together on the deck out back.",fresh%20paint
1,"$479,900","1406 Bluegrass Rd, Nolensville, TN 37135",https://www.zillow.com/homedetails/1406-Bluegrass-Rd-Nolensville-TN-37135/42629647_zpid/,4, House,2,"1,838",Tracy Cloud,865-680-8375,Elam Real Estate,"Beautiful two-story home has been pre-inspection w/ extensive repairs and updates completed! This 4-bdrm, 2-bath home features an open floor plan w/ fresh paint throughout, new flooring upstairs, a spacious LR, eat-in kitchen w/ granite counters, master downstairs. Screened-in patio. Exterior features include a 24x24 detached, two-story garage, storage shed, and covered porch. This one won't last long!",fresh%20paint
2,"$349,900","476 Peabody Rd, Estill Springs, TN 37398",https://www.zillow.com/homedetails/476-Peabody-Rd-Estill-Springs-TN-37398/66597463_zpid/,4, House,1,"2,034",Thomas Ore,931-636-4421,Winton Auction & Realty Co.,"Quaint 4 bed 1 bath farm house with beautiful crop land views! This house has hardwood/tile/carpet floors, brand new central HVAC and mini split units, new septic system, new appliances, metal roof, fresh paint, office, breakfast nook, dining room, living room, and mud room. It is located conveniently near down town Winchester, yet has the feel of living in the country!",fresh%20paint
3,"$425,000","308 Ash Grove Ct, Nashville, TN 37211",https://www.zillow.com/homedetails/308-Ash-Grove-Ct-Nashville-TN-37211/41197416_zpid/,3, House,2,"1,674",Dianne Patton,615-545-5139,"Crye-Leike, Inc., REALTORS","Start Your New Year out Right with this Renovated Home!!! Offering 3 beds & 1.5 Baths With New Flooring thru-out Main Level. HUGE Open Kitchen W/ Vaulted & Exposed Beamed Ceiling, Pantry,  Bar ,Granite Counter Tops & Granite Backsplash, Stainless Steel App. Cozy Den Down With Masonry Wood Burning Fire Place!!!  Fresh Paint, New Windows( Renewal By Anderson) Thru Out Home. New Light Fixtures & Recessed Lighting, Upgraded Electrical 200 Amp Service. Main Bath Tiled Shower/Tub Combo .New Vanity ,Deck Off Kitchen Overlooks HUGE Private Approx..1/2 ac Fenced  back yard. One Car Oversized Front Entry Garage All This Located on a Cul De Sac!!!",fresh%20paint
4,"$194,900","780 Kemmer Rd, Spring City, TN 37381",https://www.zillow.com/homedetails/780-Kemmer-Rd-Spring-City-TN-37381/42021664_zpid/,3, House,2,"1,040",Joseph Heath,219-851-8574,ERA BKP- Spring City,"This home has been recently renovated and is move-in ready!  Cozy 3 bedroom 1.5 bath home in Estes Hills Subdivision.  With a beautiful view of the mountain range and Watts Bar Lake there is always something to smile about here.  This home is just minutes away from Spring City Marina and beautiful Watts Bar Lake.   The property has a fenced in backyard and a workshop with electricity already installed, absolutely perfect for a handyman or small project enthusiast.  Ample parking for multiple vehicles and a paved driveway for easy access.",fresh%20paint
5,"$229,000","2239 Highway 100, Centerville, TN 37033",https://www.zillow.com/homedetails/2239-Highway-100-Centerville-TN-37033/41470793_zpid/,4, House,2,"1,941",Rose Rainey,931-215-6516,Great South Real Estate & Development,"Adorable farmhouse with 4 bedrooms nestled in a country like setting with mature trees on an one acre lot. Recently renovated with 2 CHA units, new refrigerator and dishwasher, floors, bathrooms and fresh paint.",fresh%20paint
6,"$229,900","7652 Smith Mountain Rd, Crab Orchard, TN 37723",https://www.zillow.com/homedetails/7652-Smith-Mountain-Rd-Crab-Orchard-TN-37723/55776623_zpid/,3, House,2,"2,448",Karen Giattino,954-258-2959,Crye-leike Brown Realty,"Nice manufactured home sits on 5 wooded and private acres. It features an open floorplan with 3 bedrooms and 2 baths, a separate laundry room, an office and a bonus room with a separate entrance from the deck. New floors in 2019, new roof in 2018, new water heater in 2019, new double pane pella windows and doors (except Kitchen), and the lower deck 50' x 20' and the upper deck 28' x 10' were added in 2017. In addition to the 60' x 40' workshop, this home is resting on at least 40 block pillars on 24'' wide x 24'' deep footers. Tornado straps are concrete anchored in. The master suite features a 14 x 6 walk-in closet. There is a mini home 16 on center that has brand new cabinets, two sinks, a toilet, and a loft for a bed that owner is leaving behind. Sits close to the electric. The home is in need of fresh paint and the back rooms need flooring. The large workshop has marble tile in it, two of Johnny Cash's doors and other French doors, tile to replace cracked ones in the home and",fresh%20paint
7,"$299,990","3309 Country Way Rd, Antioch, TN 37013",https://www.zillow.com/homedetails/3309-Country-Way-Rd-Antioch-TN-37013/41185375_zpid/,3, House,2,"1,365",Thomas Lin,615-668-7598,"Benchmark Realty, LLC","Charming 3Bd/2Ba ranch style home with fenced in back yard.  Tiled shower, fresh paint, and beautiful floors.  New windows, insulation, and updated HVAC system.  Great level yard and convenient location to airport and downtown Nashville.",fresh%20paint
8,"$320,000","1320 E Holston Ave, Johnson City, TN 37601",https://www.zillow.com/homedetails/1320-E-Holston-Ave-Johnson-City-TN-37601/42566755_zpid/,4, House,3,"3,757",Lynn Byrd,423-247-2277,Remax Results,"This charming and spacious 1933 home has been lovingly updated. The covered rocking chair front porch opens into a generous living space with a beautiful, original woodburning fireplace and mantle. Living room is open to the large dining room, then on to a renovated kitchen, laundry is off the kitchen. Stainless kitchen appliances will convey with the home. Fresh neutral paint inside and out. All new laminate flooring through first and second floors. First floor also has 2 generous bedrooms, a full bath, and a third room that could be used for an office, library, nursery, or sitting area. Upstairs has been set up like a master suite, teen suite, or in-law suite. It features a loft landing, a sitting area, several large closets, a full bath, and bedroom area. The basement is fully finished with 2 large walk-in closets, a large full bath with whirlpool tub and walk-in shower. The sellers used the basement as their ensuite for many years. The home also features a 2 car attached garage with plenty of space for a shop, and a single car detached garage with a carport and with plenty of off-street parking for owner and guests. Porch swing, ladders in garage, & new water heater that has not been installed convey with the property. All this is sitting on a corner lot, on quaint and divided East Holston, just minutes from I-26 and downtown Johnson City. This one won't last long! Schedule your showing today!",fresh%20paint
9,"$490,000","6010 Forest Ct, Greenbrier, TN 37073",https://www.zillow.com/homedetails/6010-Forest-Ct-Greenbrier-TN-37073/81254067_zpid/,4, Coming soon,3,"3,698",Bernie Gallerani,615-438-6658,RE/MAX Choice Properties,"Beautiful home in cul de sac w/ little traffic. Only 30 minutes from downtown Nashville or Vanderbilt. Huge eat-in kitchen w/ SS appliances less than a yr old. Separate formal dining room. Open floor plan w/ sunken living room and secondary sitting area w/ French doors and lots of light. Hardwood floors and brand new carpet throughout. Primary suite has 2 walk-in closets and trey ceiling. Huge 4th BR in basement w/ additional space for media room or bonus, already wired for surround sound. 2nd bonus room over garage on main level.. Entire home has fresh paint. Private backyard overlooking wooded lot w/ deck and decorative pond w/ waterfall ready for entertaining or just relaxing in your beautiful backyard. 2 car garage on main and one in basement. Greenbrier schools w/in walking distance.",fresh%20paint
10,"$610,000","108 Berwick Pl, Franklin, TN 37064",https://www.zillow.com/homedetails/108-Berwick-Pl-Franklin-TN-37064/42631938_zpid/,3, Coming soon,3,"2,948",Kimberlee A. Whitmore,615-289-3608,"Synergy Realty Network, LLC","Located in highly sought after Rogersshire!  All brick home offers strong functioning floorpan only 1.5 miles to downtown Franklin and 12 minutes to I-65.  Covered front porch, large backyard with flagstone patio.  Located on a cul-de-sac.  Lots of storage, large walk in pantry, spacious laundry room and wood burning fireplace with gas hook-up on main.  Owner's Suite, 2 secondary beds, and large bonus with closet on second.  HVAC and Water Heater were replaced within last 5 years.  Fresh, Neutral Paint throughout. Great opportunity for buyer to make it their own.",fresh%20paint
