,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$275,000","4143 Walker Blvd, Knoxville, TN 37917",https://www.zillow.com/homedetails/4143-Walker-Blvd-Knoxville-TN-37917/41622140_zpid/,4, House,2,"2,200",Susanne Flynn,615-822-5808,ResultsMLS.com,This is a nicely remodeled 100 year old craftsman. Every thing in it is new except for a few authentic things like he wood floor and pantry door. All work has been inspected by the city. Stunning pine ceiling with resest lighting makes this home awesome. The kitchen is all new and features a quartz island and huge pantry. There is a covered porch and creek with fish.,quartz
1,"$384,000","1030 Dartmouth St, Chattanooga, TN 37405",https://www.zillow.com/homedetails/1030-Dartmouth-St-Chattanooga-TN-37405/41414332_zpid/,3, House,2,"1,182",Don F Thatcher,423-504-9085,Happy Home Realty,"Charming Bungalow located on very desirable level street among many more expensive homes. All new stainless appliances, cabinets, quartz countertops, plumbing fixtures,dual flush TOTO commode,  tile shower and paint. Owner agent, move in ready! Walk to ElPrimo Tremont tavern burgers and more! Rare chance to move to the heart of north Chattanooga",quartz
2,"$284,900","8610 Trinity Rd, Cordova, TN 38018",https://www.zillow.com/homedetails/8610-Trinity-Rd-Cordova-TN-38018/42287541_zpid/,3, House,2,0,Arlese Rainer,901-258-7253,"Franchise Realty, LLC",BEAUTIFUL REMODELED OPEN FLOOR PLAN HOME NICELY LANDSCAPED WITH HUGE FENCED BACKYARD. NEWLY PAINTED INTERIOR AND EXTERIOR.  NEW QUARTZ COUNTERTOPS IN KITCHEN. REMODELED LUXURY BATH. NEW LIGHT FIXTURES AND  NEW CABINETS. A MUST SEE!!!!,quartz
3,"$599,500","2458 Woodbine Ave, Knoxville, TN 37917",https://www.zillow.com/homedetails/2458-Woodbine-Ave-Knoxville-TN-37917/41641871_zpid/,4, House,4,"2,612",Phuong Nguyen,404-518-2802,"The Real Estate Firm, Inc.","Welcome to this immaculate 1890's George F. Barber Victorian home located 6 minutes from downtown Knoxville, nestled in the heart of Parkridge. You'll appreciate all of the incredible woodwork and preserved vintage details including: original staircase, large windows and 10' ceilings! This home features a beautifully renovated kitchen with Quartz counters, and a spacious pantry. On the main level you'll find a primary bedroom suite with spacious closet, renovated bath with custom tile and walk-in shower. Both bedrooms on 2nd floor has its own balcony!Complete renovation in compliance with Knox city construction code featuring new  electrical, plumbing, HVAC, roof, in wall insulation, double car concrete path, custom build kitchen cabinets, etc. Shower glass door in master bath is scheduled to be install.",quartz
4,"$259,900","4714 McBroom Branch Rd, Baxter, TN 38544",https://www.zillow.com/homedetails/4714-McBroom-Branch-Rd-Baxter-TN-38544/41982173_zpid/,3, House,2,"1,720",Chad Crouch,931-979-1191,Highlands Elite Real Estate LLC,"Secluded living at its best! 4BR, 2BA on 1.5 acres w/ a 2car carport. Upgraded and updated!  All brick, one level home in a beautiful country setting w/ view of the mountains & below. Bonus room. Oversized laundry room. SS Appliances, propane gas oven, quartz countertops, custom butcher block on island in updated beautiful eat-in kitchen. Master suite with full bath & individual heat & cooling. New paint & flooring. 2 yr old roof. 30 x 50 shop with electricity & concrete floor. Very private with lots of wildlife. Barn on property as well.",quartz
5,"$175,000","516 N 11th St, La Follette, TN 37766",https://www.zillow.com/homedetails/516-N-11th-St-La-Follette-TN-37766/2091609193_zpid/,3, House,2,"1,092",Derek Maples,865-603-1225,Keller Williams Realty,"Finally a fully renovated ranch in Lafollette for under 200K has hit the market. Not a stitch of carpet throughout the entire home so need to worry about allergies, spills, or messes. The kitchen is where the meals and memories are made so these quartz countertops, stainless appliances, and painted cabinets will transform your life. The recently updated HVAC allows for peace of mind for years to come. Staring at the North Cumberland Wildlife Management Area out your front door, you will feel like you have escaped into the country while being 1 mile from downtown. The dry crawl space has 15ft ceilings to use as storage or easily convert to a workshop.",quartz
6,"$299,900","1862 West Ct, Clarksville, TN 37040",https://www.zillow.com/homedetails/1862-West-Ct-Clarksville-TN-37040/70534469_zpid/,3, House,2,"1,690",Clinton Ross Morford,931-561-9807,Byers & Harvey Inc.,"This immaculate home truly is a stunner, laced with quartz counter tops, marble backsplash, and laminate floors that flow through this open concept design. Accented with a custom covered back deck and a killer view, this property is sure to please. Home is nestled in a quiet culdesac that is complimented with an established neighborhood and sidewalks. Close to the mall and Downtown.",quartz
7,"$599,900","301 Davidson Dr, Franklin, TN 37064",https://www.zillow.com/homedetails/301-Davidson-Dr-Franklin-TN-37064/197321494_zpid/,4, Coming soon,3,"2,271",Bobbie Swager,615-497-9555,Keller Williams Realty,"Stunning, move-in ready home completely remodeled from top to bottom! Located on a corner lot in quiet neighborhood just a couple of minutes to downtown Franklin! Open concept with beautiful modern design throughout. Newly refinished hardwood floors, new HVAC, new windows, all new light fixtures and recessed lighting, new kitchen with quartz counters, new Samsung appliances with wine fridge, new bathrooms with mosaic tile, large dedicated laundry room, new tankless water heater, new electric and plumbing, and so much more! The luxurious master ensuite has a large shower with modern tile and double vanities. Spacious bonus room could be used in so many ways. Newly repainted inside and out. Large carport and driveway and new professional landscaping.",quartz
8,"$389,900","202 Elnora Ct, Hendersonville, TN 37075",https://www.zillow.com/homedetails/202-Elnora-Ct-Hendersonville-TN-37075/80350339_zpid/,3, House,3,"1,775",Steve Metarelis,615-616-7965,Offerpad Brokerage,"Beautifully renovated Hendersonville home that is move-in-ready! Luxury kitchen w/ rich shaker cabinets, quartz counters, SS appliances, and upgraded lighting.  Gorgeous flooring and freshly painted, both inside and out. Spacious bedrooms along w/ amazing bathrooms, large windows, and lots of natural light. Great home for entertaining with awesome back yard!",quartz
9,"$599,900","4419 Sutherland Ave, Knoxville, TN 37919",https://www.zillow.com/homedetails/4419-Sutherland-Ave-Knoxville-TN-37919/41667841_zpid/,3, House,2,"1,798",Carrie Poteat,865-256-9311,Realty Executives Associates,"This charming 1940's storybook cottage has excellent appeal with a stone-cut marble exterior and sits on a corner lot. The home has a nice interior flow and looks like a Magnolia Style makeover!! Beautiful hardwood floors, built-in cupboards, and front entrance offer a yesteryear feel with a vestibule/foyer and a lovely front door. The living room is gorgeous and has beautiful hardwood floors, fireplace, arched doorway, and leads to a quaint side porch with arches and is quite cozy! The formal dining has lots of natural light and built-in cupboards. The breakfast room area is currently an office. The kitchen has quartz, tiled floors, SS Appliances, and a large farm sink. Two bedrooms and one bath on main. One bedroom and one bath upstairs.... The back patio is inviting, with steps that lead off to the detached garage. Located so conveniently to Bearden attractions and the Bearden Village Greenway runs through the Sutherland Ave side of the lot. This is a neighborhood that calls out, ""Won't you be my neighbor."" Call to schedule your exclusive showing. Showings begin Saturday, October 30th, 2021.",quartz
