,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$299,900","2112 Franklin Ln, Knoxville, TN 37920",https://www.zillow.com/homedetails/2112-Franklin-Ln-Knoxville-TN-37920/41680776_zpid/,3, House,2,"1,632",Ed Johnson,865-924-5045,Realty Executives Associates,"Nicely remodeled mountain stone basement ranch on a quiet 1.2 acre tract just minutes from UT Hospital, downtown Knoxville and the University of Tennessee. Newly painted interior with refinished hardwoods and LVT and LVP  floors. A totally remodeled kitchen with SS appliances and granite countertops. The owner set up the walk out basement as a master suite with a coffee bar complete with a wet sink, fireplace and full bath with all new modern fixtures. Outside you will find 1.2 acres of mostly level yard.",remodeled
1,"$349,900","131 Ja Ramsey Ln, Jonesborough, TN 37659",https://www.zillow.com/homedetails/131-Ja-Ramsey-Ln-Jonesborough-TN-37659/42578151_zpid/,3, House,3,"2,034",Gregory Cox,423-791-3331,Berkshire Hathaway Greg Cox Real Estate,"MULTIPLE OFFERS!!!  Highest and best by Tuesday, January 25th at 6:00 PM!Amazing remodel.  Open living space with new kitchen paint and flooring!!!  Charming 3 bedroom , 2 1/2 bath home near historic Jonesborough. This tri level design sits on a large fenced in level lot!!!  Features include, large family room, great kitchen and dining area, lower level den and half bath and fabulous back deck perfect for screening.. Also included is a 500+ sq. ft. detached garage, perfect for additional garage space or a spacious workshop.  Stunning setting!!!! Buyer/Buyer's agent to verify all MLS info.",remodeled
2,"$280,000","27 Leonard Dr, Clarksville, TN 37042",https://www.zillow.com/homedetails/27-Leonard-Dr-Clarksville-TN-37042/41834789_zpid/,4, House,3,"2,250",Mark Ferron,931-624-5428,EXP Realty,"Jaw dropping newly remodeled home in the heart of Clarksville Tennessee. This amazing 4 bedroom 2 ½ bath home features a remodeled kitchen with new stainless appliances, LVT Flooring, fully finished basement, and a place to do your all your hobbies in a 30’x40’ detached 4 bay garage on nearly an acre.  Easy access to Fort Campbell, shopping, and I-24. You don’t want to miss an opportunity to buy one of ClarksvillesBestHomes. Check out the 3D Scan!",remodeled
3,"$10,000,000","4113 Murfreesboro Rd, Franklin, TN 37067",https://www.zillow.com/homedetails/4113-Murfreesboro-Rd-Franklin-TN-37067/81351129_zpid/,5, House,9,"10,457",Tim Thompson,615-207-3295,Tim Thompson Premier REALTORS,"Stunning estate on 5 privately gated acres featuring the best in luxury & sophisticated high-tech amenities. Recently remodeled this fully integrated home & outdoor oasis boasts new LED lighting; Thermador kitchen w/custom cabinetry & underlighting; theatre; private fitness room; wine cellar; safe room; ultimate outdoor pool entertainment area, pavilion, shuffle board court, pool house & 7 car heat/cool garages. Prime location only mins. to downtown Franklin & easy access to I-65/Nashville.",remodeled
4,"$289,900","910 Barney Holt Rd, Jamestown, TN 38556",https://www.zillow.com/homedetails/910-Barney-Holt-Rd-Jamestown-TN-38556/41269123_zpid/,3, House,2,"1,975",Jill Houston,931-397-9876,Mitchell Real Estate & Auction,"MINI FARM DREAMERS TAKE NOTICE! Freshly remodeled 3br/2ba masterpiece nicely situated on 5 unrestricted acres with it's very own stocked spring fed pond. Simply stunning 1,975 sf. Home with a  MAGNIFICENT KITCHEN,  FULLY UPDATED, NEW appliances including Stove, Refrigerator, & Dishwasher, CH&A, New Water Heater, New Vinyl Windows, New flooring coverings, New paint, New light fixtures, and a BONUS ROOM, which could be 4th BEDROOM, basement & large utility/pantry room. Bring your horses and enjoy, only minutes from the Big South Fork Trails, East Fork Stables, & Jamestown. Seller has had Home Inspected and certified as MOVE-IN-READY with a buy back guarantee, a Transferable Termite Inspected, and seller will provide a HOME WARRANTY at closing!  You won't believe this home! Only $299,900!",remodeled
5,"$699,900","601 S Arch Rock Dr, Sevierville, TN 37876",https://www.zillow.com/homedetails/601-S-Arch-Rock-Dr-Sevierville-TN-37876/42489724_zpid/,3, House,3,"2,016",Charity Brown,865-659-0254,Tennessee Elite Realty,"UNBELIEVABLE BUY! Completely remodeled modern Rustic log cabin/home sitting on 5.02 acres with 613 ft. frontage on the East prong of the Little Pigeon River in Sevierville, TN! This home has the WOW FACTOR! This home has been remodeled and upgraded and the finishes are stunning! Interior features include luxury vinyl plank flooring throughout, newly painted, Log interior and exterior, wood walls, and more! Open floorplan with spacious over the top kitchen with stainless appliances, an island accented with stone, sealed concrete countertops, and stone backsplash. Eat in dining area. Modern fixtures and finishes throughout. Master Suite addition that added an additional 400 sq ft. with walk in closet, in suite bathroom with glassed in and tiled walk-in shower and double sink vanity, and a tile surround corner gas fireplace for relaxing. On the second level you will find two additional bedrooms with barn doors, spacious closet, and vaulted ceilings with new carpet. New decking and rails on exterior of home including new windows. Also, as an added BONUS you have a HUGE detached metal building approx 36x48 (1728 sq ft) with parking for 4+ cars, camper, boat, ATVs, and more. It also has a carport on each side too! Building has electrical ran to it and is insulated. Above ground Pool installed in 2020, has been winterized and has brand new pool cover. Brand new 80-gallon hot water heater and new well pump and pipes. This is a rare find and will not last long!",remodeled
6,"$329,900","47 Grove Hill Rd, Kingsport, TN 37660",https://www.zillow.com/homedetails/47-Grove-Hill-Rd-Kingsport-TN-37660/42435572_zpid/,4, House,4,"3,812",Sarah Richards,423-585-7100,"Spring Mountain Realty, PLLC","Very secluded in woods 4 Bedroom home with small koi pond, waterfall, gazebo, and 3 decks overlooking 3 large ponds stocked with fish in Crown Colony. Amenities include tennis courts, olympic size pool, sauna, library, workout area and use of a nice clubhouse for parties or weddings. House has been remodeled with Glass tile backsplash and granite counters. Bathrooms have glass tile walk-in showers with seamless doors. Formal living room with fireplace, family room with skylight fireplace, with cathedral ceilings. Newer heat pump, and hot water heater. Hurry this one won't last long!!",remodeled
7,"$169,900","157 &amp; 159 Holly Hill Rd, Roan Mountain, TN 37687",https://www.zillow.com/homedetails/157-159-Holly-Hill-Rd-Roan-Mountain-TN-37687/2066669620_zpid/,3, House,2,"1,248",Rachel Moody-livingston,423-737-0774,Evans & Evans Real Estate,"Bring the goats and Chickens...2 homes and 5 acres would be great for a homestead.  All info in this listing is for 157 Holly Hill and 159 Holly Hill is considered a bonus as it needs some TLC but can be remodeled.  Home offers 3 bedrooms 2 baths, nice mountain views, small stream on property, overlooks the Doe River, several storage sheds, barn, dog kennel or chicken coop, a few different fenced in pastures, and so much more.  Buyer to verify all info.  Water on both parcels is shared with adjoining properties.",remodeled
8,"$525,000","225 Dogwood Ln, Johnson City, TN 37604",https://www.zillow.com/homedetails/225-Dogwood-Ln-Johnson-City-TN-37604/42567329_zpid/,5, House,4,"4,568",Sherry Ludecker,423-742-1054,Kw Johnson City,"** MULTIPLE OFFER NOTIFICATION**  ALL OFFERS DUE BY WEDNESDAY, JAN 6TH AT 12:00 NOON.Looking for lots of space, inside and out in the heart of Johnson City?  This remodeled ranch home on a 1+ acre lot has tons of mid-century charm and lovely updates and is within walking distance of the Science Hill High School and the Mall at Johnson City.  The main level has a split bedroom design and  boasts a huge master suite, a 2nd bedroom with an en-suite bath, 3 additional bedrooms and an additional full bathroom.   The centerpiece of this home is an amazing eat-in kitchen with a gas log fireplace, granite countertops and beautiful stainless appliances.   The adjacent living and dining rooms are perfect for entertaining friends and family. The home has a huge den with a gas fireplace, an office/study with tons of windows and lots of natural light and a fully enclosed sunroom with new LVP flooring. There are main level laundry hook ups outside the master bedroom plus a full laundry room in the basement level.  The basement level has interior AND exterior access and features a 2nd den with a fireplace, a large finished room for additional living space, a beautiful full bathroom and 2 storage rooms.  Other awesome features of this unique home are a backyard tennis court and an over-sized 2 car garage with storage and workbenches.  This home has so much to enjoy! Come check it out today!  Buyer or buyer's agent to verify all information including square footage which was taken from last home appraisal.",remodeled
9,"$159,900","238 Belmont Ave, Mount Carmel, TN 37645",https://www.zillow.com/homedetails/238-Belmont-Ave-Mount-Carmel-TN-37645/41530407_zpid/,3, House,1,"1,150",Keri Ragle,423-817-9446,Weichert Realtors Saxon Clark,"Completely Remodeled Home up for grabs in Hawkins County. Everything you can imagine has been done to this Craftsman style home. The house is completely LEVEL with no steps! Starting from the studs, there is new insulation, sheetrock, interior and exterior paint, interior and exterior doors, all new electrical outlets throughout the home along with an updated Electrical panel to a 200 AMP service, metal roof, gutters, vinyl flooring, concrete porch/ sidewalk combo, gravel driveway, kitchen and bathroom cabinets, fixtures, plumbing, updated windows, the list goes on and on. Why wait? Schedule your showing today, because this one won't last long! It is the Buyer's responsibility to verify information taken from courthouse records.",remodeled
