,prices,address,beds,links,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$650,000","3170 Thistlebrook Cir, Highlands Ranch, CO 80126",1,https://www.zillow.com/homedetails/3170-Thistlebrook-Cir-Highlands-Ranch-CO-80126/13446263_zpid/, Coming soon,1,"2,764",Becky Berzins,303-979-8888,The Denver 100 LLC,"Beautifully updated and remodeled home with huge, fenced yard * New exterior paint * Newer  windoes and roof * Newer central air conditioning and furnace with UV filter * Updated kitchen with  white roll-out cabinets, quartz counters, apron sink, subway tile backsplash, stainless appliances,  pantry, desk area, and crown molding * Custom walnut mantle with updated tile surround gas  fireplace * Master suite with 5 piece bath and custom walk-in closet * Fenced yard with fabulous",stainless
1,"$449,000","7925 W Layton Ave UNIT 700, Denver, CO 80123",4,https://www.zillow.com/homedetails/7925-W-Layton-Ave-UNIT-700-Denver-CO-80123/13432541_zpid/, Coming soon,4,"2,779",The Blank And Bingham Team,303-521-5025,The Agency - Denver,"This ideally located end-unit townhome is the largest offered floorplan in the community and ready for all of your personal touches. A thoughtfully laid out main floor invites you in with an abundance of natural light and comfortable setting. With hardwood floors throughout, the dining room allows for a large table and leads to the kitchen and additional adjoining family room that is highlighted by a cozy fireplace. With ample kitchen cabinetry, newer stainless-steel appliances, and a breakfast bar that overlooks the family room, the main level provides many spaces to enjoy and entertain in. The sliding glass doors let in natural light and provide access to an adjacent private outdoor area with a covered concrete patio, creating an extension of the living space to enjoy the Colorado outdoors. A laundry room and half bath round out the main level offerings. Upstairs includes a large primary suite that is equipped with an en-suite bath and large walk-in closet. Two more bedrooms and a full bath create versatility in the spacious upper level. The basement includes a rec-room, full bath, and one more bedroom. A large two-car garage provides added storage and convenience to the home. The amenities of Provincetown Landing include an outdoor pool, hot tub, tennis courts, and clubhouse. With easy access to Santa-Fe, Highway 285, Belmar Shopping Center, Clement Park, and vast array of restaurants and shopping, this home provides so much opportunity for adding your own finishing touches!",stainless
2,"$399,500","3095 Blue Sky Cir UNIT 303, Erie, CO 80516",2,https://www.zillow.com/homedetails/3095-Blue-Sky-Cir-UNIT-303-Erie-CO-80516/2095868267_zpid/, Coming soon,2,"1,156",Brandon Davis,720-771-6528,Goodacre & Company,"Enjoy beautiful mountain and sunset views from this spacious top floor unit. Open living space with gas fireplace and high vaulted ceilings throughout. Upgraded light fixtures, ceiling fans, and nest thermostat. Private balconies off living room and main bedroom retreat, includes huge walk-in closet with adjustable organizers and storage shelves and large dual sink bathroom. Granite countertops, stainless steel appliances, washer/dryer, and LED lighting throughout. 1-Car garage (detached) is drywalled and insulated, located on the corner for easy access. Community Amenities include Pool, Hot tub, Fitness center, and Clubhouse, make this a great place to call Home! Seller is a licensed real estate agent in the state of Colorado.",stainless
3,"$269,900","1510 Palmer Ave, Pueblo, CO 81004",2,https://www.zillow.com/homedetails/1510-Palmer-Ave-Pueblo-CO-81004/14037873_zpid/, House,1,962,MMK Estates Team,,EXIT Realty DTC,"This awesome 2 bedroom 1 bath home is located in the heart of Pueblo's South side. The home was updated in 2019, so you don't have to.  Light gray and white colors adorn all the walls and woodwork throughout. Your sure the enjoy all the flowers that will bloom come spring in the manicured front yard beds. Built in 1904 this home is anything but dated. Upon entering the home your greeted with a bit the of old and a lot of the new. The high ceilings are perfect for the remote controlled fan and light fixture and the modern chandelier in the dining area in this open concept home. Lots of windows with 2” faux blinds, allowing for plenty of natural sunlight, make this home nice and airy.  There's an original built in China cabinet to house those special occasion dishes and mementos, too. A large kitchen, big enough for two cooks, is complete with granite countertops, electric stove, built in microwave and tons of cabinets. The appliances are all stainless steel.Central Air conditioning and gutters have been added within the last two years. Nice quiet neighborhood. Amenities include near by schools, shopping, dining and is situated close to I25. Don't let this one pass you by.",stainless
4,"$289,000","531 Main St, Ordway, CO 81063",3,https://www.zillow.com/homedetails/531-Main-St-Ordway-CO-81063/104580759_zpid/, House,2,"1,860",Shirley Cash,719-469-5631,Cash Realty LLC,"Stately 3 bedroom, 2 bath craftsman style home full of character and charm, with lots of new updates.  This home has been updated throughout with first-class tastes.  You will find custom-designed kitchen with gorgeous quartz countertops, all new cabinets, state-of-the-art stainless steel appliances, gas range with air fry convection oven, island breakfast bar with 3 stools.  All new luxury vinyl plank flooring throughout the home.  Original built-in craftsman style buffet and pillars in the large formal dining room.  Large kitchen is open to the dining room, giving ease for serving all those family dinners.  All new stairs from the living room to the upper master suite.  Main bath has new bath tub and surround, new vanity and sink.  All new ceiling fans and lighting.  Master suite has two closets and extra storage closets, 3/4 bath is all new.  Furnace and water heater and washer/dryer all in the mud room.  You will enjoy the cozy covered front porch, which makes you feel you are stepping back in time as you enter this beautiful home.   All new interior and exterior paint and stucco.  Covered attached patio in back.  The one car garage has been all redone with a new overhead door.  New lawn on north side inside the wood privacy fence with new sprinkling system.  Roof was replaced June 2018.",stainless
5,"$550,000","9865 W Wagon Trail Dr, Denver, CO 80123",4,https://www.zillow.com/homedetails/9865-W-Wagon-Trail-Dr-Denver-CO-80123/13431104_zpid/, Coming soon,2,"2,258",Jill Nurse,303-241-4915,Coldwell Banker Realty 24,"This beautifully updated home welcomes you with plenty of style the minute you walk in the front door. It has gorgeous, hardwood floors and knotty pine doors throughout the home, neutral colors, charming wainscoting installed throughout the main floor, stairwell and master bedroom. The elegant gas fireplace with white mantle and trim and window seat just gives this home so much character. The kitchen has plenty of storage, granite tile counters and stainless appliances plus a beautiful dining area. The main floor also has a large bedroom and full bath. The gorgeous hardwood floors continue up the stairs and into the bedrooms where you will find 3 more bedrooms, including the master bedroom. There is another full bath that has been completely updated with a new vanity and countertop, beautiful tiled shower, tile floors and full tile backsplash. The walkout basement is partially finished and includes another living space and possible office, game room or sun room that leads out the back deck. There is also lots of room for storage. You will love the large upper and lower decks, which overlook the greenbelt and have mountain views. The back yard is tiered and includes a large enclosed garden to keep it protected from hungry bunnies as well as a nice sized shed. If you love gardening, this backyard couldn't be more perfect. Extended driveway provides additional parking. Walking trails are just out your back door and lead you to the neighborhood park. Grant Ranch schools; Conveniently located just 20 minutes from downtown and 5 minutes from shopping, dining, Red Rocks and Bear Creek Lake.",stainless
6,"$299,500","323 Mount View Ln, Fountain, CO 80817",3,https://www.zillow.com/homedetails/323-Mount-View-Ln-Fountain-CO-80817/13552310_zpid/, House,1,864,Reatha Butler ABR CDPE GRI MRP SFR,719-200-6940,Ashley Garrett Res. Brokerage,"323 Somethin’ Special to See!  We know that the goal is to find that special home that you can enjoy, be proud to call home and be confident in  … 323 is that home.  This home is well cared for and shows true pride of ownership.  You will have confidence that you purchased well.  The owners have taken great care of this home: new insulation, sewer lines - you know the “big ticket items.” So, this home is truly live-in ready for you.  The mature community boasts of shade trees and a great Fountain location with easy commutes and access to highways.  As you approach this home note the mature tree, low maintenance front yard, and the welcoming porch/sitting area.  As you walk in, see how the beautiful hardwood floors throughout, warm tones and a spacious floor plan set the tone of quality and care.  Transition into the kitchen with the well-maintained stainless-steel LG refrigerator, Bosch dishwasher and a cook's dream, a gas burning stove. There is lots of storage - 42’ cabinets and a granite surface center island.  The walk-out to the backyard boasts of a custom concrete patio, two storage sheds, a designated area for gardening (perennials), solar lights on rear fence, firepit and lots of space to roam.  What’s included:  water heater (3/21), new blown in insulation, newer roof, clean air ducts, air filtration system, new sewer line, extended insulated garage and existing TVs with mounts.  Heating, plumbing and air conditioning systems routinely serviced.  There is approximate 8 months remaining on their service plans and it is transferable.  To the right of the garage, the option of creating additional parking, adding a carport option or easy access to the rear yard for your boat, RV, an extra vehicle or those larger “toys”.  No HOA or covenants.  This home has delighted the current owners for years.  They hope it will be a great place to call home and be a delight for you as well.  “Yes” 323 a special home you can enjoy, be confident in and be proud to call home.",stainless
7,"$350,000","570 S Falcon Dr, Pueblo, CO 81007",3,https://www.zillow.com/homedetails/570-S-Falcon-Dr-Pueblo-CO-81007/14021951_zpid/, House,2,"2,424",Tiffany Canady,719-955-1999,Keller Williams Partners Realty,"Welcome Home! Look no further than this meticulously cared for ranch style home nestled in Pueblo West. This spacious main level living ranch style home sits on a .25 acre of land, and features an unfinished basement for more growth and storage. Inside, the main level boasts an open and inviting floor plan with newer windows and window treatments that allow great natural light. Upon entry, there's beautiful wood flooring that transitions into tile in the kitchen and carpet in the bedrooms. The living room opens to the dining room with a walkout sliding glass door to the private and vast backyard. The kitchen area is adjacent to the dining and living room so you can be a part of all the action. The kitchen offers ample counter top space and stainless steel appliances. There are 3 bedrooms and 2 baths on the main level. The main bedroom features an adjoining bathroom and double closet space. As you venture to the unfinished basement, there is plenty of storage and room to expand. The laundry is located in the basement, and the heating and cooling systems were replaced just 3 years ago. This home offers a newer roof, fresh paint and updated doors. The large lot extends room for RV parking both inside and outside a secured fence. The new premium cedar fencing allows for privacy and security and is ideal for entertaining. It even comes complete with a fire pit for those cool nights. Don't wait! Call today to schedule your private tour!",stainless
8,"$610,000","8822 Jackdaw St, Littleton, CO 80126",4,https://www.zillow.com/homedetails/8822-Jackdaw-St-Littleton-CO-80126/13453334_zpid/, Coming soon,4,"2,371",Sue Smith,720-981-4109,Colorado Home Realty,"Beautifully updated 4 bedroom, 4 bathroom, 2,370 Total Sq Ft home, with walkout basement, spacious 2 car garage and open views nestled in centrally located Province Center neighborhood. Wonderful curb appeal greets you with neat, professional landscaping and a raised covered patio, perfect for relaxing on those warm Summer evenings and meeting new neighbors. As you enter you are met with gorgeous, new, luxury Coretec laminate wood floors, and the bright open living room. Shiplap accent walls and an exquisite tile fireplace surround create a sense of style and relaxation in this home. Create culinary delights for friends and family in the gorgeous, open eat-in kitchen which boasts all new stainless steel appliances, and a walk-in pantry with plenty of shelving for easy organization. Take a few steps outside and enjoy entertaining in the Colorado sunshine on the remodeled, freshly painted, spacious deck. Retreat to the master suite with lovely light, take in the open views and enjoy the walk-in closet and private master bathroom. All bedrooms offer views. The finished walkout basement offers a great place to enjoy a movie or play games, and with a full bathroom, could potentially hold a 5th bedroom. In the Summertime the backyard is a Gardener’s haven with raised planter beds, bursts of color, and a large lawn area to keep Fido happy. The many updates include new high end carpet, a new Frigidaire furnace, new water heater with expansion tank, new sprinkler control system, new sprinklers in the backyard and a Vivant home security system.     Home is in the South Suburban Recreation District and gets Resident rates at Golf Courses and Rec Centers.  Trails, parks and & South Suburban Links Golf Course are all close by. Easy access to C-470, Denver Tech Center and the mountains this location is hard to beat.",stainless
9,"$499,900","11021 Eudora Cir, Thornton, CO 80233",5,https://www.zillow.com/homedetails/11021-Eudora-Cir-Thornton-CO-80233/13003656_zpid/, House,2,"1,994",Darren Fogel,303-883-2252,MB Denver Colorado Realty Source,"Nicely updated 5 bedroom 2 bath ranch home, light and bright, with tons of windows, open floor plan, large rooms, great set up for entertaining on the main level with open concept from the living room to the kitchen and eat in nook dining area,  The kitchen offers updated cabinets with an island, custom tile backsplash, slab granite countertops, pantry and stainless steel appliances.  All new LVT flooring throughout the main level and updated tile floor and surround in the bathroom.  Designer plumbing, electrical and hardware fixtures throughout.  Fully finished basement with a large game room, bar area and extra great room, bathroom, laundry room and 2 large bedrooms with egress windows.  A/C, radon mitigation system installed, updated double pane windows, window coverings.  Newer roof.  Oversized 2 car garage with easy access to the back yard, RV parking, sits on oversized lot with storage shed, full privacy fenced in back yard, large back deck.  Close to everything including restaurants, parks and trails, shopping, schools and easy access to major highway and throughfares plus much more!!!",stainless
