,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$285,000","4906 W Plum St, Pearland, TX 77581",https://www.zillow.com/homedetails/4906-W-Plum-St-Pearland-TX-77581/26547753_zpid/,4, House,2,"1,694",Juan Quintero,832-552-2046,"eXp Realty, LLC","Your new home in a quiet and established neighborhood awaits! This updated 4 bedroom, 2 bath home is move-in ready! Featuring an open concept remodeled kitchen with stainless steel appliances, granite counter tops, soft close cabinets, a split floor plan, private pool & spa, attached 2 car garage and detached 2 car garage. Gas appliances & fire place. New windows, updated restrooms, tile and wood floors throughout, fresh paint, plantation shutters, recessed lighting, large patio and plenty of storage space.   TOP RATED PEARLAND ISD SCHOOLS, LOW TAX, NO HOA, NO FLOODING, GREAT LOCATION!",soft%20close
1,"$325,000","5422 Holly View Dr, Houston, TX 77091",https://www.zillow.com/homedetails/5422-Holly-View-Dr-Houston-TX-77091/28337012_zpid/,4, House,3,"2,522",Bobby Sullivan,713-482-9889,Coldwell Banker Realty,"This move-in ready home sits on the large corner lot of a cul-de-sac & boasts lush landscaping & mature trees. Upon entering, the formal dining room opens to a huge living room that features designer paint & wall paneling, a beautiful fireplace with exposed brick facing, built-in shelving, & timeless wood floors.  The 2 story cathedral ceiling adds grandeur to the room while a wall of windows bathes it in light.  The kitchen has soft close cabinets & convenient drawers for pots & pans, stone countertops & mosaic tile backsplash, topped off by stainless steel appliances (which stay with the house) that add a modern touch to this well thought out space.  The primary bedroom is thoughtfully on the 1st floor & has a large garden tub w/ separate shower & double vanities. The 1st floor also includes a half bath & laundry room.  A bathroom & 3 bedrooms are upstairs. The very private backyard features a sparkling pool with safety gate, lush landscaping, & numerous seating areas.",soft%20close
2,"$299,000","1318 Burnwood Ln, Houston, TX 77073",https://www.zillow.com/homedetails/1318-Burnwood-Ln-Houston-TX-77073/28144542_zpid/,4, House,3,"2,128",Melissa Cruz,832-247-9995,Keller Williams Woodlands,"Totally remodeled home tucked in the quiet neighborhood of Inverness Forest! Single story 4 bedroom 2.5 bath home on a huge oversized lot and NO BACK NEIGHBORS! Updated wood-look tile flooring throughout – NO CARPET. Spacious formal living and dining area. Sophisticated kitchen dazzles with 42” tall white soft-close cabinets and drawers, granite counters, and new stainless steel appliances. Recessed LED lighting and modern lighting fixtures. Den with soaring ceilings and cozy brick fireplace with views of the oversized backyard. Owner's suite features extensive closet space and a modern en-suite bath. Three secondary bedrooms share the well-appointed hall bath and a guest half bath is located near the kitchen. Oversized 2-car detached garage with long extended driveway for parking. Updates include: New roof, double-paned windows, PEX piping, HVAC, and electrical (2021). Convenient location to popular dining, shopping, and just minutes from Bush Airport and The Woodlands!",soft%20close
3,"$350,000","10607 Carlota Ct, Houston, TX 77096",https://www.zillow.com/homedetails/10607-Carlota-Ct-Houston-TX-77096/28034828_zpid/,3, House,2,"1,643",Jerry Yuan,281-858-3828,World Elite Realty,"Completely Renovated Ranch-Style Home in the Highly Desirable Westbury Community. Samsung Stainless Steel Appliances, Designer Interior and Exterior Paint, Quartz Countertops, Waterproof SPC (Stone Plastic Composite) and Tile Flooring Through-Out, Bonus Room Can Also be Used as a 4th Bedroom or Office. All New Low-E Double-Pane Windows, New Roof, New Fiberglass Insulation, New Doors, New Cabinets with Soft-Close Drawers, New Hardware, New Ceiling Fans, New HardiePlank Siding & Soffit, and Much More! Refrigerator Included! Check out the 3D & Video Tours. Per Seller, ""Home Never Flooded"". 1-Year Lease is Under Contract, New Owner Needs to Honor the Lease.",soft%20close
4,"$425,000","12812 Conifer Ln, Euless, TX 76040",https://www.zillow.com/homedetails/12812-Conifer-Ln-Euless-TX-76040/29311805_zpid/,5, House,3,"2,767",Sabrina Fernando,,Berkshire Hathawayhs Penfed Tx,"Say good bye to that small home & choose how you will live in this large home with spacious living areas & bedrooms.  As you enter the home you have a combination living & dining area.  There are two living & two dining areas & the kitchen on the main floor. 5 bedrooms, including the master suite upstairs.   One of the bedrooms is large enough to be used as a gameroom or third living area.  The secondary bathroom upstairs has been remodeled with tile, vanity with glass sinks  & soft close drawers, light & plumbing fixtures.  Ceramic tile on the main floor.  Carpet upstairs replaced in 2020.  Located on the end of the culdesac & next to a greenbelt this home has a large & private backyard with an open patio.",soft%20close
5,"$260,900","1918 Fernspray Ln, Houston, TX 77084",https://www.zillow.com/homedetails/1918-Fernspray-Ln-Houston-TX-77084/28288064_zpid/,3, House,2,"1,615",Leyla Abdullaeva,281-658-6513,NB Elite Realty,"Welcome to your new home! This charming 3-bed 2-bath is located in a well-established community, zoned to the number-1 ranked KATY ISD! This one-story home was fully remodeled with contemporary and high-end finishes throughout the space. The kitchen offers custom soft-close white cabinetry/drawers, quartz countertops, and updated fixtures. The flooring consists of modern water-proof vinyl throughout the home and newly-placed carpet in the bedrooms. Both bathrooms were also fully remodeled with new granite countertops, lighting, floor/wall tiles, and modern hardware.",soft%20close
6,"$449,900","5011 Cottage Glen Ct, Kingwood, TX 77345",https://www.zillow.com/homedetails/5011-Cottage-Glen-Ct-Kingwood-TX-77345/52410710_zpid/,4, House,4,"3,139",Linda Harris,713-822-7767,Keller Williams Realty,"DRASTICALLY REDUCED PRICE. COMPLETELY UPGRADED AND MOVE-IN READY home w/amazing features! Chef's kitchen w/3cm quartz counters, oversized island w/Jenn Air gas cooktop, double ovens, ceiling height soft close cabinets, ss appliances, Thermador coffee maker. The kitchen opens up to a large 2-story family room overlooking the crystal clean salt-water pool. Hard surface flooring throughout, all new tile throughout the dowstairs & luxury vinyl plank upstairs. Home located next to a beautiful cul-de-sac, no neighbors behind, enjoy your private backyard pool oasis w/ full outdoor kitchen and flagstone patio area. New Roof Oct. 2021!  The home features plantation shutters, Jeld-Wen Vinyl Windows, sparkling pool and spa with a Chiller, outdoor kitchen (refrigerator in box) and an oversize double detached garage, and sprinkler system.  The primary bedroom and bath, large walk-in shower, double sinks, large closet & view of the pool.  Get ready for summer and enjoy your own pool!",soft%20close
7,"$460,000","1639 Rockin Dr, Houston, TX 77077",https://www.zillow.com/homedetails/1639-Rockin-Dr-Houston-TX-77077/28315396_zpid/,4, House,3,"2,397",Paul Holub,713-817-2958,Keller Williams Realty - Memor,"Beautifully updated home on one of the best lots in the Energy Corridor! Fully updated kitchen with quartz countertops, new soft-close cabinets, stainless steel appliances & wonderful views of the amazing yard and patio! NEVER FLOODED! Modern epoxy floors throughout the downstairs! Spacious living room with wood-burning fireplace & updated wet-bar with no-touch faucet.  Inviting master bedroom with custom barndoors leading to the most amazing bathroom! Modern vanity with chrome hardware and light fixtures, elegant freestanding bathtub, spacious standup shower & generously sized closet with a new closet container system! You have to see this! Three bedrooms upstairs with an updated hall bathroom. 15 USB outlets, double paned windows & fresh paint throughout! 1/4 acre lot with a backyard large enough for a full sized volleyball court! Spacious patio for a full dining & sitting area! Quiet street with only one next door neighbor! Minutes from the Village School!",soft%20close
8,"$3,399,000","10911 Kirwick Dr, Houston, TX 77024",https://www.zillow.com/homedetails/10911-Kirwick-Dr-Houston-TX-77024/28051408_zpid/,5, House,7,"9,261",Kellie Geitner,713-213-2011,Martha Turner Sotheby's,"Sleek | Sophisticated | Elegant | This Modern-Contemporary has been extensively remodeled—including plumbing and wiring—and displays lustrous detail within every room. First floor complete with sparkling white terrazzo, professional grade appliances, custom soft close cabinetry and quartz countertops, as well as designer hardware and finishes. Massive floor to ceiling windows within the first floor Grand Room provides impeccable views to the back and front of the rejuvenated estate grounds and waterfront, which includes decking, retaining and decking. Entire second floor updated with new flooring and paint and an extensive update of the primary bathrooms with new quartz vanities and hardware. Home addition of a potential guest suite/quarters or game room has separate exterior entrance. Professionally designed outdoor lighting accentuates the clean lines geometric features of the home at night. Come take a tour of this one of kind home today !",soft%20close
9,"$265,000","4505 Watson Ct, Midland, TX 79705",https://www.zillow.com/homedetails/4505-Watson-Ct-Midland-TX-79705/50130615_zpid/,3, House,2,"1,548",Laura Miller,432-634-7043,"Dash Realty, LLC","ABSOLUTELY ADORABLE!  tranquil cul-de-sac STUNNING BATHROOM UPDATES! no carpet! TALL CEILINGS enormous covered back patio, NEWER LIGHT FIXTURES neutral paint NEWER ROOF WINDOWS & HVAC leaving fridge SOFT CLOSE CABINETS wood burning fireplace NEW FENCE huge backyard COME SEE THIS CHARMING HOUSE TODAY!",soft%20close
10,"$3,450,000","2004 Nighthawk Ct, Westlake, TX 76262",https://www.zillow.com/homedetails/2004-Nighthawk-Ct-Westlake-TX-76262/79953155_zpid/,5, House,5,"5,441",Susan Mathews,,Allie Beth Allman & Associates,"Timeless Van Trease Estate nestled on a cul de sac lot in Vaquero. This custom home boasts both impressive architectural and designer details including groin-vaulted ceiling treatments, handsome Cantera stone pillars, concrete stamped floors and elegant stack stone throughout. Inviting family room with accordion doors perfect for seamless indoor-outdoor entertaining. Gourmet kitchen with shaker soft close cabinetry, granite countertops with a Wolf range, double ovens and Miele coffee bar. Lovely Master suite with a cozy sitting area, his and her vanities and a custom closet. Enjoy fall evenings in the backyard paradise with beach entry pool and spa, ample covered area, grilling station and two fireplaces.",soft%20close
11,"$200,000","3088 Holly Hall St, Houston, TX 77054",https://www.zillow.com/homedetails/3088-Holly-Hall-St-Houston-TX-77054/2067068918_zpid/,2, Townhouse,3,"1,600",Loren Hebert Byrnes,281-236-5987,Southern Realty Group,"Popular manned gated Holly Hall Ths 2 bedroom! Recently elegantly remodeled with the following: new soft close cabinets, soft close drawers, plumbing fixtures, quartz counters, appliances, subway tiled backsplash, paint and more! This unit is nestled in the middle of complex.  Great front patio with room to lounge and grill.  Spacious 2 car garage.  Designer accent walls and vinyl plank flooring give this unit a real modern but warm flair.  All of the rooms are beyond spacious with plenty of room and flexibility to have it all.  So close to the Med Ctr, downtown, museum district and then some.  Do not miss this amazing unit!",soft%20close
12,"$120,000","8055 Cambridge St APT 83, Houston, TX 77054",https://www.zillow.com/homedetails/8055-Cambridge-St-APT-83-Houston-TX-77054/28454800_zpid/,2, Condo,1,776,Jack McLemore,817-283-5134,"Listing Results, LLC","This condo features Fire place in Living room with French door opens to the patio. separated storage next to the patio.  Granite countertops in the kitchen that were recently upgraded. Brand new over-the-range microwave. Brand new Ergonomically customized designed kitchen cabinets including all soft-open/close drawers, baskets and doors. Stainless steel dual sink with Pull out kitchen faucet. Over head soft-open/close Pull up/down glass door cabinet with glass shelf above the kitchen sink.  The powder room features full upgraded all solid wood soft-open/close drawers and doors from Woodmont Cabinetry. New faucet installed  The bath room comes with fully upgraded mosaic tile floor, KOHLER brand toilet and bath tub.",soft%20close
13,"$329,950","1104 Mainland Dr, Texas City, TX 77590",https://www.zillow.com/homedetails/1104-Mainland-Dr-Texas-City-TX-77590/27675671_zpid/,3, House,3,"2,711",Barbie Tucker,409-539-8234,Etheredge Real Estate,"Charming home built by and for custom builder, Ted Dudley. Rest assured that the home completely updated and brought to code in 2021 with new roof, all new electrical, all new plumbing, sheet rock, stylish soft close cabinets throughout with gorgeous quartz counters, wood laminate flooring, Low E windows and even the insulation was updated. Nothing was missed. You will have prize orchids in this perfect sun room that over looks the 1/4 acre yard. Bring all your cars/RV with plenty of parking in your 3 car garage and extra driveway. Tons of storage throughout. This home is remarkable.",soft%20close
14,"$325,000","3641 Middlefield Rd, Dallas, TX 75253",https://www.zillow.com/homedetails/3641-Middlefield-Rd-Dallas-TX-75253/26884742_zpid/,5, House,4,"4,131",Marie Walton,,"Ebby Halliday, Realtors-coit","Need space? Country living with city convenience. Great floor plan for multigenerational living. Two primary bedrooms (one in east wing and one in west wing) each have ensuite bathroom. Three additional bedrooms and 2 additional bathrooms. Four living areas including a huge gameroom that is approx 28x28. This room could be used as a home school learning center with lots of room left for other activities. Updated kitchen has quartz countertops, cabinets with soft close hinges, touchless faucet, and ceiling fan. Oversized garage with updated doors. Separate workshop with concrete floor and electricity. Three sheds. Two gated  driveways - one gate has electric opener. Wooden deck. Mature trees.",soft%20close
15,"$435,000","166 Elizabeth Rd APT C, San Antonio, TX 78209",https://www.zillow.com/homedetails/166-Elizabeth-Rd-APT-C-San-Antonio-TX-78209/2077642731_zpid/,2, Condo,3,"1,450",Desiree Herr,210-489-0796,Rubiola Realty,"High end finishes throughout this jewel in the heart of Alamo Heights. Premium location - walking distance from many coffee shops, restaurants, and Central Market. An open floor plan beckons you in with high ceilings and a view of the living area, dining area and kitchen. The kitchen boasts granite counter tops with a beautiful water fall island that also serves as extra storage. It also comes equipped with stainless steal appliances, soft close drawers, a farmers sink, and wine fridge.  Floating stairs lead you past a sky light and to the second floor, hosting the master bedroom with a walk in closet and en suite bathroom, as well as, the second bedroom and second full size bathroom. Half bath downstairs. Complex has gated parking with a storage area for bicycles. Close to Central Market and all the downtown attractions. Short term leasing allowed.",soft%20close
16,"$214,999","424 McCollum Dr, Huntsville, TX 77340",https://www.zillow.com/homedetails/424-McCollum-Dr-Huntsville-TX-77340/87576731_zpid/,3, House,2,"1,413",Kimberly Verrett,281-516-9977,"eXp Realty, LLC","Start the New Year off right -- just unpack & relax in this beautiful 3/2 home!  Open concept with breakfast bar and two primary bedrooms!  Perfect layout ... home office, roommates, multi-generations, children, work-out room, etc!  New in 2021: Low-E double paned windows, roof, HVAC & ducts/insulation (central air & heat), water heater.  Fantastic kitchen with soft-close cabinets, granite counters, stainless steel appliances (refrigerator, dishwasher, new oven/stove), Shaw Matrix waterproof vinyl flooring planks (most rooms).  Nice bathrooms.  No carpet.  Back portion of home includes new Hardi plank, plumbing, electrical, & insulation.  Be sure to enjoy the backyard deck and large yard!  Freshly painted inside/outside.  It’s ready for you to relax or entertain!  Close to Sam Houston Univ and I45.",soft%20close
17,"$385,000","2575 Cliff Dr, San Leon, TX 77539",https://www.zillow.com/homedetails/2575-Cliff-Dr-San-Leon-TX-77539/27643858_zpid/,3, House,3,"2,126",Katherine Torrado,713-256-6455,NB Elite Realty,"Step into your Rocky Mountain home on the bay! This classic A-frame cottage (with cedar loft) is located on a double lot just steps from the water. Next to the sea but with the feel of a mountain cabin, this home will have you feeling so relaxed that fishing could become a chore! Only the finest finishes and fixtures were selected; an interior designer even chose the Benjamin Moore color scheme! Home features porcelain wood floors, tongue-and-groove interior wood walls, and beautifully rustic batten board on the bedroom walls. Bathrooms feature quartz countertops and custom vanities, and all doorways are 36-inches wide. LED lighting, smart lights/fans, and smart key-free deadbolt on front door, along with new HVAC system and water heater, new wiring, and low E double-paned windows. Kitchen dons quartz countertops, new appliances, ceramic backsplash, soft-close custom cabinetry, and an exquisite custom copper exhaust hood. New plumbing lines and gutters. Metal roof is only 5 years old.",soft%20close
18,"$440,000","12315 Turtle Rock Rd #B, Austin, TX 78729",https://www.zillow.com/homedetails/12315-Turtle-Rock-Rd-B-Austin-TX-78729/2083464160_zpid/,3,"<abbr class=""list",2,"1,286",Vilija Levy,,JBGoodwin REALTORS WL,"Beautiful and meticulously updated condo (1/2 duplex). Great layout, tons of natural light. Huge lot and a private backyard facing greenbelt. Custom soft close kitchen cabinets, quartz countertops, stainless steel appliances,  hickory wood floors. Beautiful high end finishes throughout!  Minutes from Apple, Google, Domain. 10 min to The Arboretum and 15 minutes to The Domain- shopping and amazing restaurants.  Springwoods Park (Wooded park featuring playgrounds, trails & picnic areas, plus tennis, volleyball & an open field) and Rattan Creek Park  just minutes away. A fogged up window glass in on of the bedrooms' will be replaced.   Preferred title company: Capital Title P. Beauchamp 1801 S. Mopac Expressway, Suite 250 | Austin, TX 78746  Est TAX is calculated for both units (the whole duplex). HOA is created for only these two units and it's an insurance for the walls out.",soft%20close
19,"$289,275","115 Oak Manor Dr, Alvin, TX 77511",https://www.zillow.com/homedetails/115-Oak-Manor-Dr-Alvin-TX-77511/26525433_zpid/,3, House,2,"1,995",Deborah Burr,713-416-0337,Berkshire Hathaway HomeService,"Charming home in Oak Manor. Walk inside, notice complete renovations of soft gray, wood-like porcelain floors, open concept home with 4th room for use as home office, gym or BR. Upgrades to home include fresh paint, new electric panel/wiring, new HVAC+ductwork, new plumbing thru-out, granite kitchen countertops, custom soft close cabinets, pull-out pot rack, spice&wine racks, all S/S appliances, new doors/knobs.Bathroom renovations-granite & porcelain tile in shower, new vanities w/ marble countertops+soft close storage; vaulted ceilings in family room w/ chandelier ceiling fan&more. 80k of renovations to make this home feel brand new! Enjoy the swing hanging from a mature oak tree. Full privacy fence, fruit tree, beautiful covered back patio w/ porcelain tile & French doors. Outdoor ceiling fan & covered carport, storage shed & compost bin on adjacent side, both inside privacy fence.This quiet friendly neighborhood connects to Camp Mohawk & Boat launch is just minutes from your home!",soft%20close
20,"$464,900","1450 Springrock Ln APT 3, Houston, TX 77055",https://www.zillow.com/homedetails/1450-Springrock-Ln-APT-3-Houston-TX-77055/28535630_zpid/,4, House,3,"2,664",Alexis Paige,713-443-1042,Douglas Elliman Real Estate,"Welcome to this charming 4 bedroom patio home, fully updated & upgraded where no detail was spared!  The location is perfect, just next to Spring Valley & The Memorial Villages, you are conveniently located to downtown & The Galleria, & minutes from the Energy Corridor, Memorial City Mall & the beltway.  The first floor features an open plan where the kitchen opens to the dining & living area, and a brand new remote controlled fireplace.  Enjoy engineered hardwood floors throughout the first floor & an updated island kitchen with soft close cabinets & drawers, energy efficient appliances, & granite counters.  The expansive primary suite is located on the first floor with custom cabinetry built in the bathroom and a HUGE walk-in closet with custom built ins.  Three additional bedrooms and a game room are located on the second floor.  The outdoor space on this home is incredible with plenty of green space and room to entertain, fully fenced in with a brand new fence.",soft%20close
21,"$549,000","15 Oakwilde Ct, Houston, TX 77043",https://www.zillow.com/homedetails/15-Oakwilde-Ct-Houston-TX-77043/27999737_zpid/,4, House,3,"2,004",Haley Culbertson,832-548-0047,5th Stream Realty,"Amazing full remodel in Shadow Oaks! And talk about walk factor! One block from neighborhood favorite Lazy Oaks Beer Garden. Short stroll to Mia's/Torchy's and wonderful Knob Hill Park. Seconds from Memorial City Mall. This exceptional ranch home rivals new construction and features a huge central living/dining/kitchen area, 4 bedrooms, 3 full baths (two of which are en-suite), stylish modern fixtures and tasteful finishes. The primary suite has a 12' long walk-in closet! Among the many features and list of updates: 30 year composition roof, PEX supply lines, PVC underslab, Delta faucets, gutters, full HVAC + insulation + ducts, electrical wiring, cement board siding, exterior/interior doors, sod and landscaping, new soft-close cabinetry throughout, stainless steel appliances, Quartz countertops throughout, majority new drywall, engineered hardwoods in ALL rooms, fresh paint inside and out, and much more!  NEVER FLOODED! Enjoy the pictures and schedule a showing to truly appreciate!",soft%20close
