,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$3,100,000","32975 Stahl Ln, Bulverde, TX 78163",https://www.zillow.com/homedetails/32975-Stahl-Ln-Bulverde-TX-78163/70941556_zpid/,5, House,5,"5,638",Philip Becker,210-274-2774,"Becker Properties, LLC","Situated on 5.26 acres, this gated estate is private & serene. Passing through iron gates, rock entrance, the stamped drive & views of the home, you are captivated by its presence. The grand foyer sets the stage for this palatial property w/rotunda ceiling treatment, groin vault galleries, chandeliers, archways & views of the resort style pool. The lux kitchen has knotty alder cabinets & 42"" uppers adorned w/carved crown. There is a 48"" 8 burner range w/double convection ovens & 6' hand carved hood. The KitchenAid appliance package boasts 48"" refrigerator w/Ice machine & steel tub dishwasher. Dual islands, 1 of which is an imported one-of-a-kind w/carved details & bar seating are captivating. Moen faucets adorn the kitchen sinks. Golden Typhoon granite counters, tumbled travertine backsplash w/bronze medallions & knotty alder coffered ceiling complete the room. Adjacent is a wine bar w/Flemish glass doors, marble backsplash, wine fridge & pantry. Hand forged iron gates open to the formal dining. The custom quatrefoil ceiling & chandelier make for an elegant experience. The informal dining has 10' ceilings, crown, gold gilded rock crystal chandelier  & expansive windows. The owner's wing is a private retreat w/sitting room & access to the covered patio. It makes an impression w/13' ceilings & 9"" crown. The master boasts hand scraped wood floors, plenty of windows & an ornate carved wood & marble fireplace. The lavish bath is w/out compare, boasting groin-vault ceilings, crystal chandeliers & elaborate tile. There is a jetted tub, shower w/8"" rain & wall-mount shower heads, bench & Newport Brass fixtures. The faucets are adorned w/crystal handles, coordinating w/the crystal door hardware. His & Her vanities w/marble counters, a mirrored towel armoire & a makeup dressing table make it a pleasure to get ready. His & Hers closets boast islands w/marble counters, plenty of shelving & lighting. A guest bedroom is located on the 1st floor w/hand scraped floors, walk in closet & bath w/access to the patio. This bath has a shower w/bench, rain & a wall mount heads, frameless door, marble tiling & dual vanity. The multi-purpose utility features pull out bins, abundant storage, a desk & tumbled marble. The media room has impressive acoustics, exotic ceiling treatment & ambient lighting. There are 3 big bedrooms up, of which 2 adjoin onto a balcony overlooking the pool. 2 of the 3 feature 2 closets per room. A large bath w/6' jetted tub & shower w/rain & wall mount heads, frameless door & marble tile work adjoin those rooms. The 3 car garage has a walk in closet w/shelving. The grounds are an entertainer's paradise. The vast outdoor living is an oasis of tranquility, w/the extensive covered patios & flagstone surrounding the massive pool & spa. The covered patios have stained wood ceilings & many sitting areas. The custom pool features triple water fall, a cascading waterfall, sun shelf, 3 bubblers & mosaic glass tiles. The spa has room for 10. There is plenty of space to entertain in & around the pool house. The large living space features wood burning gas fireplace, a carved mantel & domed ceiling w/chandelier. The outdoor kitchen, w/knotty alder cabinetry, granite counters, range hood & bar is a fabulous area for dining alfresco. This kitchen features a 48"" gas range, refrigerator, dishwasher & sink. The gym overlooks the pool w/a bath appointed w/unique sink chest, matching mirror & chandelier. The grounds have landscape lighting & commercial irrigation system. There is a 2 story, 6,000 sqft metal building. The 50X100 slab has 3 overhead doors & pull through capability & concrete parking. There's a 2 story apartment/office space that is about 2,000 sqft. The lobby is open w/built-in desk & reception. There are 2 flex rooms w/walk in closets & full bath down. Upstairs is a kitchen w/SS appliances, dining area & 2 more flex rooms. Every detail of the home was masterfully crafted w/the highest quality materials. No expense has been spared",staging
1,"$466,000","519 Darlene Trl, Euless, TX 76039",https://www.zillow.com/homedetails/519-Darlene-Trl-Euless-TX-76039/66644156_zpid/,4, House,3,"2,529",Feras Rachid,,"Opendoor Brokerage, Llc","This Euless two-story home offers granite countertops, and a two-car garage. Home utilities may be turned off due to weather conditions.    This home has been virtually staged to illustrate its potential.",staging
2,"$300,000","7718 Wexford Grv, San Antonio, TX 78240",https://www.zillow.com/homedetails/7718-Wexford-Grv-San-Antonio-TX-78240/58247460_zpid/,3, Townhouse,2,"1,559",Feras Rachid,210-899-2881,Opendoor Brokerage LLC,This San Antonio one-story home offers a one-car garage. This home has been virtually staged to illustrate its potential.,staging
3,"$250,000","8030 Swindow Cir, Converse, TX 78109",https://www.zillow.com/homedetails/8030-Swindow-Cir-Converse-TX-78109/26439478_zpid/,3, House,2,"2,181",Feras Rachid,210-899-2881,Opendoor Brokerage LLC,This Converse one-story home offers a two-car garage. This home has been virtually staged to illustrate its potential.,staging
4,"$271,000","514 Equinox St, Crosby, TX 77532",https://www.zillow.com/homedetails/514-Equinox-St-Crosby-TX-77532/28186210_zpid/,4, House,3,"2,840",Feras Rachid,855-327-9361,"Opendoor Brokerage, LLC","This Crosby one-story home offers granite countertops, and a two-car garage.    This home has been virtually staged to illustrate its potential.",staging
5,"$333,000","2030 Broken Oak St, San Antonio, TX 78232",https://www.zillow.com/homedetails/2030-Broken-Oak-St-San-Antonio-TX-78232/26377366_zpid/,3, House,3,"2,064",Feras Rachid,210-899-2881,Opendoor Brokerage LLC,"This San Antonio two-story home offers a patio, and a two-car garage. This home has been virtually staged to illustrate its potential.",staging
6,"$225,000","13623 Primwood St, San Antonio, TX 78233",https://www.zillow.com/homedetails/13623-Primwood-St-San-Antonio-TX-78233/26380794_zpid/,2, House,3,"1,362",Feras Rachid,210-899-2881,Opendoor Brokerage LLC,"This San Antonio two-story home offers granite countertops, and a two-car garage. This home has been virtually staged to illustrate its potential.",staging
7,"$430,000","26807 Cobble Meadow Ct, Cypress, TX 77433",https://www.zillow.com/homedetails/26807-Cobble-Meadow-Ct-Cypress-TX-77433/80587589_zpid/,4, House,3,"2,861",Zaynah Munoz,832-330-6936,RORECO,"Welcome home to 26807 Cobble Meadow Ct! This FULLY REMODELED one story home embraces modern luxury in the highly sought after Cypress Creek Lakes. With 4 bedrooms 3 bathrooms, a media/game room and over $120K worth of custom upgrades- this is a MUST SEE. You'll love all of the incredible features this home has to offer including a gorgeous primary retreat, oversized illuminated walk-in shower with double shower heads, separate vanities with fog free 3 stage lighting, and customized closet shelving system. You'll find 2 spacious bedrooms IN ADDITION TO the front bedroom boasting a modern ensuite. The currently presented media room could easily be used as a 5th bedroom or game room. The backyard is perfect for entertaining complete with a custom built pergola with bright lighting and swift ceiling fans! A BRAND NEW ROOF (rep. Nov 2020) joins the extensive list of upgrades to reveal your dream home- all zoned to the best CFISD schools! Schedule your showing today!",staging
8,"$362,000","16615 Torrington Ct, Spring, TX 77379",https://www.zillow.com/homedetails/16615-Torrington-Ct-Spring-TX-77379/28380296_zpid/,4, House,3,"2,896",Feras Rachid,855-327-9361,"Opendoor Brokerage, LLC","This Spring two-story cul-de-sac home offers granite countertops, and a two-car garage.    This home has been virtually staged to illustrate its potential.",staging
9,"$293,000","3923 Midforest Dr, Houston, TX 77068",https://www.zillow.com/homedetails/3923-Midforest-Dr-Houston-TX-77068/28154918_zpid/,4, House,3,"2,634",Feras Rachid,855-327-9361,"Opendoor Brokerage, LLC",This Houston one-story home offers a three-car garage.  This home has been virtually staged to illustrate its potential.,staging
