,prices,address,beds,links,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$990,000","1628 Glencoe St, Denver, CO 80220",5,https://www.zillow.com/homedetails/1628-Glencoe-St-Denver-CO-80220/13286997_zpid/, Coming soon,2,"2,751",Trelora  Realty Team,,"TRELORA Realty, Inc.","Updated Park Hill English Tudor with 5 bedrooms, 2 baths, central A/C and heat, 2 living areas, an oversized 2-car garage, and much more.  Main level has a bright and open layout with hardwood floors, a spacious living area with chic fireplace nook, 3 bedrooms, a full bath, and updated kitchen.  Kitchen features granite-slab countertops, new stainless-steel refrigerator and dishwasher, other stainless-steel appliances, crisp white cabinetry, and additional counter-top seating/breakfast bar.  Finished basement with brand-new carpet features 2 bedrooms and a spacious living area with built-in surround sound—perfect for family movie nights!  Big backyard is fenced-in with a large privacy gate.  It features beautiful rose bushes, a raised garden area, a storage shed tucked behind the garage, and a patio for your outdoor living and entertaining! Well-maintained home includes beautiful landscaping, a built-in sprinkler system, and a brand-new roof and gutters.  Great location on a Tudor-lined block with mature trees—walk to elementary and middle schools, shops, restaurants, City Park, Museum of Nature and Science, and the Denver Zoo.",updated
1,"$420,000","214 Pheasant Run, Louisville, CO 80027",3,https://www.zillow.com/homedetails/214-Pheasant-Run-Louisville-CO-80027/13235209_zpid/, Coming soon,3,"1,568",Veronica Grasso,720-772-6673,Berkshire Hathaway-Boulder,"Prime location in the highly sought after Pheasant Run Townhomes in Louisville. Main level includes beautiful laminate wood floors in a spacious living and dining room, and updated stainless appliances in kitchen to provide you with a great area for entertaining and cooking. Brand new carpet in upper level, BRs w/vaulted ceilings, large closets & each has an adjacent bath. The finished basement includes 1 bedroom and 1 bathroom, a laundry room, and plenty of extra storage space. Tons of parking just outside your door, including 1 reserved space.",updated
2,"$380,000","1626 S Mobile St, Aurora, CO 80017",3,https://www.zillow.com/homedetails/1626-S-Mobile-St-Aurora-CO-80017/13072325_zpid/, Coming soon,1,952,Cesar Orona,720-862-7571,Real Home Sales LLC,"Well Maintained Ranch home with tons of backyard space! Horseshoe Park and Cherry Creek Spillway Trail nearby. 3 Bedrooms, 1 Full Bath, Attached over-sized 1-Car Garage, Remodeled Kitchen including Granite Countertops with All Appliances Included. NO HOA. Sellers have updated windows, HVAC, and added Central A/C!  With shopping, dining, recreation and transit close by, you will love your new home in Stone Ridge Park! This house is ready to be your home - call to schedule your private showing today!",updated
3,"$759,900","6079 Trevino Ct, Fort Collins, CO 80528",4,https://www.zillow.com/homedetails/6079-Trevino-Ct-Fort-Collins-CO-80528/13863718_zpid/, House,4,"3,109",Carmen Stavely,970-443-1144,RE/MAX Alliance-FTC Dwtn,"Beautifully updated 2 story with lots of upgrades and very livable design flow in Golf Course Community . Kitchen includes stainless Kitchen Aid appliances, granite countertops and island.   Main floor primary suite offers ample space and luxury 5 piece bath. Upstairs you will love the large loft offering many options (office, play room, teen hang out), a 2nd suite,  plus 2 additional bedrooms with Jack and Jill bath. New high efficiency furnace and  AC, and new paver/patio out back. Full unfinished basement with bath rough-in offers plenty of room to expand, oversized 3 car garage.  All this on a large,fully fenced, corner lot with mature landscaping.  No Metro District",updated
4,"$420,000","20691 Fairview Rd, Austin, CO 81410",4,https://www.zillow.com/homedetails/20691-Fairview-Rd-Austin-CO-81410/103874515_zpid/, House,2,"1,851",Candyce Blair,970-210-4749,Colorado Homes and Land,"This freshly remodeled home sits on 2.4 acres with views to the south.  Enjoy the fully covered porch during all seasons.  New landscaping with a covered gazebo offers room for entertainment and guests.  There is a large pole/hay barn next to the home that could be converted into a shop or garage.  This house has been completely transformed with an updated kitchen and bathrooms.  Attention to detail while remodeling this house is seen throughout.  From shiplap to hardwood floors this beautiful home will not disappoint.  Located in Austin, this property is close to amenities.  There are golf courses nearby and it is only minutes from the Grand Mesa. There is plenty of space for RVs, ATVs, and boats.  This home is a must-see and is turnkey-ready!",updated
5,"$775,000","733 Maroon Peak Cir, Superior, CO 80027",4,https://www.zillow.com/homedetails/733-Maroon-Peak-Cir-Superior-CO-80027/13255713_zpid/, House,4,"2,800",Sue Masterson,720-352-4802,"RE/MAX of Boulder, Inc","Fantastic mountain views from this updated home backing to open space. Remodeled eat-in kitchen w/quartz countertops, tile backsplash, new lighting & fixtures & stainless Kitchen Aid appliances. Sliding glass door to delightful patio to relax & take in the lovely foothills & mountain views. Sunny, vaulted living, separate dining room & cozy family room w/gas fireplace. 4 BR up. Large primary suite has 5-piece BA, walk-in closet & great views. Fully finished basement with rec room plus office that could be converted to 5th BR. Main level laundry. Well-kept and updated over time incl lighting, water heater & furnace. Please see improvements list for more updates. Excellent, quiet open space & view location just a short distance to Eldorado K-8 and community pool. Immaculate & move in ready.",updated
6,"$449,000","5410 Quay St, Arvada, CO 80002",3,https://www.zillow.com/homedetails/5410-Quay-St-Arvada-CO-80002/13729289_zpid/, Coming soon,1,957,Edwin Hissa,720-688-0672,The Hissa Group,"Welcome home! This wonderfully maintained ranch home in Columbine Acres is waiting for you! You will love this quiet neighborhood that is just minutes from Olde Town Arvada, Berkeley Neighborhood, The Highlands, and more! Hardwood floors throughout, updated bathroom with three cozy bedrooms. Newer furnace, newer roof, RV pad in the backyard with storage shed. Sprinklers in front & back. Windows were updated from originals. Plenty of storage space in the garage and a very comfortable backyard!",updated
7,"$259,000","812 Blossom Rd, Woodland Park, CO 80863",3,https://www.zillow.com/homedetails/812-Blossom-Rd-Woodland-Park-CO-80863/62717714_zpid/, House,1,"1,153",Michael McDermott,719-417-4661,Venterra Real Estate LLC,"Don't miss out on this AMAZING Mountain Retreat. House has been remodeled from Front to Back. It has New Water Heater, New furnace with New Venting, New Carpet in one bedroom along with Tile and Wood Laminate throughout the rest of the house. Lighting has also been updated.  It includes a 40ft Conex Container (40x8x9.5) and shed. While enjoying the GREAT VIEWS you will be certain to catch a variety of wildlife passing through the property. The 15X16 permitted addition on the back has been started and ready to be finished to your liking.",updated
8,"$1,800,000","3892 County Road 45, Hudson, CO 80642",5,https://www.zillow.com/homedetails/3892-County-Road-45-Hudson-CO-80642/147534469_zpid/, House,4,"5,710",Michael Rex,720-317-7683,Rex Homes LLC,"Escape the city to this private, custom built home resting on 12 acres of fenced and irrigated farm land. Breathtaking views of the front range with easy access to the interstate and a quick drive back to the Denver Metro area.  Upstairs are two bedrooms with a bathroom and two oversized storage areas. On the main level are three additional bedrooms, including a master retreat with attached office space, wet bar, a dual shower master bath, and a walk in closet. Another of the main floor bedrooms is fully wheelchair compliant and designed as a mother-in-law suite for your loved one. The kitchen was recently updated with oversized granite slab countertops that rest on custom cabinets featuring high-end appliances. The home has 4 garage bays including a pass-through bay used to park the included tractor! A reverse osmosis water softener, three A/C units all replaced in 2019 and new outdoor security system offer peace of mind and pride of ownership that you simply cannot pass up.",updated
9,"$365,000","4135 E 119th Pl APT C, Thornton, CO 80233",2,https://www.zillow.com/homedetails/4135-E-119th-Pl-APT-C-Thornton-CO-80233/13002566_zpid/, Coming soon,2,"1,428",Elisabeth Conable,720-883-5158,KELLER WILLIAMS AVENUES REALTY,"Quaintly nestled in to the Oakshire Townhome community, this beautifully maintained and updated townhome is ready for you to call home! Step in the front door and enjoy the newer solid surface floors and updated paint throughout. The roomy kitchen with newer solid surface counters and a pantry along with the dining room provide the perfect atmosphere for all of your entertaining opportunities. Cozy on up by the gas fireplace with your favorite beverage on those cold wintery nights. The large owners suite upstairs is the perfect get-away with vaulted ceilings, ensuite bath with a soaker tub,  large walk in closet, and your very own private balcony. Newer carpet and tile in both bathrooms. It's not often you find a townhome with an attached oversized side-by-side 2-Car Attached Garage! Close to shopping and is a short drive to I-25. Come check out this jewel and make it yours! *Professional Photos will be uploaded 1/26*",updated
