,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$650,000","794 Sunrise View Dr, Draper, UT 84020",https://www.zillow.com/homedetails/794-Sunrise-View-Dr-Draper-UT-84020/2066702778_zpid/,4, House,4,"2,649",Lynn S Marchant,801-255-8850,EXP Realty,"Stunning 2-Story home in the exclusive sought after Sunset Ponds PUD of Draper. Sellers have created a beautiful haven for you to enjoy. The bright and spacious main level was remodeled in 2018 with engineered hardwood, paint, fully remodeled kitchen with soft close doors/drawers, quartz countertops, new light fixtures, and matching appliances. The serene protected wetlands are set behind this home making it one of a kind.  The view from the kitchen, dining, family room and oversized covered Trex deck are priceless! The remodeled basement sports a wet bar, steam shower, granite countertops, and the open family room with built in speaker system is the perfect environment to watch your favorite games or movies! Both water heaters replaced in 2018. This home is an entertainers dream with the massive deck off the back and unobstructed views. Enjoy a community pool, basketball court, trails, ponds with ducks and geese year around, and a picnic area. The location couldn't be better! Enjoy the luxury of a low traffic, country setting, yet be within walking distance of Blue line Trax. Minutes away from schools, grocery stores, gyms, restaurants and the heart of Draper.   Square footage figures are provided as a courtesy estimate only. Buyer is advised to obtain an independent measurement.",quartz
1,"$750,000","7981 S Showcase Ln, Sandy, UT 84094",https://www.zillow.com/homedetails/7981-S-Showcase-Ln-Sandy-UT-84094/12882857_zpid/,5, House,4,"2,355",Joshua Duke Black,801-688-1108,Aspen Ridge Real Estate LLC,"***Just Listed*** Beautifully updated Sandy home now available.  Located in a quiet cul-de-sac.  Close to freeways, shopping, and restaurants. Houses in this area are hard to come by.  Recent remodel just completed.  Don't miss this one!  Stunning Kitchen!  New Cabinets, Quartz Countertops, Fresh Paint, New Carpet, New Laminate flooring, Light Fixtures and more.   Amazing Master Bath!  Gorgeous Free Standing Tub, European Glass Enclosed Shower & Walk in Closet.  Vaulted Ceilings & Large windows allow natural light to permeate throughout the home.  This home feels extra spacious, open and airy.  Perfect for entertaining.  Enjoy the shade from mature landscaping while BBQing on the back patio. This one is a must see!  Schedule your private showing today.  Square footage figures are provided as a courtesy estimate only and were obtained from previous MLS #513554 .  Buyer is advised to obtain an independent measurement.  Buyer & buyers agent to verify all listing information. Seller is part owner of the listing brokerage, but is not a licensed agent.",quartz
2,"$685,000","1440 W 100 S, Virgin, UT 84779",https://www.zillow.com/homedetails/1440-W-100-S-Virgin-UT-84779/68887999_zpid/,4, House,3,"2,188",David Shore,435-236-0180,ERA BROKERS HURRICANE,"Nothing like this on the market now! Views all around this beautifully updated hilltop home only 15 minutes from Zion Park. Walking distance from Virgin river, mountain biking and ATV trails. 1.32 Acre lot with room for horses, RVs (has full hookups), or future additions! Top quality inside and out, granite and quartz counters, with hand chiseled stone and stucco exterior. Owned 12KW Solar system! This Solar system tops it all off, it was just installed in 2020 and is ready to give you many years of extremely low power bills! Stainless appliances, newer HVAC, jetted tub and walk in shower. Moving to the yard, start with the recently installed low maintenance landscaping with beautiful hand crafted stone benches, huge flagstone sitting areas, fruit trees, and a huge variety of plants. Back, side and front yards all done with care to maximize outdoor quality. There's a new tack shed for the horses or toys, you can have two horses here that will love the view too! Evenings here are stunning. 
Don't miss this one, it'll go fast.",quartz
3,"$685,000","2230 N 2500 W, Lehi, UT 84043",https://www.zillow.com/homedetails/2230-N-2500-W-Lehi-UT-84043/89205373_zpid/,5, House,3,"3,000",Scott A Tornow,801-830-2020,"Tornows & Associates, Inc.","OPPEN HOUSE  SATURDAY  JAN 22, 2022  12:30 to 4:00 PM - Bring Your Buyers to This Lovely Home, fully-finished rambler is located in the highly-desirable Cranberry Farms subdivision. You'll find many beautiful updates throughout the home including brand new gorgeous quartz kitchen countertops, a brand new refrigerator and microwave, as well as fresh paint, blinds, carpet and light fixtures. This functional 5 bedroom, 3 bath home also features a 2-car garage, a nice-sized fully-fenced yard, steam shower, huge basement family room, as well as an additional large room perfect for a home office, workout space, or game room. The neighborhood provides wonderful amenities including a community clubhouse, swimming pool, three park areas, playground, soccer field, and community garden boxes. With convenient immediate access to the Jordan River Parkway trail, your connection to beautiful views and outdoor enjoyment is right at your fingertips!  Pictures cannot adequately show all the gorgeous features of this lovely home.  We invite you to arrange  a time to tour this magnificent home.  Square footage figures is provided as an estimate and was obtained from county records.  Buyer is advised to obtain an independent measurement.",quartz
4,"$490,000","389 N 200 E, Payson, UT 84651",https://www.zillow.com/homedetails/389-N-200-E-Payson-UT-84651/11892427_zpid/,5, House,2,"2,031",Austin Kirk Najera,385-247-8651,Opendoor Brokerage LLC,"This Payson one-story home offers quartz countertops, and a two-car garage.",quartz
5,"$939,000","4150 Dover Ln, Provo, UT 84604",https://www.zillow.com/homedetails/4150-Dover-Ln-Provo-UT-84604/11947189_zpid/,5, House,4,"4,700",Jessica Williams,801-380-7676,Presidio Real Estate Company,"Completely renovated beautiful traditional/modern designed home in prestigious NE Provo Neighborhood. This all brick ramblers has it all!! It's perfect for hosting and entertaining, lots of bedrooms for a big family, and everything new!!! Everything has been thoughtfully designed with quartz countertops, customs countertops in the kitchen and laundry room, new flooring, doors, drywall and paint throughout. Custom closet shelving, new bathroom with a huge master shower. Beautiful fully fence landscaped yard with two decks, native. vegetation, sprinkler system, Fruit trees. Extra parking pad for RV. Great neighborhood and great schools don't miss this one.  ** hood is installed.",quartz
6,"$849,950","14567 S Oak Point Dr, Bluffdale, UT 84065",https://www.zillow.com/homedetails/14567-S-Oak-Point-Dr-Bluffdale-UT-84065/12935914_zpid/,4, House,4,"2,876",Michael Hooper,801-856-4667,Hooper Homes,"Are you craving the country lifestyle? You'll find it here in this charming home that's nestled on a 1-acre horse property lot in a quiet and peaceful neighborhood. The home features brand new carpet, fresh paint, a remodeled kitchen with quartz countertops and stainless steel appliances, two cozy family rooms with custom built-in cabinetry and fireplaces, master bedroom with three closets, two laundry rooms, vaulted ceilings with bright archways, lots of storage, and an extra-deep 3-car garage. One-of-a-kind yard with grand curb appeal, horse pasture, long circular driveway that wraps around your own orchard, chicken coop, tons of RV storage space, and a pump house for the valuable share of irrigation water.   Square footage and acreage figures are provided as a courtesy estimate only and were obtained from County records. Buyer is advised to obtain an independent measurement.",quartz
7,"$535,000","983 E Cedar Terrace Dr, Sandy, UT 84094",https://www.zillow.com/homedetails/983-E-Cedar-Terrace-Dr-Sandy-UT-84094/12882535_zpid/,4, House,2,"1,686",Linda C. Hardman,801-450-4058,Better Homes and Gardens Real Estate Momentum,"NO MORE SHOWINGS !  Awaiting Signatures.  Seller has accepted an Offer!  *Welcome Home to this Rarely Available Eastside Sandy Neighborhood *Meticulously Remodeled Kitchen & Dining Area with Quartz Countertops *New Island Bar *Two Tone Cabinetry *Stainless Steel Appliances & Black on Black New Stove *Spacious Bedrooms *Large  Windows provide Ample Natural Light *Experience the Comfort of 2 Fireplaces *Unique ""Barn Door"" Lower Level *Oversized Garage *Fully Fenced Yard w/Multiple Gates *Auto Sprinkling System *""Google Fiber"" is Currently being Installed *Call Agents 4 Location of the Hidden Key Box *EZ 2 Show *Appointment is Necessary.",quartz
8,"$455,000","420 N 300 W, Logan, UT 84321",https://www.zillow.com/homedetails/420-N-300-W-Logan-UT-84321/218913420_zpid/,4, House,2,"1,800",Christopher Eccles,801-503-2515,ECCLES HENLINE LLC,"Charming Remodeled Victorian home in the heart of Logan! This home is located on a Deep Lot with Mature Trees, in a Quiet Neighborhood that is easy to Navigate. A Perfectly sized, West-facing Front Porch Greets Guests and has More than Enough Room for a Couple of Chairs to enjoy Sunsets during those Warmer Months. Inside, Period Details like Transoms, Wooden Doors, Door Frames and Windows have been Preserved! Fresh Paint is Bright, yet Cozy! The Kitchen has been Updated with Brand-New Stainless-Steel Appliances and Granite Countertops! The High-Quality Wood Cabinetry Still Functions Perfectly and was Updated with New Paint to Tie it into the rest of the home. The home has 4 bedrooms, 2 on each level. The New Owner will have Two Options for Primary Suites: one bedroom with the adjoining bath on the main level, the other being the upstairs Ensuite. All Bedrooms have Great Closet Space! Both Bathrooms are New and Modern! The Main Floor Bathroom has been Updated with a New Vanity and Quartz Countertops. That same Quartz is carried over into the Walk-In-Shower that shares a space with an Inviting Clawfoot Tub! The Upstairs Bathroom was Carved out of Unused Attic Space and Features a New Tub and Vanity. Exterior Paint, Interior Paint, AC, Plumbing, Lighting, Laminate Flooring and Carpet are all Brand-New! The roof was replaced within the past 5 years and is in Fantastic Condition! Home is Vacant, Please use ShowingTime to schedule Showings. All measurements are provided as a courtesy. Buyer and Buying Agent to Verify. There are no Sellers Disclosures, owners have not lived in the home. Offers Received on the Friday/Weekend will be responded to on Monday. Supra",quartz
9,"$245,000","3705 N Ray's Navajo View, Duck Creek Village, UT 84762",https://www.zillow.com/homedetails/3705-N-Ray's-Navajo-View-Duck-Creek-Village-UT-84762/2069212457_zpid/,2, House,2,"1,759",Evelyn Ashworth,435-691-9753,COLDWELL BANKER MAJESTIC MOUNTAIN REALTY,"Built in 1960, this true log cabin is set up with a kitchen, dining, living room, large family room, 2 bathrooms & sleeping areas. The kitchen includes a microwave, propane stove, grill & fridge. A rocked fireplace in the dining area & wood stove in the living room will take off the early morning chill. The loft has several sleeping areas & is a great place for ''Sleep Overs and fun for the whole family."" The large deck is a great place to enjoy the afternoon sun. Seasonal water is piped to the cabin & power is provided by propane & generator. This 1759 SF cabin is snuggled within the Dixie National Forest on leased land. It has a cute rustic log cabin feel. It was remodeled in 1980 adding the addition, then again in 2010 remodeling the deck and loft. Cabins in this area do not come available often so now is a great time to buy. A view of the lake is enjoyed when the water table is normal. There is a short walk from the cabin to the Lake. Annual Lease is $1778 and the annual water fee is $100.00. This cabin sits in the middle of the Dixie National Forest where you can enjoy Mother Nature at its best.",quartz
