,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$599,900","1308 E 1710 S, Saint George, UT 84790",https://www.zillow.com/homedetails/1308-E-1710-S-Saint-George-UT-84790/68527245_zpid/,3, House,4,"2,681",Jody Falcon,801-528-1222,HOMIE,"Beautiful home on quiet cul-de-sac. Kitchen has granite counters, roll out shelves and built-in appliances. Vaulted ceilings with trayed ceiling woodwork in dining room. Floor to ceiling built-ins and woodwork in living room plus gas fireplace. Forth bedroom with French doors can be used as an office. Master bath and guest bath newly renovated. New carpet in bedrooms. Two attics provide tons of Two attics provide tons of storage. Large matching shed on side of house next to RV parking. No backyard neighbors! Square footage figures are provided as a courtesy estimate only. Buyer is advised to obtain an independent measurement.",renovated
1,"$399,000","389 S 350 E, Kanab, UT 84741",https://www.zillow.com/homedetails/389-S-350-E-Kanab-UT-84741/108154612_zpid/,5, House,3,"2,535",John Armstrong,801-577-2365,ARI REALTY AND INVESTMENTS,"Home has been completely renovated and updated. New HVAC system, new appliances, granite countertops. New floor coverings throughout.",renovated
2,"$535,000","2389 E Village Green Rd, Cedar City, UT 84721",https://www.zillow.com/homedetails/2389-E-Village-Green-Rd-Cedar-City-UT-84721/97216863_zpid/,4, House,3,"3,028",Jared Zimmer,435-865-7600,RE/MAX PROPERTIES,"Horse property close to town - the best of both worlds! Gorgeous mountain views on 1.5 acres at this beautiful and spacious 3 floor, 3,028 sqft, 5 bed, 3 bath family home. Plenty of room for home expansion, additional buildings, animals, RV's etc. Completed basement has three rooms with multiple possibilities - external entrance door via a dedicated concrete staircase. Internal upgrades include recently renewed kitchen countertops and high quality ceiling fans in almost every room, two of which are smart enabled. Smart thermostat control of central heating and air conditioning systems. Blinds, curtains, washer, dryer, oven, fridge, microwave, dishwasher, tall cabinet to remain. Deck just renovated. Firepit. Good internet options. NO FLOOD DAMAGE - property drains very well.",renovated
3,"$590,000","2297 S 3585 W, Syracuse, UT 84075",https://www.zillow.com/homedetails/2297-S-3585-W-Syracuse-UT-84075/83232284_zpid/,3, House,3,"2,981",Ted Twogood,801-668-6985,RANLife Real Estate,"BETTER THAN NEW!  Large open concept floor plan. Featuring a newly renovated kitchen with granite countertops, large island, pantry, marble backsplash and new appliances. Beautiful new  hardwood flooring throughout the main floor. Upper level features a spacious master suite. The master bath features a large walk in shower, separate spa tub, two vanities, and a second washer/dryer. All bedrooms are large enough for king size beds and feature walk in closets. New lighting and ceiling fans throughout. There is a 3 car garage with an easily accessible, large RV/boat pad on the side of the house. The spacious  lot has a full sprinkler system and has been beautifully landscaped with perennial gardens. Slate steps lead to the fully fenced, private, backyard with a large concrete patio with a gazebo. There is a large rose garden with spring bulbs, strawberries, raspberries, cherries, and lilacs. In the corner you will find a large shed and chicken coop for farm fresh eggs daily (We will clean it out and take the chickens. You'll love this great neighborhood. You are walking distance to the neighborhood park and elementary school. Close to the Antelope Island state park and a short distance to stores. The house is about 1.8 miles from 2 different entrance ramps to the new West Davis Corridor that will connect to Legacy Parkway. Square footage figures are provided from the County. Buyer is advised to obtain an independent measurement.",renovated
4,"$1,487,777","2614 E Tuxedo Cir, Cottonwood Heights, UT 84093",https://www.zillow.com/homedetails/2614-E-Tuxedo-Cir-Cottonwood-Heights-UT-84093/12886111_zpid/,4, House,4,"5,084",Angelina Feichko,801-294-7806,Sold By An Angel Real Estate,"In order to view the video tour for the house; please click on the ""Tour"" link. Situated in Willowcreek and near ski resorts, ONLY A FEW LOTS in the city can boast of the virtues of this Custom Built, RECENTLY RENOVATED, ONE OF A KIND PROPERTY! Enjoy a splendid oasis in your very own backyard. Looking for tranquility? Looking for peace? Looking for a Mountain Setting in the city? Looking for water features?  Looking for a Lovely Place to Entertain? Then this is the one! Beautiful backyard features a Heated Swimming pool, 2 Decks, and a Gazebo. The Serenity of the Backyard is Amplified by LITTLE COTTONWOOD CREEK ""RIVER THAT RUNS THROUGH IT!"" In the backyard, the wicker furniture, and umbrella are included. Exposed wood is abundant on the exterior, and throughout the interior of the home, creating a cabin-like feeling without heading outside of town in order to get away from it all. Perfectly located within a 20 to 30 minute drive to world class ski resorts; Park City, Deer Valley, Alta, Snowbird, Brighton, and Solitude. This home boasts of quality and function. 2 x 6 construction. Aluminum clad-wood casement windows. The Heated Space under the Suspended Garage is ideal for use as a Home Theatre, Exercise and Yoga Gym, Craft Room, or an Additional Recreational Area. The home exercise equipment is included. The main living room features a wood burning see-through fireplace. The garage is oversized, perfect for the favored workshop and storage organization. This home also features a Stamped, Concrete Driveway and Sidewalk with 10 Foot Ceilings in the walkout basement. Ample storage space also exists inside the home. Your comfort is assured with a furnace and air conditioner on every floor. (3 furnaces and 3 air conditioning units).  The unique solar system art fixture located in the entry way is included. Come see this magical home today! Square footage figures are provided as a courtesy estimate only. Buyer is advised to obtain an independent measurement.",renovated
5,"$570,000","151 S 100 E, Heber City, UT 84032",https://www.zillow.com/homedetails/151-S-100-E-Heber-City-UT-84032/75936177_zpid/,2, House,1,"1,250",Laurie L Allen,435-800-9494,KW Park City Keller Williams,"Single Family Residence only 1 block from beautiful Main Street! This Single Family Residence on a large lot is only 1 block from Main Street! Enjoy the local attractions like Main Street Park, Jordanelle State Park and Strawberry Reservoir, Heber Valley Railroad, Uinta Recreation and so much more!This renovated property offers 2 Bedrooms, 1 Bath, new windows, new roof, new siding, new furnace, new garage door, new flooring, new carpet with a finished basement. The kitchen and bathroom were also remodeled in 2017/2018. The large Primary Bedroom offers views to the expansive, fully fenced backyard. Through the door to the back yard you will find an inviting hot tub, the fully fenced backyard, and the shed is only 5 years old.  The kitchen has a large portable island with storage that is on wheels. Stackable Washer/Dryer and Refrigerator are included. Can lighting in basement is installed, not shown in photos. Don't miss your chance to live in this beautiful town!",renovated
6,"$939,000","4150 Dover Ln, Provo, UT 84604",https://www.zillow.com/homedetails/4150-Dover-Ln-Provo-UT-84604/11947189_zpid/,5, House,4,"4,700",Jessica Williams,801-380-7676,Presidio Real Estate Company,"Completely renovated beautiful traditional/modern designed home in prestigious NE Provo Neighborhood. This all brick ramblers has it all!! It's perfect for hosting and entertaining, lots of bedrooms for a big family, and everything new!!! Everything has been thoughtfully designed with quartz countertops, customs countertops in the kitchen and laundry room, new flooring, doors, drywall and paint throughout. Custom closet shelving, new bathroom with a huge master shower. Beautiful fully fence landscaped yard with two decks, native. vegetation, sprinkler system, Fruit trees. Extra parking pad for RV. Great neighborhood and great schools don't miss this one.  ** hood is installed.",renovated
7,"$750,000","2255 N Tuweap Dr UNIT 22, Saint George, UT 84770",https://www.zillow.com/homedetails/2255-N-Tuweap-Dr-UNIT-22-Saint-George-UT-84770/68882147_zpid/,3, House,2,"1,799",Jennifer Poulson,702-413-3140,IPRO REALTY NETWORK SG,"Picture yourself living in the exclusive guard gated community of Entrada. This COMPLETELY RENOVATED home is truly made for both entertaining & everyday living, with plenty of space & FABULOUS VIEWS. Enjoy an open floorpan, high ceilings, and a beautiful new kitchen with stainless steel appliances, marble backsplash, granite countertops, and a roomy pantry. The heart of this home, the kitchen - with adjoining dining & family rooms - make it ideal for gatherings. Walk outside to your back yard oasis, a North facing paradise with generous patio positioned to soak in the captivating water & red rock views. 

This newly renovated home has never looked better & is ready for new owners. 

Welcome Home!

~ Did we mentioned that it's minutes away from Snow Canyon State Park, Tuacahn Center for the Arts, Snake Hollow Bike Park, bike paths, hiking, golfing, shopping, and just about EVERYTHING that you would want to do in Southern Utah! ~",renovated
8,"$1,300,000","857 S Connor St, Salt Lake City, UT 84108",https://www.zillow.com/homedetails/857-S-Connor-St-Salt-Lake-City-UT-84108/12762245_zpid/,4, House,3,"2,223",Kaela Watkins,801-400-2646,Presidio Real Estate Company,"Gorgeous executive Tudor, artfully renovated to combine modern elements with classical styling. Nestled in the exclusive Park neighborhood near Hogle Zoo, University of Utah, Bonneville golf course, and just minutes from downtown and the canyons, this home has it all! The custom kitchen has beautiful tilework with ample counter and cupboard space, with a gas oven and countertop range. Features a stunning, beamed ceiling with restored fireplace in the living room, exquisite main floor bath, and lovely formal dining room ready to entertain. You'll love the new composite windows, appliances, furnace, air conditioner, and water heater. Master bedroom has a large balcony with amazing views of the valley and sunsets. The garage is oversized with a workbench. Square footage figures are provided as a courtesy estimate only. Buyer is advised to obtain an independent measurement.",renovated
9,"$245,000","3705 N Ray's Navajo View, Duck Creek Village, UT 84762",https://www.zillow.com/homedetails/3705-N-Ray's-Navajo-View-Duck-Creek-Village-UT-84762/2069212457_zpid/,2, House,2,"1,759",Evelyn Ashworth,435-691-9753,COLDWELL BANKER MAJESTIC MOUNTAIN REALTY,"Built in 1960, this true log cabin is set up with a kitchen, dining, living room, large family room, 2 bathrooms & sleeping areas. The kitchen includes a microwave, propane stove, grill & fridge. A rocked fireplace in the dining area & wood stove in the living room will take off the early morning chill. The loft has several sleeping areas & is a great place for ''Sleep Overs and fun for the whole family."" The large deck is a great place to enjoy the afternoon sun. Seasonal water is piped to the cabin & power is provided by propane & generator. This 1759 SF cabin is snuggled within the Dixie National Forest on leased land. It has a cute rustic log cabin feel. It was remodeled in 1980 adding the addition, then again in 2010 remodeling the deck and loft. Cabins in this area do not come available often so now is a great time to buy. A view of the lake is enjoyed when the water table is normal. There is a short walk from the cabin to the Lake. Annual Lease is $1778 and the annual water fee is $100.00. This cabin sits in the middle of the Dixie National Forest where you can enjoy Mother Nature at its best.",renovated
10,"$232,456","5339 Cyan Ln, Saint George, UT 84790",https://www.zillow.com/homedetails/5339-Cyan-Ln-Saint-George-UT-84790/2067866216_zpid/,7, New construction,9,"5,373",Nicolas J Barber,801-768-3882,"Savvy Real Estate Group, LLC","Imagine four weeks a year of 360 degree sun soaked views from your private roofdeck. This brand new 5373 sq ft home is located in spectacular Desert Color, one block away from white sand beaches lining a massive 2.5 acre Lagoon. The innovative three-level concept is appointed at every turn with premium features including a Private Pool, a Gourmet Kitchen, 5 Bedrooms each with a full ensuite bathroom, and 2 separate massive Bunk Rooms with combined beds for 30+ people. Your friends and family will sprawl out across 3 separate Family Rooms, a spacious dining area, and a 470 sq. ft. Party Deck with panoramic views and a built-in firepit. The home is elegantly placed on the edge of a beautiful parkstrip in the heart of Desert Color, Southern Utah's master-planned vacation community. The activity options out your front door are virtually endless: Swim, kayak, or paddleboard in the clear blue Lagoon. Discover Walking and Biking trails traversing Tennis and Pickleball courts throughout the development. Explore the clubhouse wellness facilities, local shopping and dining, or take your swings at the Big Shots Golf and Culinary Experience a short walk away. With this innovative Co-Ownership model, you can own from 1/12th up to  of this incredible asset for a fraction of the full purchase price. With interiors crafted by our award winning design team, every Savvy home experience comes fully furnished with worry-free property management and concierge service. This project is currently in active construction and features premium materials, finishes, and appliances. The pictures are for illustration only. Stake your claim to this turnkey vacation experience and enjoy it with family and friends for generations to come.   Square footage figures are provided as a courtesy estimate only and were obtained from builders specs. Buyer is advised to obtain an independent measurement.",renovated
11,"$42,000,000","253 White Pine Canyon Rd, Park City, UT 84060",https://www.zillow.com/homedetails/253-White-Pine-Canyon-Rd-Park-City-UT-84060/110283320_zpid/,7, New construction,11,"17,567",Paul Benson,435-640-7441,Engel & Voelkers Park City,"Monitor's Rest Presenting ''Monitor's Rest'', winner of the distinguished Robb Report Best of the Best award for 'Best Amenities'. Nestled into the mountainside at the base of Monitor Bowl, this home has been designed to be the finest expression of mountain living in The West. Conceived by the award-winning team of Iluminus Group Development, CLB Architects, Design Workshop, Delos, Orsman Design, and Magleby Estate Homes, ''Monitor's Rest'' sets the new standard for a true legacy-quality modern compound on 5 ski-in/ski-out acres in the exclusive gated enclave of The Colony at White Pine Canyon. The timeless architecture offers world-class amenities paired with the finest materials and craftsmanship, including Italian steel windows and doors by Thermally Broken Steel, USA, Croatian limestone, shou sugi ban charred cypress, and a full copper roof combined with an innovative and cohesive layout for a seamless flow throughout almost 18,000 square feet of living space.''Monitor's Rest'' is a wellness home, featuring Delos' DARWIN Home Wellness Intelligence Network. The DARWIN system regulates circadian rhythm lighting, monitors, and calibrates indoor air quality, filters pollutants and removes pathogens from the air including viruses, and improves water quality by removing impurities and contaminants. This exceptional residence was designed around a comprehensive suite of amenities featuring a 60' indoor/outdoor stainless steel pool, wellness spa with a world-class gym, Himalayan salt room, cold plunge pool, hot tub, hammam, ice fountain, infrared sauna, massage room, indoor sports court with volleyball/basketball/pickle ball/climbing wall, golf simulator, bowling alley, a versatile living/media room with Steinway-Lyngdorf audio and 200''-inch Barco 4k digital cinema laser projection system, a panoramic tower situated above the trees to take-in the breathtaking views and much more.",renovated
12,"$194,000","280 E 100 S, Wellington, UT 84542",https://www.zillow.com/homedetails/280-E-100-S-Wellington-UT-84542/243136580_zpid/,3, House,2,"2,264",Brenda Quick,435-613-4663,Quick Realty,"New Roof only days ago,  new furnace and ducting, new central air, appliance less then a year old, new light fixtures, new plumbing, all new water heater, new valve's, ,new water softener, all new electrical including panel, receptacles, switches, new garbage disposal, new carpet, electric fire place is included, exterior wood has new sealant, located on quite dead end -street, walking distance to park and church, 5 minutes to price.",renovated
13,"$127,000","4821 N Winged Foot Dr #426, Saint George, UT 84770",https://www.zillow.com/homedetails/4821-N-Winged-Foot-Dr-426-Saint-George-UT-84770/2067156408_zpid/,4, Townhouse,6,"2,781",Mark Johnson,541-390-5871,EQUITY REAL ESTATE (SOUTHERN UTAH),"1/8th shared ownership -Last 2 shares now available. Enjoy 6-7 weeks per year. Professionally managed.  Yearly dues are $2,224 which includes everything i.e. taxes, insurance & all utilities. Home has 2 electric bikes for cruising Snow Canyon State Park as well as 2 outdoor heated pools, 2 hot tubs with 3 pickle ball courts. Call for supporting Docs.",renovated
14,"$650,000","794 Sunrise View Dr, Draper, UT 84020",https://www.zillow.com/homedetails/794-Sunrise-View-Dr-Draper-UT-84020/2066702778_zpid/,4, House,4,"2,649",Lynn S Marchant,801-255-8850,EXP Realty,"Stunning 2-Story home in the exclusive sought after Sunset Ponds PUD of Draper. Sellers have created a beautiful haven for you to enjoy. The bright and spacious main level was remodeled in 2018 with engineered hardwood, paint, fully remodeled kitchen with soft close doors/drawers, quartz countertops, new light fixtures, and matching appliances. The serene protected wetlands are set behind this home making it one of a kind.  The view from the kitchen, dining, family room and oversized covered Trex deck are priceless! The remodeled basement sports a wet bar, steam shower, granite countertops, and the open family room with built in speaker system is the perfect environment to watch your favorite games or movies! Both water heaters replaced in 2018. This home is an entertainers dream with the massive deck off the back and unobstructed views. Enjoy a community pool, basketball court, trails, ponds with ducks and geese year around, and a picnic area. The location couldn't be better! Enjoy the luxury of a low traffic, country setting, yet be within walking distance of Blue line Trax. Minutes away from schools, grocery stores, gyms, restaurants and the heart of Draper.   Square footage figures are provided as a courtesy estimate only. Buyer is advised to obtain an independent measurement.",renovated
15,"$21,000,000","8272 E Left Fork Hobble Creek Rd, Springville, UT 84663",https://www.zillow.com/homedetails/8272-E-Left-Fork-Hobble-Creek-Rd-Springville-UT-84663/247989711_zpid/,6, House,13,"50,738",Kerry Oman,801-369-2507,Summit Sotheby's - Draper,"One of the largest homes in the United States At the end of Hobble Creek Canyon sits one of the largest homes in the United States. The 50,738 square foot home is situated on a bluff with jaw-dropping views of the Wasatch Mountains. The scale of the home and the quality of the finish work are as stunning as the views. This is immediately evident as you walk in the front door and first see the grand entry with over 20' ceilings, a massive chandelier, and elegant dual staircases. Just behind that is a formal living room with such exquisite detail and spectacular views that you are almost left speechless. From the huge master suite to the five guest suites, everything maintains this same level of luxury. The home is also ideal for entertaining. In the past they have hosted events with hundreds of guests. The property boasts a resort-style swimming pool with a waterslide, waterfall, lazy river, rope swing, hot tub, children's area, and kitchen. There is a basketball court, two-lane bowling alley, 27 seat theater room, sauna, exercise room, game room, children's play room with a pirate ship and slide, and an area designed for a shooting range. This property would be ideal for a primary residence, vacation home, or a corporate retreat. With 156 acres, this is also ideal horse property. Hobble Creek Canyon offers fantastic recreational opportunities from one of the top public golf courses in Utah to hiking, biking, camping, hunting, horseback riding, numerous ATV and off-road trails, snowmobiling, and cross-country skiing areas. The home is only 30 minutes from a private airport and just over an hour from Salt Lake City.",renovated
16,"$599,900","1308 E 1710 S, Saint George, UT 84790",https://www.zillow.com/homedetails/1308-E-1710-S-Saint-George-UT-84790/68527245_zpid/,3, House,4,"2,681",Jody Falcon,801-528-1222,HOMIE,"Beautiful home on quiet cul-de-sac. Kitchen has granite counters, roll out shelves and built-in appliances. Vaulted ceilings with trayed ceiling woodwork in dining room. Floor to ceiling built-ins and woodwork in living room plus gas fireplace. Forth bedroom with French doors can be used as an office. Master bath and guest bath newly renovated. New carpet in bedrooms. Two attics provide tons of Two attics provide tons of storage. Large matching shed on side of house next to RV parking. No backyard neighbors! Square footage figures are provided as a courtesy estimate only. Buyer is advised to obtain an independent measurement.",renovated
