,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$650,000","794 Sunrise View Dr, Draper, UT 84020",https://www.zillow.com/homedetails/794-Sunrise-View-Dr-Draper-UT-84020/2066702778_zpid/,4, House,4,"2,649",Lynn S Marchant,801-255-8850,EXP Realty,"Stunning 2-Story home in the exclusive sought after Sunset Ponds PUD of Draper. Sellers have created a beautiful haven for you to enjoy. The bright and spacious main level was remodeled in 2018 with engineered hardwood, paint, fully remodeled kitchen with soft close doors/drawers, quartz countertops, new light fixtures, and matching appliances. The serene protected wetlands are set behind this home making it one of a kind.  The view from the kitchen, dining, family room and oversized covered Trex deck are priceless! The remodeled basement sports a wet bar, steam shower, granite countertops, and the open family room with built in speaker system is the perfect environment to watch your favorite games or movies! Both water heaters replaced in 2018. This home is an entertainers dream with the massive deck off the back and unobstructed views. Enjoy a community pool, basketball court, trails, ponds with ducks and geese year around, and a picnic area. The location couldn't be better! Enjoy the luxury of a low traffic, country setting, yet be within walking distance of Blue line Trax. Minutes away from schools, grocery stores, gyms, restaurants and the heart of Draper.   Square footage figures are provided as a courtesy estimate only. Buyer is advised to obtain an independent measurement.",soft%20close
1,"$2,999,000","1680 W 1900 N, Ogden, UT 84404",https://www.zillow.com/homedetails/1680-W-1900-N-Ogden-UT-84404/251377067_zpid/,5, House,6,"9,946",Andrew Adams,801-971-2525,Troika Real Estate,"Fresh on the market, fully furnished and move in ready! This custom built home in the Watson Estates neighborhood places you in a quiet bedroom community of Farr West. Built in 2008 with a near perfect floor plan, now completely renovated and up to 2022 style and standards. The finished product is designed for everyday living as well as entertaining using the highest quality materials, craftsmanship and technology. All audio, visual, technology systems and personal property being included are brand new and have been purchased between August and December of 2021 totaling approx $525,000 in cost. Private gated access to pass through driveway with turn-around. Updated Camera system. Rambler style floor plan. 9,946 sq ft home. 2 bedrooms 3 baths on the main and 3 bedrooms 3 baths on the lower level.  (Every bedroom is connected to it's own private bathroom in this home.) 14 ft vaulted ceilings on main floor with 10 ft ceilings in basement. Elegant hardwood floors, custom wood timbers and finish carpentry. Current model Control 4 home automation system linked to HVAC, lighting,Audio and Visual throughout entire home. High speed internet connected and commercial Wi-Fi extenders throughout. Gourmet master kitchen, high end Wolf, Bosch, and Frigidaire appliances. Hidden butler pantry with extra fridge. Granite countertops, oversized island, tile backsplash and custom cabinetry with soft close drawers. Scotsman Pebble ice machine built in. Great room with dining and living areas. Fireplace. Slider glass doors leading to covered patios. Focal Utopia Audio sound and speaker system plus 8k and 4k 85 inch TVs throughout the home. Primary bedroom suite with full grand bath, jaccuzi tub, walk in shower, private toilet, his and hers walk-in closets and access door to outdoor patios. Main floor laundry with granite countertops, storage cabinets, and two desks for sewing or computer stations. Man door to exterior with mud room coat rack. Heated 4 car garage (1,500sq ft) with storage cabinets, epoxy floors, stairwell access to basement. Basement family room with fireplace, living room, pool table, poker table, oversized wet bar, pinball and arcade games.  Library with built in book shelves and glass french doors. Secure storage room (approx 200sq ft) with Browning Safe vault door. 2 bedrooms connected with a Jack and Jill bathroom and on guest room bedroom suite with sitting area and attached bath. Theater room features 151 inch projection screen, 4k projector, high end speaker system control though home automation system.  Theater offers lounger style seating for 18 people. Outdoor covered patio area has built in gas BBQ and fire pit. Full size basketball court with adjustable height standards. Farm silo restored from original farm. Barn (2,000sq ft) has been completely finished off in side with power, heat, drywall, trim and epoxy floors. Features multiple doors and two full size bay doors. Mature trees and landscaping. Irrigation water bill approx $300 annually to water entire yard. Mountain views. Close to shopping and freeway access connecting you to world class ski resorts, canyons, golf courses, shopping and Hill Air Force Base. 40 minutes to down town Salt Lake City and Salt Lake International Airport.  Home is sold fully furnished. All personal property such as furniture, mattresses, artwork, appliances, decor, silverware, dishes, TVs speakers systems are included in the offered price. Any and all automobiles on site are not included and not for sale. Ask to see it today.",soft%20close
2,"$499,000","316 S 975 E, Layton, UT 84041",https://www.zillow.com/homedetails/316-S-975-E-Layton-UT-84041/12693074_zpid/,4, House,2,"2,454",Jennifer Toomey,385-439-1964,Top Equity Realty,"Home to be featured on Utah's Real Estate Essentials show Sunday, January 30th at 4:30 PM! This property has recently undergone an impressive renovation creating an open concept and including new kitchen soft-close cabinets, flooring, redone upstairs bath, windows, new appliances, etc. **Beautiful trex deck with ample shade offering ability and an overview of the large yard**Walkout basement that could be turned into a rental opportunity very easily**Quiet neighborhood near shops and parks**Huge storage area in basement with build in shelving**",soft%20close
3,"$560,000","595 S Main St APT 14, Kamas, UT 84036",https://www.zillow.com/homedetails/595-S-Main-St-APT-14-Kamas-UT-84036/68523869_zpid/,3, Townhouse,3,926,Jenya Gunnell,801-300-7018,Homie,"Remodel less than 2 years ago. Home has keyless entry. 20 minutes from Park City. View of Deer Valley and mountains from master. Bespoke kitchen farmhouse sink, island seating,quartz counter, marble backsplash, soft close drawers with brushed gold hardware. Counter depth french door refrigerator, GE appliances. Samsung washer and dryer. Water proof LVP flooring. 2.5 bathrooms have bespoke cabinetry, shiplap walls and marble style tile bath and shower. Low HOA. Square footage figures are provided as a courtesy estimate only. Buyer is advised to obtain an independent measurement.",soft%20close
4,"$560,000","595 S Main St, Kamas, UT 84036",https://www.zillow.com/homedetails/595-S-Main-St-Kamas-UT-84036/2106544243_zpid/,3, Condo,3,926,Jenya Gunnell,801-438-8543,Homie,"Private and quiet end townhouse. 15 minutes to Park City. Views of Deer Valley,   Wasatch mountains and pastures.Light and bright with keyless entry. Extensive remodel completed 20 months ago. Beautiful farmhouse style bespoke kitchen, soft close drawers, Farmhouse sink, quartz countertop, marble backsplash, Island seating, GE appliances, Samsung washer/dryer. Barn style pantry door. 1,100 sqfr of LVP flooring throughout. Lots of closets and storage. 2. 5 bathrooms have shiplap and bespoke cabinetry with quartz countertops, marble style tiles in bath and shower. Low HOA dues inc UB internet.   Square footage figures are provided as a courtesy estimate only.  Buyer is advised to obtain an independent measurement.",soft%20close
5,"$245,000","3705 N Ray's Navajo View, Duck Creek Village, UT 84762",https://www.zillow.com/homedetails/3705-N-Ray's-Navajo-View-Duck-Creek-Village-UT-84762/2069212457_zpid/,2, House,2,"1,759",Evelyn Ashworth,435-691-9753,COLDWELL BANKER MAJESTIC MOUNTAIN REALTY,"Built in 1960, this true log cabin is set up with a kitchen, dining, living room, large family room, 2 bathrooms & sleeping areas. The kitchen includes a microwave, propane stove, grill & fridge. A rocked fireplace in the dining area & wood stove in the living room will take off the early morning chill. The loft has several sleeping areas & is a great place for ''Sleep Overs and fun for the whole family."" The large deck is a great place to enjoy the afternoon sun. Seasonal water is piped to the cabin & power is provided by propane & generator. This 1759 SF cabin is snuggled within the Dixie National Forest on leased land. It has a cute rustic log cabin feel. It was remodeled in 1980 adding the addition, then again in 2010 remodeling the deck and loft. Cabins in this area do not come available often so now is a great time to buy. A view of the lake is enjoyed when the water table is normal. There is a short walk from the cabin to the Lake. Annual Lease is $1778 and the annual water fee is $100.00. This cabin sits in the middle of the Dixie National Forest where you can enjoy Mother Nature at its best.",soft%20close
6,"$232,456","5339 Cyan Ln, Saint George, UT 84790",https://www.zillow.com/homedetails/5339-Cyan-Ln-Saint-George-UT-84790/2067866216_zpid/,7, New construction,9,"5,373",Nicolas J Barber,801-768-3882,"Savvy Real Estate Group, LLC","Imagine four weeks a year of 360 degree sun soaked views from your private roofdeck. This brand new 5373 sq ft home is located in spectacular Desert Color, one block away from white sand beaches lining a massive 2.5 acre Lagoon. The innovative three-level concept is appointed at every turn with premium features including a Private Pool, a Gourmet Kitchen, 5 Bedrooms each with a full ensuite bathroom, and 2 separate massive Bunk Rooms with combined beds for 30+ people. Your friends and family will sprawl out across 3 separate Family Rooms, a spacious dining area, and a 470 sq. ft. Party Deck with panoramic views and a built-in firepit. The home is elegantly placed on the edge of a beautiful parkstrip in the heart of Desert Color, Southern Utah's master-planned vacation community. The activity options out your front door are virtually endless: Swim, kayak, or paddleboard in the clear blue Lagoon. Discover Walking and Biking trails traversing Tennis and Pickleball courts throughout the development. Explore the clubhouse wellness facilities, local shopping and dining, or take your swings at the Big Shots Golf and Culinary Experience a short walk away. With this innovative Co-Ownership model, you can own from 1/12th up to  of this incredible asset for a fraction of the full purchase price. With interiors crafted by our award winning design team, every Savvy home experience comes fully furnished with worry-free property management and concierge service. This project is currently in active construction and features premium materials, finishes, and appliances. The pictures are for illustration only. Stake your claim to this turnkey vacation experience and enjoy it with family and friends for generations to come.   Square footage figures are provided as a courtesy estimate only and were obtained from builders specs. Buyer is advised to obtain an independent measurement.",soft%20close
7,"$42,000,000","253 White Pine Canyon Rd, Park City, UT 84060",https://www.zillow.com/homedetails/253-White-Pine-Canyon-Rd-Park-City-UT-84060/110283320_zpid/,7, New construction,11,"17,567",Paul Benson,435-640-7441,Engel & Voelkers Park City,"Monitor's Rest Presenting ''Monitor's Rest'', winner of the distinguished Robb Report Best of the Best award for 'Best Amenities'. Nestled into the mountainside at the base of Monitor Bowl, this home has been designed to be the finest expression of mountain living in The West. Conceived by the award-winning team of Iluminus Group Development, CLB Architects, Design Workshop, Delos, Orsman Design, and Magleby Estate Homes, ''Monitor's Rest'' sets the new standard for a true legacy-quality modern compound on 5 ski-in/ski-out acres in the exclusive gated enclave of The Colony at White Pine Canyon. The timeless architecture offers world-class amenities paired with the finest materials and craftsmanship, including Italian steel windows and doors by Thermally Broken Steel, USA, Croatian limestone, shou sugi ban charred cypress, and a full copper roof combined with an innovative and cohesive layout for a seamless flow throughout almost 18,000 square feet of living space.''Monitor's Rest'' is a wellness home, featuring Delos' DARWIN Home Wellness Intelligence Network. The DARWIN system regulates circadian rhythm lighting, monitors, and calibrates indoor air quality, filters pollutants and removes pathogens from the air including viruses, and improves water quality by removing impurities and contaminants. This exceptional residence was designed around a comprehensive suite of amenities featuring a 60' indoor/outdoor stainless steel pool, wellness spa with a world-class gym, Himalayan salt room, cold plunge pool, hot tub, hammam, ice fountain, infrared sauna, massage room, indoor sports court with volleyball/basketball/pickle ball/climbing wall, golf simulator, bowling alley, a versatile living/media room with Steinway-Lyngdorf audio and 200''-inch Barco 4k digital cinema laser projection system, a panoramic tower situated above the trees to take-in the breathtaking views and much more.",soft%20close
8,"$194,000","280 E 100 S, Wellington, UT 84542",https://www.zillow.com/homedetails/280-E-100-S-Wellington-UT-84542/243136580_zpid/,3, House,2,"2,264",Brenda Quick,435-613-4663,Quick Realty,"New Roof only days ago,  new furnace and ducting, new central air, appliance less then a year old, new light fixtures, new plumbing, all new water heater, new valve's, ,new water softener, all new electrical including panel, receptacles, switches, new garbage disposal, new carpet, electric fire place is included, exterior wood has new sealant, located on quite dead end -street, walking distance to park and church, 5 minutes to price.",soft%20close
9,"$127,000","4821 N Winged Foot Dr #426, Saint George, UT 84770",https://www.zillow.com/homedetails/4821-N-Winged-Foot-Dr-426-Saint-George-UT-84770/2067156408_zpid/,4, Townhouse,6,"2,781",Mark Johnson,541-390-5871,EQUITY REAL ESTATE (SOUTHERN UTAH),"1/8th shared ownership -Last 2 shares now available. Enjoy 6-7 weeks per year. Professionally managed.  Yearly dues are $2,224 which includes everything i.e. taxes, insurance & all utilities. Home has 2 electric bikes for cruising Snow Canyon State Park as well as 2 outdoor heated pools, 2 hot tubs with 3 pickle ball courts. Call for supporting Docs.",soft%20close
