,prices,address,beds,links,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$415,000","2316 Elite Ter, Colorado Springs, CO 80920",3,https://www.zillow.com/homedetails/2316-Elite-Ter-Colorado-Springs-CO-80920/13567986_zpid/, Townhouse,4,"2,335",Brent Allen,720-988-4162,HomeSmart,"Absolute Perfection with stunning full views of Pikes peak. This wonderful townhome has 3 separate master suites or two up and a mother in law design in fully finished basement with walkout /private entry. Open floor plan /great room/ cathedral ceilings with gas fireplace and retractable awning on walkout deck for entertaining. wonderful wood floors, office cubby/ 2nd dining area and guest powder all on the main floor . The kitchen has upgraded cabinetry with slide out shelving and large pantry with slide out shelves and a wine storage, gas stove, custom back splash, granite, newer stainless appliances , finish off this well designed eat-in kitchen. Lots of wonderful natural lighting and faux wood blinds mean you simply move in.. Everything is NEW!! The upstairs suites include walk in closet and jetted tub.... Want for nothing in this extremely well designed neighborhood with lawns that you dont mow,,,, close to dining and shopping on Academy and quick access to I25 all while staying peaceful and quiet for wonderful walking..",stainless
1,"$759,900","6079 Trevino Ct, Fort Collins, CO 80528",4,https://www.zillow.com/homedetails/6079-Trevino-Ct-Fort-Collins-CO-80528/13863718_zpid/, House,4,"3,109",Carmen Stavely,970-443-1144,RE/MAX Alliance-FTC Dwtn,"Beautifully updated 2 story with lots of upgrades and very livable design flow in Golf Course Community . Kitchen includes stainless Kitchen Aid appliances, granite countertops and island.   Main floor primary suite offers ample space and luxury 5 piece bath. Upstairs you will love the large loft offering many options (office, play room, teen hang out), a 2nd suite,  plus 2 additional bedrooms with Jack and Jill bath. New high efficiency furnace and  AC, and new paver/patio out back. Full unfinished basement with bath rough-in offers plenty of room to expand, oversized 3 car garage.  All this on a large,fully fenced, corner lot with mature landscaping.  No Metro District",stainless
2,"$775,000","733 Maroon Peak Cir, Superior, CO 80027",4,https://www.zillow.com/homedetails/733-Maroon-Peak-Cir-Superior-CO-80027/13255713_zpid/, House,4,"2,800",Sue Masterson,720-352-4802,"RE/MAX of Boulder, Inc","Fantastic mountain views from this updated home backing to open space. Remodeled eat-in kitchen w/quartz countertops, tile backsplash, new lighting & fixtures & stainless Kitchen Aid appliances. Sliding glass door to delightful patio to relax & take in the lovely foothills & mountain views. Sunny, vaulted living, separate dining room & cozy family room w/gas fireplace. 4 BR up. Large primary suite has 5-piece BA, walk-in closet & great views. Fully finished basement with rec room plus office that could be converted to 5th BR. Main level laundry. Well-kept and updated over time incl lighting, water heater & furnace. Please see improvements list for more updates. Excellent, quiet open space & view location just a short distance to Eldorado K-8 and community pool. Immaculate & move in ready.",stainless
3,"$925,000","20 Snowfall Dr #9, Mount Crested Butte, CO 81225",2,https://www.zillow.com/homedetails/20-Snowfall-Dr-9-Mount-Crested-Butte-CO-81225/2067495894_zpid/, Condo,3,"1,234",Caleb Brewer,970-209-1911,Peak Property Management & Sales,"This 3 story unit lives like a true townhome as no one above or below you. You enter on the garage level which also includes a nice tiled entry, a 3/4 bath, storage and a sauna. The stairs and main living level are all hardwood floors, the master bedroom has carpet. The main living level consists of a guest bedroom and bathroom, a kitchen with stainless steel appliances, living room, real wood burning fireplace and a balcony with views of Mt. Crested Butte, Whetstone, Axtel and Emmons/Red Lady. These unobstructed views have the fully developed Pitchfork below. This unit is a quick 8 minute walk to the base area or a 2 minute walk down to the Pitchfork bus stop. The 3rd level includes the over-sized master bedroom (once two bedrooms and could easily be converted back), a full bath and bonus room which makes for a great office space or storage. Snowfall Point condos are the only set of condos on Snowfall Drive, which includes 2 buildings and only 14 units total. The pasture next door makes for great cow and wildlife watching in the summer months! The HOA has very low dues and a very healthy reserve. This condo is a must see!",stainless
4,"$594,900","21745 Whirlaway Ave, Parker, CO 80138",4,https://www.zillow.com/homedetails/21745-Whirlaway-Ave-Parker-CO-80138/13473880_zpid/, Coming soon,3,"3,365",Spencer Wilson,720-347-9595,RE/MAX Professionals,"Canterberry Crossing 2 Story BACKING TO OPEN SPACE! Kitchen Features Stainless Steel Appliances, Granite Slab Countertops and Updated Hardware. Hardwood Floors Throughout the Entire Main Floor, Vaulted Ceilings, New TANKLESS Water Heater (2019). Main Floor Bedroom/Office. New Garage Door Opener (2017). Spacious Bedrooms Upstairs (2 w/ Walk-In Closets). 5 Piece Master Bathroom Suite. Deck in the Backyard Great for Entertaining. Very Quiet Location! Full Basement is a Blank Canvass. Less Than 1 Mile From Black Bear Golf Club. Minutes Away From Downtown Parker on Mainstreet.",stainless
5,"$278,000","12594 E Pacific Cir, Aurora, CO 80014",1,https://www.zillow.com/homedetails/12594-E-Pacific-Cir-Aurora-CO-80014/2066667884_zpid/, Coming soon,1,877,Anna Bliska,720-484-9360,Coldwell Banker Realty 02,"Fully remodeled ground level condo in the highly sought-after Heather Ridge community and Cherry Creek school district! The kitchen boasts custom soft close cabinets, high-end granite countertops, pendant lights, an extra deep sink with high tech faucet, stainless steel appliances, and canned lighting. The flooring is laminate and thick carpet with tempurpedic padding. Two ceiling fans add year around comfort, and they are reversible for winter. The cozy wood burning fireplace is perfect for the cold months. New double pained windows and sliding glass door leading out to covered patio. Spacious bedroom with a large redesigned closet. New bathroom with custom soft close cabinets, spacious shower with massage shower-head, custom tile and added nook for soaps and shampoo. Added bonus: All popcorn removed from ceilings! Garage includes 8’ by 4’ overhead storage rack and Rocksolid Metallic Orange Floor Coating. The community offers a newly renovated club house that includes pool and tennis courts. Located close to almost everything including shopping, restaurants, schools, parks. Prime location with easy access to I-225, DTC, Denver Airport and downtown Denver. Just minutes to Denver RTD rail system that operates 365 days a year! Showings start Friday.",stainless
6,"$255,000","1145 Van Buren St, Pueblo, CO 81004",4,https://www.zillow.com/homedetails/1145-Van-Buren-St-Pueblo-CO-81004/14032688_zpid/, House,2,"2,058",Eric Estrada,719-722-0009,Keller Williams Partners Realty,"Take a tour of this lovely 4 bedroom, 2 bathroom home! The second you see the home from the exterior you will notice its well maintained lawn and brick siding which gives it a warm and welcoming feeling. Plenty of space in this home which features laminate and vinyl flooring throughout. Several upgrades over the years have brought new life into this home and it shows. The bedrooms are spacious, the kitchen has tile flooring with all stainless steel appliances, including the refrigerator, included. The basement has plenty of additional space with two non-conforming bedrooms, a laundry room and family room! Wait until you see the backyard! Not only is there plenty of space but you will be able to enjoy summer BBQ's and entertaining under the covered patio. The original garage has been converted to a storage shed which is great for additional storage. Don't miss your opportunity to tour this home.",stainless
7,"$895,000","216 Sawyer Cir, Winter Park, CO 80482",3,https://www.zillow.com/homedetails/216-Sawyer-Cir-Winter-Park-CO-80482/84415285_zpid/, Multifamily home,4,"1,480",Elle S Ennis,970-531-3637,Real Estate of Winter Park,"This bright and sunny end unit sits in the heart of Downtown Winter Park. Close to dining, shopping, the grocery store, sledding, and music in the park. Jump on the free shuttle for a 5 minute ride to Winter Park Resort. Unit was never used as a rental, new interior paint, new stainless steel kitchen appliances, new BBQ, new boiler, new hot water heater, and a new roof. Fully furnished (Room & Board furnishings) that are all nearly new.  Laundry is on the upper level between 2 of the bedrooms, living, kitchen and half bath on 2nd level and garage and 3rd bedroom are on the lower level. 1 Car Garage is heated and there is room for a hot tub on the back deck.",stainless
8,"$1,050,000","701 Graphite Way, Superior, CO 80027",5,https://www.zillow.com/homedetails/701-Graphite-Way-Superior-CO-80027/13255707_zpid/, House,4,"3,464",Caryn Geiger,303-441-2422,Coldwell Banker Realty-Boulder,"Great Rock Creek Home backing to Open Space with Mountain Views! Situated on a cul de sac for maximum quiet, this updated Horizon model features updated Kitchen, Stainless Appliances, Wood Flooring throughout the main level. The open floor plan makes entertaining a breeze! Main floor office with Adjoining bath, can also be a bedroom. Three bedrooms up - Finished walkout basement offers one additional bedroom, + play or office space, living area, 3/4 bath, kitchenette and additional washer/dryer.Showings Start Tuesday January 25th.",stainless
9,"$330,000","125 Davie Dr, Colorado Springs, CO 80911",3,https://www.zillow.com/homedetails/125-Davie-Dr-Colorado-Springs-CO-80911/13640083_zpid/, House,1,"1,068",Yuhuan Wick GRI,719-660-5933,Pikes Peak Dream Homes Realty,"Well maintained Ranch style home in Very quiet established area. Even though was  Remolded 3 years ago.  You still feel it is newly remolded. The owner takes care the property well.  All stainless appliances, Title counter, and backsplash.  Your kitchen walks out to the fully fenced backyard and your covered deck for your enjoyment.  In the summer you will enjoy all the beautiful landscaping.  The property easily access to military base, and shopping , Park and school.  It is hard to find the price under 350k with this kind of single family home NO HOA.",stainless
