,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$435,300","7410 NE 67th Ave, Vancouver, WA 98661",https://www.zillow.com/homedetails/7410-NE-67th-Ave-Vancouver-WA-98661/23268679_zpid/,3, House,2,"1,176",Jeff Knipe,,Knipe Realty ERA Powered,"Come take a look at the 3 bedroom, 2 bathroom home located in Vancouver, WA! The open concept in the kitchen and living room is perfect for comfortable living. The kitchen features appliances, countertops, and pantry space. The primary bedroom has laminate floors, closet space, and a half bath. Venture into the backyard with yard space for entertaining. Ideal location to parks, stores, and restaurants!",fresh%20paint
1,"$475,000","4700 NW Lavina St, Vancouver, WA 98663",https://www.zillow.com/homedetails/4700-NW-Lavina-St-Vancouver-WA-98663/23240818_zpid/,3,"<abbr class=""list",2,"1,389",Michael Benson,360-253-4100,"John L. Scott, Inc","Stunning single level, 3 bed, 1.75 bath ranch in the desirable Northwest neighborhood. You will love the flow of this home with a large living area featuring a gas fireplace, Formal dining with another gas fireplace and large skylight to brighten up the room. Could also be used as second great room, you decide! Updated kitchen with granite counters, stainless steel appliances and breakfast bar, New roof and gutters, fresh interior & exterior paint, new range hood, new toilets and so much more! Tons of windows throughout filling this home with natural light. Make sure to view full list of upgrades attached. Large private fenced back yard with fire pit. Professionally landscaped front & back yards are ready for entertaining! This is the one!",fresh%20paint
2,"$224,900","119 Williams Ave, Kelso, WA 98626",https://www.zillow.com/homedetails/119-Williams-Ave-Kelso-WA-98626/67031287_zpid/,2,"<abbr class=""list",1,"1,356",John Edward Jones,360-693-3336,Keller Williams-Premier Prtnrs,"This solid and well maintained home is ready for you! The long-time owner has decided to hang his hat on being a landlord, but not before spending months of his time and considerable expense in making sure that the turn-key finished product meets his high standards.  A newer roof, new flooring, and fresh paint inside and out just to start. The home has good space with 2 bedrooms on the main level and a large bonus room upstairs, great curb appeal, and it sets in a quiet residential area just 4 minutes away from I-5. The home also has it's own septic, which will save you money on your monthly bills. This is a great home, and an excellent value.",fresh%20paint
3,"$449,900","8037 Valley Rd NE, Moses Lake, WA 98837",https://www.zillow.com/homedetails/8037-Valley-Rd-NE-Moses-Lake-WA-98837/61947696_zpid/,4,"<abbr class=""list",2,"3,459",Blake Rollins,509-766-0300,Coldwell Banker Tomlinson R& H,"Remodeled 4 bedroom 2 bathroom with an attached studio apartment available on Valley Rd in Moses Lake. Exterior features include: fresh exterior paint, 2 car finished garage, large back patio with railing, covered side patio with built in BBQ and entertaining area, fenced backyard, underground sprinkler system, large detached storage shed, large side lot for RV/boat storage or potential shop, lake and park views from backyard. Interior features include: new laminate flooring throughout living/dining/kitchen area, new carpet in bedrooms, wood fireplace on main floor, natural stone accents throughout, jetted tub with tile surround, open concept kitchen, fresh paint throughout, one bedroom studio apartment attached to home, central heat/air.",fresh%20paint
4,"$384,990","4359 Grouse Creek Rd, Loon Lake, WA 99148",https://www.zillow.com/homedetails/4359-Grouse-Creek-Rd-Loon-Lake-WA-99148/306430881_zpid/,3, Home,2,"1,344",Meribeth Phipps,509-460-1918,"eXp Realty, LLC","Oasis in the Woods! What a peaceful getaway nestled beneath the rolling hills of treed forest land. Situated on over 20 acres just North of Deer Lake, this gem of the forest does not disappoint! Huge 30x40 shop with loft apartment and separate kitchen, bath and laundry has plenty of room to store all of your toys. If you're looking for serenity, there's a gurgling creek that runs on the property, and a deck off the back for those outdoor summer evenings. This home has recently had several updates, including new flooring throughout, fresh paint, new doors and interior trim, new levelor blinds, new fixtures and ceiling fans and lots of tender loving care. There are several outbuildings, including a greenhouse, two carports, ample open space parking, additional storage sheds - and room to build more! Although the hard stuff has already been done for you, there's still lots of opportunity to add your own personalized touches.",fresh%20paint
5,"$199,900","1606 W King St, Yakima, WA 98902",https://www.zillow.com/homedetails/1606-W-King-St-Yakima-WA-98902/23693746_zpid/,3, House,2,"1,700",Cami Leonard,509-949-2192,Keller Williams Yakima Valley,"Cute bungalow home on large R-2 lot. 2BR/1BA on main floor along with kitchen, living and dining room. Tons of storage. Small basement with laundry, 1/2 bath and bedroom. Sunroom/hot tub room. Fenced backyard. Fresh paint on main floor, new flooring in kitchen.",fresh%20paint
6,"$739,000","2515 199th Pl SW, Lynnwood, WA 98036",https://www.zillow.com/homedetails/2515-199th-Pl-SW-Lynnwood-WA-98036/38483624_zpid/,4,"<abbr class=""list",2,"1,584",Maggie Onewein,425-285-3200,Keller Williams Eastside,"This bright and open split-level features beautifully updated finishes throughout the home while sitting on a quiet dead-end street that backs up to a protected greenbelt. Fabulous location, yet still tucked away! Minutes from Whole Foods, shopping, dining, schools and new light rail! Upstairs boasts refinished original hardwoods, 3 beds, open concept kitchen + dining + living room. Enjoy 2 wood burning fireplace w/new mantle and tile surround upstairs. Fresh paint throughout, updated windows and new carpet downstairs. Refreshed bathrooms with tile + new glazed tub in full bath. 4th bed downstairs w/laundry and rec room. Oversized 1 car garage. Large private backyard with deck and covered porch for year round enjoyment.",fresh%20paint
7,"$599,950","25728 119th Pl SE, Kent, WA 98030",https://www.zillow.com/homedetails/25728-119th-Pl-SE-Kent-WA-98030/49052261_zpid/,3,"<abbr class=""list",3,"1,830",Hal Bennett,253-201-3130,Redfin,"Charming light & bright home in the highly desired Seven Oaks! You'll love the open-concept feel with tons of natural light, beautiful LVP floors, & recessed lighting! Spacious Family room has a cozy gas fireplace with stylish mantel, & French Doors! Stunning Modern Kitchen has tile granite counters, bay window, breakfast bar, custom tile backsplash, SS appliances & plenty of storage! Outdoors has a large yard & deck, perfect for entertaining year round; a garden area, & fully fenced yard! Stylish Primary Suite has a window seat and a walk-in closet. 2 additional bedrooms on the upper level. Other features include: New carpet on the upper level, fresh paint throughout, 2 car garage, RV parking, & easy access to highways & Seven oaks park!",fresh%20paint
8,"$659,950","926 143rd St SW, Lynnwood, WA 98087",https://www.zillow.com/homedetails/926-143rd-St-SW-Lynnwood-WA-98087/38473686_zpid/,3,"<abbr class=""list",3,"1,563",Cyrus O'Bryant,425-658-5300,Realogics Sotheby's Int'l Rlty,"Great rambler with lots of updates. Mature trees surround just over 10,000 sqft level lot. Warm and inviting with plush new carpet and flooring throughout, wood burning stove is highlighted with wood feature wall in living room. There is fresh paint inside and out along with new trim, light fixtures, doors, and updated bathrooms. Your kitchen has brand new appliances that have never been used and french doors that lead you to your new deck overlooking fully fenced yard. Full separate studio w/ skylights out back. More updates include; new washer/dryer, hot water tank, garage door and opener, two new wall heaters, & a new electrical panel. Easy access to i5 and 525, hwy 99,  Stickney Lake, Paine field & Boeing, parks, stores & amenities.",fresh%20paint
9,"$299,995","10408 108th St, Anderson Island, WA 98303",https://www.zillow.com/homedetails/10408-108th-St-Anderson-Island-WA-98303/63276678_zpid/,2,"<abbr class=""list",2,"1,164",Sarah Garmire,253-503-3036,PNW Towns and Sound,"Delightful home on beautiful Anderson Island. Don't let the 1994 build date deter you. This home has been well maintained. No squeaks, no leaks! New roof 3 years ago, fresh interior paint, new mini blinds, new keyed-alike locks, newer W/D. Home standby generator. PLUS it's fully furnished, turnkey; just move right in!  Convenient circular floor plan with large kitchen and living room. Main bedroom en suite. Large deck in private back yard. 20 x 10 storage shed has a freezer that stays. Metal carport cover. Short distance to Riviera park on Lake Josephine. All Riviera Community Club amenities: tennis court, fresh and salt water boat launches, clubhouse, golf course, swimming beaches. Only 20 minutes from Steilacoom on Pierce County Ferry.",fresh%20paint
10,"$395,000","2607 Franklin St, Vancouver, WA 98660",https://www.zillow.com/homedetails/2607-Franklin-St-Vancouver-WA-98660/23232187_zpid/,2,"<abbr class=""list",1,936,Timothy Saeland,503-332-1013,RE/MAX Equity Group,"Totally updated to taste! Quartz countertops highlight the kitchen with undermount sink and new stainless steel appliances, such a great place to cook those family or single meals. New Luxury Vinyl Plank in the living and dining areas bring that touch of class and durability. Warm up around the new gas stove highlighting the living room. With new carpeting in the bedrooms you are sure to keep those tootsies warm. The bathroom also features quartz and undermount sink with new vinyl flooring.",fresh%20paint
11,"$629,000","903 E Norman Rd, Yakima, WA 98901",https://www.zillow.com/homedetails/903-E-Norman-Rd-Yakima-WA-98901/72078731_zpid/,5, House,4,"3,346",Jo Ann Houfek,509-952-6380,Windermere Real Estate,"Fantastic home with room for everyone. 5+ bedrooms, 3 bathrooms with a 2 story living room, big rec room, media room & pass through office/den. Home has all new carpet & tile flooring, granite in kitchen & baths. New high end appliances, lighting, hardware & handrails on both decks. Fresh exterior paint. Main suite seperate from the rest with a big soaking tub, 5' shower & walk-in closet. All the brs are good sized and have cable. High speed internet that many can use at the same time. Lots of great storage. 2 heat systems, 2 septics, 2 electric panels w/ extra room if you want to add a shop. All closets have lighting. Leased propane tank for the fireplace & kitchen range. UG sprinklers in front yard. Cyclone fenced in backyard has lawn, balance in back ready for your landscaping or garden",fresh%20paint
