,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$565,600","7510 NW 11th Ave, Vancouver, WA 98665",https://www.zillow.com/homedetails/7510-NW-11th-Ave-Vancouver-WA-98665/23260021_zpid/,3, House,3,"2,322",Jeff Knipe,,Knipe Realty ERA Powered,"Take a look at the 3 bedroom, 2.5 bathroom home located in Vancouver, WA! Updated kitchen with a breakfast bar, sleek appliances, countertop, and pantry space. The primary bedroom has carpet floors with closet space, an en suite bathroom with a single toilet room, and a walk-in shower. The backyard will be your private oasis, with ample yard space, an upper deck, and a lower patio set for relaxation. Ideal location to transit lines, stores, and schools!",update
1,"$467,900","12715 NE 5th Ave, Vancouver, WA 98685",https://www.zillow.com/homedetails/12715-NE-5th-Ave-Vancouver-WA-98685/23294800_zpid/,3, House,2,"1,284",Jeff Knipe,,Knipe Realty ERA Powered,"Come and see the 3 bedroom, 2 bathroom home located in Vancouver, WA! Cozy up in your livingy room while warming up next to your fireplace. You will enjoy cooking in a kitchen with sleek appliances, a countertop, and pantry space. The primary bedroom has carpeted flooring an en suite bathroom with a walk-in shower equipped. The patio in the backyard will become your favorite spot to sip your coffee and enjoy a few quiet moments in the morning! Easy access to highways, stores, and schools!",update
2,"$689,200","117 W 37th St, Vancouver, WA 98660",https://www.zillow.com/homedetails/117-W-37th-St-Vancouver-WA-98660/23233077_zpid/,4, House,3,"2,548",Jeff Knipe,,Knipe Realty ERA Powered,"Take a look at the 4 bedroom, 3 bathroom home located in Vancouver, WA! Open concept living, dining, and kitchen make it easier for comfortable living. Updated kitchen with sleek appliances, tile countertops, and pantry space. The primary bedroom is spacious with vaulted ceilings with hard floors and closet space with an en suite bathroom with a skylight and a walk-in shower attached. The backyard is your private oasis, with a large patio and hot tub! Located near to parks, stores, and schools!",update
3,"$634,900","8901 NW 12th Ave, Vancouver, WA 98665",https://www.zillow.com/homedetails/8901-NW-12th-Ave-Vancouver-WA-98665/23259287_zpid/,4, House,4,"2,900",Jeff Knipe,,Knipe Realty ERA Powered,"Come see the 4 bedroom, 4 bathroom home located in Vancouver, WA! Updated kitchen with a breakfast bar, sleek appliances, countertop, and pantry space. The primary bedroom has hard flooring, closet space, and an en suite bathroom with a full bathtub equipped. Also, with a laundry room, a garage, and downstairs with another fireplace. Venture into the backyard with a deck and ample yard space with a tool shed. Close to stores, restaurants, and schools!",update
4,"$399,000","19424 Military Rd S, Seatac, WA 98188",https://www.zillow.com/homedetails/19424-Military-Rd-S-Seatac-WA-98188/48661091_zpid/,2,"<abbr class=""list",2,"1,110",Anna Le,425-321-2151,Jae Evans Real Estate,"Great two bedroom rambler with breathtaking views of Mountain Rainer and the Cascades! Great floor plan with with room to update and make your own. Tons of room for your RV, boats or toys. Open concept great room leading with large back deck and landscaped yard. Views from all your living spaces. Detached garage has a finished two-room space and half bath for potential rental income or hobbies. Come tour today! Easy access to I-5 for quick commute to Seattle or the Eastside.",update
5,"$475,000","4700 NW Lavina St, Vancouver, WA 98663",https://www.zillow.com/homedetails/4700-NW-Lavina-St-Vancouver-WA-98663/23240818_zpid/,3,"<abbr class=""list",2,"1,389",Michael Benson,360-253-4100,"John L. Scott, Inc","Stunning single level, 3 bed, 1.75 bath ranch in the desirable Northwest neighborhood. You will love the flow of this home with a large living area featuring a gas fireplace, Formal dining with another gas fireplace and large skylight to brighten up the room. Could also be used as second great room, you decide! Updated kitchen with granite counters, stainless steel appliances and breakfast bar, New roof and gutters, fresh interior & exterior paint, new range hood, new toilets and so much more! Tons of windows throughout filling this home with natural light. Make sure to view full list of upgrades attached. Large private fenced back yard with fire pit. Professionally landscaped front & back yards are ready for entertaining! This is the one!",update
6,"$329,900","1118 W 27th Ave, Spokane, WA 99203",https://www.zillow.com/homedetails/1118-W-27th-Ave-Spokane-WA-99203/23533969_zpid/,2, House,2,"1,309",Kathi Pate,509-701-0998,"Windermere Manito, LLC","Location, location! Just off the High Drive Bluff in the Wilson Neighborhood. Quaint foyer leads to spacious living room with fireplace and large windows. Dining space with slider to back deck. Updated kitchen. Bathroom with jetted tub. Bedroom with double windows. Lower level legal bedroom with fireplace and  3/4 bathroom. Laundry Space. New heat pump also provides cool air in the summer. Updates to electrical including new panel box. Raised vegetable beds with drip system. Two-car garage. Surrounded by historical parks and hiking/biking trails. Near-by coffee/ice cream shop.",update
7,"$395,000","3627 S Alaska St, Tacoma, WA 98418",https://www.zillow.com/homedetails/3627-S-Alaska-St-Tacoma-WA-98418/49333422_zpid/,3,"<abbr class=""list",2,"1,436",Melo Hogan,253-302-4847,Windermere Abode,"A true gem in the Lincoln District, comfort and quality are found. Large picture windows let in all the natural light with custom blinds for privacy. The main floor bedroom is conveniently located next to the full bath. The large primary bedroom upstairs is situated next to the 3/4 bath & a third bedroom. Each of the rooms offers a ductless mini split for heat and AC. Thoughtfully updated kitchen with quartz countertops and a cozy + bright breakfast nook. Outback, through the mudroom, you’ll find a fully fenced back yard, with a detached one-car garage and alley access. Updates also include a 2-year-old sewer line, new gutters, new attic & crawl space insulation. Close to I-5 Freeway access, restaurants, shopping, and neighborhood parks!",update
8,"$575,000","5921 Terrace Heights Dr, Yakima, WA 98901",https://www.zillow.com/homedetails/5921-Terrace-Heights-Dr-Yakima-WA-98901/23704606_zpid/,4, House,3,"4,289",Haley Larson,509-834-1200,"Heritage Real Estate Group of Yakima, LLC","Venture out to beautiful East Valley and take a look at this large home offering so many amenities. As you pull up the mature trees and well manicured lawn, plenty of parking and space for RV storage. Inside boasts natural light and a beautiful fireplace with a white modern masonry surround. An open concept kitchen with large island fantastic for entertaining and the amateur chefs dream. A stunning master suite with opportunity for a great sitting area, walk-in closet behind barn doors, and the classic farmhouse master en suite bathroom. Outside is an outdoor bar and covered patio, in ground pool and plenty of space for the whole family. The bonus space above the garage has so much potential as a teenage hang out, kids play room, or in home office. Don't miss this home this fall!",update
9,"$465,000","5401 143rd Pl NE, Marysville, WA 98271",https://www.zillow.com/homedetails/5401-143rd-Pl-NE-Marysville-WA-98271/38500791_zpid/,3,"<abbr class=""list",1,"1,320",Kyle Wells,360-653-2509,Windermere Real Estate JS,"This updated rambler sits on a huge corner lot with over 1/4 of an acre and no HOA! Plenty of room for RV parking through the double drive gate in the backyard. Don't miss the fruit trees and berry bushes in the back yard, which is perfect for anyone who loves gardening. There's plenty of storage with two garden sheds (first one has power!). Convenient to shopping, schools, parks, and more. All appliances, flat screen TV, and gazebo stay with the property. This one won't last!",update
