,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$565,600","7510 NW 11th Ave, Vancouver, WA 98665",https://www.zillow.com/homedetails/7510-NW-11th-Ave-Vancouver-WA-98665/23260021_zpid/,3, House,3,"2,322",Jeff Knipe,,Knipe Realty ERA Powered,"Take a look at the 3 bedroom, 2.5 bathroom home located in Vancouver, WA! Updated kitchen with a breakfast bar, sleek appliances, countertop, and pantry space. The primary bedroom has carpet floors with closet space, an en suite bathroom with a single toilet room, and a walk-in shower. The backyard will be your private oasis, with ample yard space, an upper deck, and a lower patio set for relaxation. Ideal location to transit lines, stores, and schools!",updated
1,"$689,200","117 W 37th St, Vancouver, WA 98660",https://www.zillow.com/homedetails/117-W-37th-St-Vancouver-WA-98660/23233077_zpid/,4, House,3,"2,548",Jeff Knipe,,Knipe Realty ERA Powered,"Take a look at the 4 bedroom, 3 bathroom home located in Vancouver, WA! Open concept living, dining, and kitchen make it easier for comfortable living. Updated kitchen with sleek appliances, tile countertops, and pantry space. The primary bedroom is spacious with vaulted ceilings with hard floors and closet space with an en suite bathroom with a skylight and a walk-in shower attached. The backyard is your private oasis, with a large patio and hot tub! Located near to parks, stores, and schools!",updated
2,"$634,900","8901 NW 12th Ave, Vancouver, WA 98665",https://www.zillow.com/homedetails/8901-NW-12th-Ave-Vancouver-WA-98665/23259287_zpid/,4, House,4,"2,900",Jeff Knipe,,Knipe Realty ERA Powered,"Come see the 4 bedroom, 4 bathroom home located in Vancouver, WA! Updated kitchen with a breakfast bar, sleek appliances, countertop, and pantry space. The primary bedroom has hard flooring, closet space, and an en suite bathroom with a full bathtub equipped. Also, with a laundry room, a garage, and downstairs with another fireplace. Venture into the backyard with a deck and ample yard space with a tool shed. Close to stores, restaurants, and schools!",updated
3,"$399,000","19424 Military Rd S, Seatac, WA 98188",https://www.zillow.com/homedetails/19424-Military-Rd-S-Seatac-WA-98188/48661091_zpid/,2,"<abbr class=""list",2,"1,110",Anna Le,425-321-2151,Jae Evans Real Estate,"Great two bedroom rambler with breathtaking views of Mountain Rainer and the Cascades! Great floor plan with with room to update and make your own. Tons of room for your RV, boats or toys. Open concept great room leading with large back deck and landscaped yard. Views from all your living spaces. Detached garage has a finished two-room space and half bath for potential rental income or hobbies. Come tour today! Easy access to I-5 for quick commute to Seattle or the Eastside.",updated
4,"$475,000","4700 NW Lavina St, Vancouver, WA 98663",https://www.zillow.com/homedetails/4700-NW-Lavina-St-Vancouver-WA-98663/23240818_zpid/,3,"<abbr class=""list",2,"1,389",Michael Benson,360-253-4100,"John L. Scott, Inc","Stunning single level, 3 bed, 1.75 bath ranch in the desirable Northwest neighborhood. You will love the flow of this home with a large living area featuring a gas fireplace, Formal dining with another gas fireplace and large skylight to brighten up the room. Could also be used as second great room, you decide! Updated kitchen with granite counters, stainless steel appliances and breakfast bar, New roof and gutters, fresh interior & exterior paint, new range hood, new toilets and so much more! Tons of windows throughout filling this home with natural light. Make sure to view full list of upgrades attached. Large private fenced back yard with fire pit. Professionally landscaped front & back yards are ready for entertaining! This is the one!",updated
5,"$329,900","1118 W 27th Ave, Spokane, WA 99203",https://www.zillow.com/homedetails/1118-W-27th-Ave-Spokane-WA-99203/23533969_zpid/,2, House,2,"1,309",Kathi Pate,509-701-0998,"Windermere Manito, LLC","Location, location! Just off the High Drive Bluff in the Wilson Neighborhood. Quaint foyer leads to spacious living room with fireplace and large windows. Dining space with slider to back deck. Updated kitchen. Bathroom with jetted tub. Bedroom with double windows. Lower level legal bedroom with fireplace and  3/4 bathroom. Laundry Space. New heat pump also provides cool air in the summer. Updates to electrical including new panel box. Raised vegetable beds with drip system. Two-car garage. Surrounded by historical parks and hiking/biking trails. Near-by coffee/ice cream shop.",updated
6,"$395,000","3627 S Alaska St, Tacoma, WA 98418",https://www.zillow.com/homedetails/3627-S-Alaska-St-Tacoma-WA-98418/49333422_zpid/,3,"<abbr class=""list",2,"1,436",Melo Hogan,253-302-4847,Windermere Abode,"A true gem in the Lincoln District, comfort and quality are found. Large picture windows let in all the natural light with custom blinds for privacy. The main floor bedroom is conveniently located next to the full bath. The large primary bedroom upstairs is situated next to the 3/4 bath & a third bedroom. Each of the rooms offers a ductless mini split for heat and AC. Thoughtfully updated kitchen with quartz countertops and a cozy + bright breakfast nook. Outback, through the mudroom, you’ll find a fully fenced back yard, with a detached one-car garage and alley access. Updates also include a 2-year-old sewer line, new gutters, new attic & crawl space insulation. Close to I-5 Freeway access, restaurants, shopping, and neighborhood parks!",updated
7,"$365,000","720 Park Ave, Buckley, WA 98321",https://www.zillow.com/homedetails/720-Park-Ave-Buckley-WA-98321/49316538_zpid/,3,"<abbr class=""list",1,"1,088",Steve Hiatt,253-460-8640,Keller Williams Tacoma,"Affordable 3 bedroom, 1 bath home in the town of Buckley. This home has it all & is filled with potential. With recently updated flooring, this home offers two bedrooms upstairs, one bedroom downstairs, and a full bath. Welcomed by a cute covered front porch, plus a detached oversize garage AND a barn. Perfect for anybody that is into crafts or hobbies, providing room for all the toys! While sitting on a flat, level corner lot - enjoy playing games or having a barbecue on the large lawn inside your own fenced yard.   Property has always been used for single-family residence but the city has zoned it commercial. Buyer to do their own due diligence for any plans/use.",updated
8,"$475,000","2830 8th Ave NE, Olympia, WA 98506",https://www.zillow.com/homedetails/2830-8th-Ave-NE-Olympia-WA-98506/49387446_zpid/,3,"<abbr class=""list",2,"2,593",Kim Rucker,360-456-4486,NextHome Northwest Group,"Solid rambler on 1.75 acre right in the heart of Olympia.  Freshly painted interior, large living room with wood burning fireplace + ample dining with built in cabinets. Hardwood flooring under carpets just waiting to be uncovered.  Kitchen with lots of counter space and good- sized nook open to family area with wood-stove and more hardwood flooring. Door off nook leads to nice deck and rear yard.  Newly updated hall bath. Hardwood flooring in all bedrooms, master suite with .75 bath.   Unfinished basement with additional fireplace and lots of possibilities.  Oversized detached 2 car garage. Wonderful property offers privacy, apple and plum trees, room to garden & roam. Roof recently cleaned and furnace serviced.",updated
9,"$249,900","2700 Vantage Ave SW, Olympia, WA 98512",https://www.zillow.com/homedetails/2700-Vantage-Ave-SW-Olympia-WA-98512/63284881_zpid/,3,"<abbr class=""list",2,"1,440",Melissa Goodnight,253-987-1778,COMPASS,"Ready for your modern vision & updates. Wonderful opportunity in the Scott Lake Community for affordable living under 300K! The ease of one-story living awaits on desirable 1/4 acre private corner lot. Detached oversized 2-car garage w/extra long driveway for an abundance of parking, guests, toys or possible RV. Covered front & back patio for year round enjoyment. Spacious owner's Suite w/attached bathroom. Water heater only 1 year old & wood burning stove. Desirable community features include lakefront park with boat launch, playground, swimming & fishing plus neighborhood community center, sports field and golf course. Easy I-5 access & 5 minutes to Millersylvania State Park. Just a 15 minute drive to Costco. Financing may be available.",updated
10,"$489,900","546 Quick Rd, Castle Rock, WA 98611",https://www.zillow.com/homedetails/546-Quick-Rd-Castle-Rock-WA-98611/67043976_zpid/,3,"<abbr class=""list",2,"2,112",Sheri Evald,360-693-3336,Keller Williams-Premier Prtnrs,Country Living in Small Town of Castle Rock -- 1.7 Acres -- 3 Bedroom -- 1.5 Bathroom -- 2112 Sqft -- Living Room -- Updated Kitchen -- Large Family Room -- Bonus Room -- Laundry/ Mud Room -- Heat Pump & AC -- Vinyl Windows -- AWESOME 40x48 Stick Built Shop -- Green House -- FULLY Fenced Backyard -- Front Porch -- Big Deck -- RV Parking -- Lots of Extra Parking -- Trees -- Garden Space -- Quiet Road -- Minutes to Castle Rock -- Less than 10 minutes to Highway -- Easy Commute to Vancouver/PDX,updated
